Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHD ZAHID MD ARIP,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI MOHD NAJIB BIN TUN ABD RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD KADIR BIN SAINUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KAPT (B) AHIATUDIN BIN DAUD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
20,085/21/04,SK SERANDU,1.0,318,16,251,0,46,313,5,0,SERANDU ,UNDI BIASA
20,085/21/04,SK SERANDU,2.0,354,24,248,0,80,352,2,0,SERANDU ,UNDI BIASA
20,085/21/04,SK SERANDU,3.0,332,18,218,0,92,328,4,0,SERANDU ,UNDI BIASA
21,085/21/05,SJK(C) YOKE HWA KUALA PAHANG,1.0,291,9,207,1,59,276,15,0,KUALA PAHANG ,UNDI BIASA
21,085/21/05,SJK(C) YOKE HWA KUALA PAHANG,2.0,490,24,296,1,159,480,10,0,KUALA PAHANG ,UNDI BIASA
21,085/21/05,SJK(C) YOKE HWA KUALA PAHANG,3.0,466,27,271,0,162,460,6,0,KUALA PAHANG ,UNDI BIASA
21,085/21/05,SJK(C) YOKE HWA KUALA PAHANG,4.0,432,27,219,0,183,429,3,0,KUALA PAHANG ,UNDI BIASA
22,085/21/06,SK INDERA SHAHBANDAR,1.0,299,21,208,2,60,291,8,0,KAMPUNG MARHUM ,UNDI BIASA
22,085/21/06,SK INDERA SHAHBANDAR,2.0,434,27,293,0,106,426,7,1,KAMPUNG MARHUM ,UNDI BIASA
22,085/21/06,SK INDERA SHAHBANDAR,3.0,396,24,280,0,82,386,10,0,KAMPUNG MARHUM ,UNDI BIASA
22,085/21/06,SK INDERA SHAHBANDAR,4.0,394,27,246,1,118,392,2,0,KAMPUNG MARHUM ,UNDI BIASA
23,085/21/07,SK PASIR PANJANG,1.0,307,11,247,1,31,290,17,0,PASIR PANJANG ,UNDI BIASA
23,085/21/07,SK PASIR PANJANG,2.0,454,20,354,0,71,445,9,0,PASIR PANJANG ,UNDI BIASA
23,085/21/07,SK PASIR PANJANG,3.0,394,27,270,0,94,391,3,0,PASIR PANJANG ,UNDI BIASA
23,085/21/07,SK PASIR PANJANG,4.0,408,51,242,1,110,404,4,0,PASIR PANJANG ,UNDI BIASA
24,085/21/08,SEKOLAH MENENGAH AGAMA AL-ATTAS,1.0,280,28,177,3,60,268,12,0,KETAPANG ,UNDI BIASA
24,085/21/08,SEKOLAH MENENGAH AGAMA AL-ATTAS,2.0,529,69,323,0,133,525,4,0,KETAPANG ,UNDI BIASA
24,085/21/08,SEKOLAH MENENGAH AGAMA AL-ATTAS,3.0,490,64,251,0,172,487,3,0,KETAPANG ,UNDI BIASA
24,085/21/08,SEKOLAH MENENGAH AGAMA AL-ATTAS,4.0,448,74,235,1,136,446,2,0,KETAPANG ,UNDI BIASA
24,085/21/08,SEKOLAH MENENGAH AGAMA AL-ATTAS,5.0,455,82,210,0,159,451,4,0,KETAPANG ,UNDI BIASA
25,085/21/09,SK SINAR MUTIARA,1.0,295,14,240,3,20,277,18,0,SUNGAI MIANG ,UNDI BIASA
25,085/21/09,SK SINAR MUTIARA,2.0,616,42,523,2,40,607,9,0,SUNGAI MIANG ,UNDI BIASA
25,085/21/09,SK SINAR MUTIARA,3.0,564,40,464,1,46,551,13,0,SUNGAI MIANG ,UNDI BIASA
25,085/21/09,SK SINAR MUTIARA,4.0,545,49,435,2,51,537,8,0,SUNGAI MIANG ,UNDI BIASA
26,085/21/10,SK AHMAD,1.0,240,32,157,1,36,226,14,0,BANDAR PEKAN ,UNDI BIASA
26,085/21/10,SK AHMAD,2.0,492,82,285,1,116,484,8,0,BANDAR PEKAN ,UNDI BIASA
26,085/21/10,SK AHMAD,3.0,497,95,251,0,142,488,9,0,BANDAR PEKAN ,UNDI BIASA
26,085/21/10,SK AHMAD,4.0,487,91,234,1,155,481,6,0,BANDAR PEKAN ,UNDI BIASA
26,085/21/10,SK AHMAD,5.0,442,105,204,0,130,439,3,0,BANDAR PEKAN ,UNDI BIASA
26,085/21/10,SK AHMAD,6.0,422,89,188,1,137,415,7,0,BANDAR PEKAN ,UNDI BIASA
26,085/21/10,SK AHMAD,7.0,461,93,205,1,159,458,3,0,BANDAR PEKAN ,UNDI BIASA
27,085/21/11,SM SAINS SULTAN HAJI AHMAD SHAH PEKAN,1.0,257,32,164,1,54,251,6,0,MENGKASAR ,UNDI BIASA
27,085/21/11,SM SAINS SULTAN HAJI AHMAD SHAH PEKAN,2.0,430,44,270,0,112,426,4,0,MENGKASAR ,UNDI BIASA
27,085/21/11,SM SAINS SULTAN HAJI AHMAD SHAH PEKAN,3.0,421,62,222,0,132,416,5,0,MENGKASAR ,UNDI BIASA
27,085/21/11,SM SAINS SULTAN HAJI AHMAD SHAH PEKAN,4.0,386,47,234,0,104,385,1,0,MENGKASAR ,UNDI BIASA
27,085/21/11,SM SAINS SULTAN HAJI AHMAD SHAH PEKAN,5.0,376,55,224,0,97,376,0,0,MENGKASAR ,UNDI BIASA
28,085/21/12,SK SRI MAULANA,1.0,309,21,228,0,51,300,9,0,PULAU JAWA ,UNDI BIASA
28,085/21/12,SK SRI MAULANA,2.0,376,28,264,0,82,374,2,0,PULAU JAWA ,UNDI BIASA
28,085/21/12,SK SRI MAULANA,3.0,326,31,218,0,74,323,3,0,PULAU JAWA ,UNDI BIASA
29,085/21/13,SMK PERAMU JAYA,1.0,302,23,205,1,68,297,5,0,KELAT RENDANG ,UNDI BIASA
29,085/21/13,SMK PERAMU JAYA,2.0,580,55,327,0,194,576,4,0,KELAT RENDANG ,UNDI BIASA
29,085/21/13,SMK PERAMU JAYA,3.0,515,64,266,0,182,512,3,0,KELAT RENDANG ,UNDI BIASA
