Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZAKARIA ABDUL HAMID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSANIFF BIN AB. RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ISMAIL SABRI YAAKOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
11,090/37/07,SK LKTP BUKIT KEPAYANG,4.0,389,78,139,169,386,3,0,FELDA BUKIT KEPAYANG ,UNDI BIASA
12,090/37/08,SK BUKIT ROK,1.0,245,75,6,156,237,8,0,BUKIT ROK ,UNDI BIASA
12,090/37/08,SK BUKIT ROK,2.0,317,127,6,175,308,9,0,BUKIT ROK ,UNDI BIASA
13,090/37/09,SK BATU PAPAN,1.0,283,43,42,190,275,8,0,KUALA BERA ,UNDI BIASA
13,090/37/09,SK BATU PAPAN,2.0,340,71,72,187,330,10,0,KUALA BERA ,UNDI BIASA
13,090/37/09,SK BATU PAPAN,3.0,317,59,80,177,316,1,0,KUALA BERA ,UNDI BIASA
14,090/37/10,SK KUALA TRIANG,1.0,298,36,123,134,293,5,0,KUALA TRIANG ,UNDI BIASA
14,090/37/10,SK KUALA TRIANG,2.0,379,64,122,192,378,1,0,KUALA TRIANG ,UNDI BIASA
14,090/37/10,SK KUALA TRIANG,3.0,375,66,127,182,375,0,0,KUALA TRIANG ,UNDI BIASA
15,090/37/11,SK GUAI,1.0,337,68,68,195,331,6,0,SENYUM JEMPOL ,UNDI BIASA
16,090/37/12,SK DURIAN TAWAR,1.0,286,39,73,167,279,7,0,DURIAN TAWAR ,UNDI BIASA
16,090/37/12,SK DURIAN TAWAR,2.0,541,113,181,245,539,2,0,DURIAN TAWAR ,UNDI BIASA
17,090/37/13,SJK(C) MENGKARAK,1.0,261,166,5,85,256,5,0,MENGKARAK ,UNDI BIASA
17,090/37/13,SJK(C) MENGKARAK,2.0,476,366,6,97,469,7,0,MENGKARAK ,UNDI BIASA
17,090/37/13,SJK(C) MENGKARAK,3.0,481,401,5,72,478,3,0,MENGKARAK ,UNDI BIASA
18,090/37/14,SMK SERI BERA,1.0,304,42,91,167,300,4,0,PADANG LUAS ,UNDI BIASA
18,090/37/14,SMK SERI BERA,2.0,438,80,164,190,434,4,0,PADANG LUAS ,UNDI BIASA
18,090/37/14,SMK SERI BERA,3.0,420,88,141,191,420,0,0,PADANG LUAS ,UNDI BIASA
19,090/38/01,SJK(C) LADANG MENTERI,1.0,343,259,5,69,333,9,1,LADANG MENTERI ,UNDI BIASA
20,090/38/02,SMK BANDAR KERAYONG,1.0,278,181,4,90,275,3,0,KERAYONG ,UNDI BIASA
20,090/38/02,SMK BANDAR KERAYONG,2.0,529,390,16,120,526,3,0,KERAYONG ,UNDI BIASA
20,090/38/02,SMK BANDAR KERAYONG,3.0,510,375,19,114,508,2,0,KERAYONG ,UNDI BIASA
20,090/38/02,SMK BANDAR KERAYONG,4.0,483,358,20,102,480,3,0,KERAYONG ,UNDI BIASA
20,090/38/02,SMK BANDAR KERAYONG,5.0,468,355,24,86,465,3,0,KERAYONG ,UNDI BIASA
20,090/38/02,SMK BANDAR KERAYONG,6.0,490,361,19,110,490,0,0,KERAYONG ,UNDI BIASA
21,090/38/03,SJK(C) TRIANG 2,1.0,259,194,0,56,250,9,0,TAMAN SENTOSA ,UNDI BIASA
21,090/38/03,SJK(C) TRIANG 2,2.0,564,436,4,110,550,14,0,TAMAN SENTOSA ,UNDI BIASA
21,090/38/03,SJK(C) TRIANG 2,3.0,565,470,9,78,557,8,0,TAMAN SENTOSA ,UNDI BIASA
21,090/38/03,SJK(C) TRIANG 2,4.0,534,464,6,60,530,4,0,TAMAN SENTOSA ,UNDI BIASA
21,090/38/03,SJK(C) TRIANG 2,5.0,561,490,3,63,556,5,0,TAMAN SENTOSA ,UNDI BIASA
21,090/38/03,SJK(C) TRIANG 2,6.0,559,493,9,54,556,3,0,TAMAN SENTOSA ,UNDI BIASA
21,090/38/03,SJK(C) TRIANG 2,7.0,570,504,18,47,569,1,0,TAMAN SENTOSA ,UNDI BIASA
21,090/38/03,SJK(C) TRIANG 2,8.0,556,478,19,56,553,3,0,TAMAN SENTOSA ,UNDI BIASA
22,090/38/04,SMK TRIANG,1.0,303,257,1,42,300,3,0,BANDAR TRIANG ,UNDI BIASA
22,090/38/04,SMK TRIANG,2.0,370,340,1,26,367,3,0,BANDAR TRIANG ,UNDI BIASA
22,090/38/04,SMK TRIANG,3.0,347,324,0,21,345,2,0,BANDAR TRIANG ,UNDI BIASA
22,090/38/04,SMK TRIANG,4.0,365,356,0,9,365,0,0,BANDAR TRIANG ,UNDI BIASA
22,090/38/04,SMK TRIANG,5.0,363,347,0,16,363,0,0,BANDAR TRIANG ,UNDI BIASA
23,090/38/05,SJK(C) TRIANG 1,1.0,278,214,4,46,264,14,0,KAMPUNG BARU TRIANG ,UNDI BIASA
23,090/38/05,SJK(C) TRIANG 1,2.0,398,338,4,50,392,6,0,KAMPUNG BARU TRIANG ,UNDI BIASA
23,090/38/05,SJK(C) TRIANG 1,3.0,398,355,1,36,392,6,0,KAMPUNG BARU TRIANG ,UNDI BIASA
23,090/38/05,SJK(C) TRIANG 1,4.0,386,351,4,30,385,1,0,KAMPUNG BARU TRIANG ,UNDI BIASA
23,090/38/05,SJK(C) TRIANG 1,5.0,371,344,3,24,371,0,0,KAMPUNG BARU TRIANG ,UNDI BIASA
23,090/38/05,SJK(C) TRIANG 1,6.0,377,359,0,18,377,0,0,KAMPUNG BARU TRIANG ,UNDI BIASA
24,090/38/06,SK SRI BUNTAR,1.0,271,135,11,118,264,7,0,SRI BUNTAR ,UNDI BIASA
24,090/38/06,SK SRI BUNTAR,2.0,274,97,46,129,272,2,0,SRI BUNTAR ,UNDI BIASA
25,090/38/07,SJK(C) MENGKUANG,1.0,284,206,6,62,274,10,0,MENGKUANG ,UNDI BIASA
25,090/38/07,SJK(C) MENGKUANG,2.0,431,245,29,146,420,11,0,MENGKUANG ,UNDI BIASA
25,090/38/07,SJK(C) MENGKUANG,3.0,391,341,4,44,389,2,0,MENGKUANG ,UNDI BIASA
25,090/38/07,SJK(C) MENGKUANG,4.0,398,226,54,115,395,3,0,MENGKUANG ,UNDI BIASA
26,090/38/08,SK LKTP BUKIT PUCHONG,1.0,305,26,20,247,293,12,0,FELDA BUKIT PUCHONG ,UNDI BIASA
26,090/38/08,SK LKTP BUKIT PUCHONG,2.0,541,106,87,338,531,10,0,FELDA BUKIT PUCHONG ,UNDI BIASA
26,090/38/08,SK LKTP BUKIT PUCHONG,3.0,515,138,103,269,510,5,0,FELDA BUKIT PUCHONG ,UNDI BIASA
27,090/38/09,SK LKTP BUKIT MENDI,1.0,291,15,31,230,276,15,0,FELDA BUKIT MENDI ,UNDI BIASA
27,090/38/09,SK LKTP BUKIT MENDI,2.0,385,79,65,239,383,2,0,FELDA BUKIT MENDI ,UNDI BIASA
27,090/38/09,SK LKTP BUKIT MENDI,3.0,352,69,99,179,347,5,0,FELDA BUKIT MENDI ,UNDI BIASA
27,090/38/09,SK LKTP BUKIT MENDI,4.0,331,95,94,141,330,1,0,FELDA BUKIT MENDI ,UNDI BIASA
28,090/39/01,SK BUKIT GEMURUH,1.0,488,67,6,364,437,51,0,BUKIT GEMUROH ,UNDI BIASA
29,090/39/02,SMK TRIANG 3,1.0,310,31,74,199,304,6,0,FELDA TRIANG DUA & TIGA ,UNDI BIASA
