Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AHMAD NAZLAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ YOHANIS AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WAN MOHD SHAHRIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
22,081/10/01,SJK(C) BATU BALAI,1.0,270,88,71,95,254,16,0,BATU BALAI ,UNDI BIASA
22,081/10/01,SJK(C) BATU BALAI,2.0,533,130,232,167,529,4,0,BATU BALAI ,UNDI BIASA
22,081/10/01,SJK(C) BATU BALAI,3.0,486,121,250,110,481,5,0,BATU BALAI ,UNDI BIASA
23,081/10/02,SK DAMAK,1.0,268,98,77,78,253,15,0,KAMPUNG DAMAK ,UNDI BIASA
23,081/10/02,SK DAMAK,2.0,378,102,153,117,372,6,0,KAMPUNG DAMAK ,UNDI BIASA
23,081/10/02,SK DAMAK,3.0,355,77,175,103,355,0,0,KAMPUNG DAMAK ,UNDI BIASA
24,081/10/03,DEWAN ORANG RAMAI KG. KOI,1.0,263,155,70,28,253,10,0,KAMPUNG KOI ,UNDI BIASA
24,081/10/03,DEWAN ORANG RAMAI KG. KOI,2.0,308,158,109,34,301,7,0,KAMPUNG KOI ,UNDI BIASA
25,081/10/04,DEWAN JKKK KAMPUNG SOM,1.0,256,158,57,38,253,3,0,KAMPUNG SOM ,UNDI BIASA
26,081/10/05,SK KAMPUNG BAHARU,1.0,293,163,110,15,288,5,0,KAMPUNG BAHARU ,UNDI BIASA
27,081/10/06,BALAI RAYA LATA KASAH,1.0,375,182,119,70,371,4,0,KAMPUNG LATA KASAH ,UNDI BIASA
28,081/10/07,SK JERANTUT,1.0,262,111,40,93,244,18,0,BANDAR JERANTUT LUAR ,UNDI BIASA
28,081/10/07,SK JERANTUT,2.0,280,107,70,100,277,3,0,BANDAR JERANTUT LUAR ,UNDI BIASA
29,081/10/08,SK BANDAR JERANTUT,1.0,268,142,74,43,259,9,0,KAMPUNG MELAYU ,UNDI BIASA
29,081/10/08,SK BANDAR JERANTUT,2.0,450,211,119,112,442,8,0,KAMPUNG MELAYU ,UNDI BIASA
