Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU SULAIMAN MD DERUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) FUZIAH SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' WONG KEAN HWEE DATO' WONG KEAN HWEE Jumlah undian,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
17,083/15/05,SK KEMPADANG,7.0,535,263,155,113,531,4,0,KEMPADANG ,UNDI BIASA
18,083/15/06,SMK TANJUNG LUMPUR,1.0,298,115,35,125,275,23,0,KAMPUNG PERAMU ,UNDI BIASA
18,083/15/06,SMK TANJUNG LUMPUR,2.0,574,249,84,207,540,34,0,KAMPUNG PERAMU ,UNDI BIASA
18,083/15/06,SMK TANJUNG LUMPUR,3.0,551,284,86,172,542,9,0,KAMPUNG PERAMU ,UNDI BIASA
18,083/15/06,SMK TANJUNG LUMPUR,4.0,517,279,119,111,509,8,0,KAMPUNG PERAMU ,UNDI BIASA
18,083/15/06,SMK TANJUNG LUMPUR,5.0,488,261,117,104,482,6,0,KAMPUNG PERAMU ,UNDI BIASA
18,083/15/06,SMK TANJUNG LUMPUR,6.0,504,261,141,99,501,3,0,KAMPUNG PERAMU ,UNDI BIASA
19,083/15/07,SK TANAH PUTIH BARU,1.0,296,112,53,120,285,11,0,TANAH PUTIH BARU ,UNDI BIASA
19,083/15/07,SK TANAH PUTIH BARU,2.0,553,202,177,167,546,7,0,TANAH PUTIH BARU ,UNDI BIASA
19,083/15/07,SK TANAH PUTIH BARU,3.0,512,178,194,138,510,2,0,TANAH PUTIH BARU ,UNDI BIASA
19,083/15/07,SK TANAH PUTIH BARU,4.0,480,225,125,123,473,7,0,TANAH PUTIH BARU ,UNDI BIASA
19,083/15/07,SK TANAH PUTIH BARU,5.0,483,218,149,111,478,5,0,TANAH PUTIH BARU ,UNDI BIASA
20,083/15/08,SK SUNGAI ISAP MURNI,1.0,310,98,46,160,304,6,0,SUNGAI ISAP MURNI ,UNDI BIASA
20,083/15/08,SK SUNGAI ISAP MURNI,2.0,600,257,121,217,595,5,0,SUNGAI ISAP MURNI ,UNDI BIASA
