Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HAJI AWANG SOLAHUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO ZUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RASHID YOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) SURAYA BINTI YAACOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
11,011/18/08,"SEKOLAH KEBANGSAAN KAMPUNG PULAI, TOKAI",2,418,326,20,2,69,417,1,0,KAMPUNG PULAI ,UNDI BIASA,KAMPUNG PULAI 011/18/08
12,011/18/09,"SEKOLAH KEBANGSAAN ALOR BESAR, KOTA SARANG SEMUT",1,375,293,30,2,46,371,4,0,ALOR BESAR ,UNDI BIASA,ALOR BESAR 011/18/09
12,011/18/09,"SEKOLAH KEBANGSAAN ALOR BESAR, KOTA SARANG SEMUT",2,380,332,15,4,29,380,0,0,ALOR BESAR ,UNDI BIASA,ALOR BESAR 011/18/09
13,011/18/10,"SEKOLAH KEBANGSAAN BUKIT CHORAS, KOTA SARANG SEMUT",1,343,174,67,4,92,337,6,0,KOBAH ,UNDI BIASA,KOBAH 011/18/10
13,011/18/10,"SEKOLAH KEBANGSAAN BUKIT CHORAS, KOTA SARANG SEMUT",2,373,237,68,3,61,369,4,0,KOBAH ,UNDI BIASA,KOBAH 011/18/10
13,011/18/10,"SEKOLAH KEBANGSAAN BUKIT CHORAS, KOTA SARANG SEMUT",3,527,406,51,3,67,527,0,0,KOBAH ,UNDI BIASA,KOBAH 011/18/10
13,011/18/10,"SEKOLAH KEBANGSAAN BUKIT CHORAS, KOTA SARANG SEMUT",4,556,456,45,0,49,550,6,0,KOBAH ,UNDI BIASA,KOBAH 011/18/10
14,011/18/11,"SEKOLAH MENENGAH KEBANGSAAN PENDANG, PENDANG",1,252,217,10,2,23,252,0,0,TEMPOYAK ,UNDI BIASA,TEMPOYAK 011/18/11
15,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",1,293,105,124,1,63,293,0,0,SEBRANG PENDANG ,UNDI BIASA,SEBRANG PENDANG 011/18/12
15,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",2,365,146,130,11,73,360,5,0,SEBRANG PENDANG ,UNDI BIASA,SEBRANG PENDANG 011/18/12
15,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",3,485,242,181,7,54,484,1,0,SEBRANG PENDANG ,UNDI BIASA,SEBRANG PENDANG 011/18/12
15,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",4,417,282,93,3,39,417,0,0,SEBRANG PENDANG ,UNDI BIASA,SEBRANG PENDANG 011/18/12
15,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",5,393,260,81,2,50,393,0,0,SEBRANG PENDANG ,UNDI BIASA,SEBRANG PENDANG 011/18/12
15,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",6,466,310,104,4,45,463,3,0,SEBRANG PENDANG ,UNDI BIASA,SEBRANG PENDANG 011/18/12
16,011/18/13,"SEKOLAH JENIS KEBANGSAAN (CINA) YEANG CHENG, PENDANG",1,354,182,55,7,107,351,3,0,PEKAN PENDANG ,UNDI BIASA,PEKAN PENDANG 011/18/13
