Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MAIZA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' LATIFAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AHMAD TARMIZI SULAIMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
12,CHAROK KIT 013/23/09,"KOLEJ KEDA, SIK",2,425,73,27,325,425,0,0
12,CHAROK KIT 013/23/09,"KOLEJ KEDA, SIK",3,430,76,28,322,426,4,0
13,KAMPUNG DUSUN 013/23/10,"SEKOLAH MENENGAH KEBANGSAAN SIK, SIK",1,355,110,31,212,353,2,0
13,KAMPUNG DUSUN 013/23/10,"SEKOLAH MENENGAH KEBANGSAAN SIK, SIK",2,357,74,31,251,356,1,0
13,KAMPUNG DUSUN 013/23/10,"SEKOLAH MENENGAH KEBANGSAAN SIK, SIK",3,409,64,40,304,408,1,0
14,PEKAN SIK 013/23/11,"SEKOLAH KEBANGSAAN SIK, SIK",1,233,66,67,99,232,1,0
14,PEKAN SIK 013/23/11,"SEKOLAH KEBANGSAAN SIK, SIK",2,259,57,88,113,258,1,0
14,PEKAN SIK 013/23/11,"SEKOLAH KEBANGSAAN SIK, SIK",3,309,67,64,178,309,0,0
15,KAMPUNG SADU 013/23/12,"SEKOLAH JENIS KEBANGSAAN  (CINA ) CHUNG HWA, SIK",1,328,109,18,200,327,1,0
15,KAMPUNG SADU 013/23/12,"SEKOLAH JENIS KEBANGSAAN  (CINA ) CHUNG HWA, SIK",2,323,56,11,255,322,1,0
15,KAMPUNG SADU 013/23/12,"SEKOLAH JENIS KEBANGSAAN  (CINA ) CHUNG HWA, SIK",3,355,71,21,261,353,2,0
16,KAMPUNG NAMEK 013/23/13,"SEKOLAH KEBANGSAAN SERI DUSUN, SIK",1,389,167,12,207,386,3,0
16,KAMPUNG NAMEK 013/23/13,"SEKOLAH KEBANGSAAN SERI DUSUN, SIK",2,466,140,13,309,462,4,0
16,KAMPUNG NAMEK 013/23/13,"SEKOLAH KEBANGSAAN SERI DUSUN, SIK",3,424,75,13,335,423,1,0
16,KAMPUNG NAMEK 013/23/13,"SEKOLAH KEBANGSAAN SERI DUSUN, SIK",4,454,95,20,337,452,2,0
17,KAMPUNG KEMELONG 013/23/14,MAKTAB MAHMUD SIK,1,350,131,17,195,343,7,0
17,KAMPUNG KEMELONG 013/23/14,MAKTAB MAHMUD SIK,2,387,130,22,233,385,2,0
17,KAMPUNG KEMELONG 013/23/14,MAKTAB MAHMUD SIK,3,577,118,31,427,576,1,0
17,KAMPUNG KEMELONG 013/23/14,MAKTAB MAHMUD SIK,4,499,88,34,374,496,3,0
17,KAMPUNG KEMELONG 013/23/14,MAKTAB MAHMUD SIK,5,599,100,50,447,597,2,0
