Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) CIKGU JOHARI ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) LT KOL (B) BASIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK AZEEZ RAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ HASSAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),CIKGU JOHARI ABDULLAH,LT KOL (B) BASIR,DATUK AZEEZ RAHIM,USTAZ HASSAN,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
62,PEKAN BARU KUALA KETIL 016/32/04,"SEKOLAH MENENGAH KEBANGSAAN KUALA KETIL,KUALA KETIL",1,322,53,10,144,109,316,6,0
62,PEKAN BARU KUALA KETIL 016/32/04,"SEKOLAH MENENGAH KEBANGSAAN KUALA KETIL,KUALA KETIL",2,316,54,6,95,158,313,3,0
62,PEKAN BARU KUALA KETIL 016/32/04,"SEKOLAH MENENGAH KEBANGSAAN KUALA KETIL,KUALA KETIL",3,332,58,3,68,200,329,3,0
63,"PEKAN LAMA KUALA KETIL
016/32/05","SEKOLAH  MENENGAH KEBANGSAAN  TANJUNG PUTERI,KUALA KETIL",1,332,103,5,147,74,329,3,0
63,"PEKAN LAMA KUALA KETIL
016/32/05","SEKOLAH  MENENGAH KEBANGSAAN  TANJUNG PUTERI,KUALA KETIL",2,372,81,11,168,104,364,8,0
63,"PEKAN LAMA KUALA KETIL
016/32/05","SEKOLAH  MENENGAH KEBANGSAAN  TANJUNG PUTERI,KUALA KETIL",3,574,157,6,165,239,567,7,0
63,"PEKAN LAMA KUALA KETIL
016/32/05","SEKOLAH  MENENGAH KEBANGSAAN  TANJUNG PUTERI,KUALA KETIL",4,517,143,1,123,245,512,5,0
63,"PEKAN LAMA KUALA KETIL
016/32/05","SEKOLAH  MENENGAH KEBANGSAAN  TANJUNG PUTERI,KUALA KETIL",5,530,125,3,129,258,515,15,0
63,"PEKAN LAMA KUALA KETIL
016/32/05","SEKOLAH  MENENGAH KEBANGSAAN  TANJUNG PUTERI,KUALA KETIL",6,604,94,1,132,376,603,1,0
64,TAMAN BATU PEKAKA 016/32/06,"SEKOLAH JENIS KEBANGSAAN (CINA) KUALA KETIL, KUALA KETIL",1,325,164,7,115,16,302,23,0
64,TAMAN BATU PEKAKA 016/32/06,"SEKOLAH JENIS KEBANGSAAN (CINA) KUALA KETIL, KUALA KETIL",2,379,209,2,129,37,377,2,0
64,TAMAN BATU PEKAKA 016/32/06,"SEKOLAH JENIS KEBANGSAAN (CINA) KUALA KETIL, KUALA KETIL",3,372,174,1,138,51,364,8,0
65,BATU PEKAKA 016/32/07,"SEKOLAH KEBANGSAAN BATU PEKAKA, KUALA KETIL",1,348,61,8,166,99,334,14,0
65,BATU PEKAKA 016/32/07,"SEKOLAH KEBANGSAAN BATU PEKAKA, KUALA KETIL",2,520,80,2,175,258,515,5,0
65,BATU PEKAKA 016/32/07,"SEKOLAH KEBANGSAAN BATU PEKAKA, KUALA KETIL",3,481,92,2,106,275,475,6,0
65,BATU PEKAKA 016/32/07,"SEKOLAH KEBANGSAAN BATU PEKAKA, KUALA KETIL",4,520,81,4,128,303,516,4,0
66,"KAMPUNG THYE SENG
016/32/08",SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BATU PEKAKA,1,248,42,8,126,67,243,5,0
66,"KAMPUNG THYE SENG
016/32/08",SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BATU PEKAKA,2,269,43,1,96,127,267,2,0
67,KUALA KULI 016/32/09,"SEKOLAH KEBANGSAAN SERI JEMERLI, LADANG KUALA KETIL",1,366,54,4,216,83,357,9,0
67,KUALA KULI 016/32/09,"SEKOLAH KEBANGSAAN SERI JEMERLI, LADANG KUALA KETIL",2,410,45,1,190,174,410,0,0
67,KUALA KULI 016/32/09,"SEKOLAH KEBANGSAAN SERI JEMERLI, LADANG KUALA KETIL",3,407,50,0,148,206,404,3,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.016 BALING
JUMLAH PEMILIH: 132,099                                                                                                                                                                                           MUKASURAT: 12/14",KUALA KULI 016/32/09,"SEKOLAH KEBANGSAAN SERI JEMERLI, LADANG KUALA KETIL",3,407,50,0,148,206,404,3,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,148,206,404,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),CIKGU JOHARI ABDULLAH,LT KOL (B) BASIR,DATUK AZEEZ RAHIM,USTAZ HASSAN,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
68,KAMPUNG JAWA 016/32/10,"SEKOLAH KEBANGSAAN KUALA KETIL, KUALA KETIL",4,357,23,1,198,131,353,4,0
68,KAMPUNG JAWA 016/32/10,"SEKOLAH KEBANGSAAN KUALA KETIL, KUALA KETIL",5,498,22,6,164,304,496,2,0
69,PADANG GEH 016/32/11,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG KIM SENG,1,402,32,3,153,209,397,5,0
69,PADANG GEH 016/32/11,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG KIM SENG,2,520,51,4,157,307,519,1,0
69,PADANG GEH 016/32/11,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG KIM SENG,3,526,46,0,123,357,526,0,0
70,KUALA MERAH 016/32/12,"SEKOLAH  KEBANGSAAN KUALA MERAH, KAMPUNG KUALA MERAH",1,347,10,5,137,192,344,3,0
70,KUALA MERAH 016/32/12,"SEKOLAH  KEBANGSAAN KUALA MERAH, KAMPUNG KUALA MERAH",2,417,12,0,90,312,414,3,0
71,PARIT PANJANG 016/32/13,"SEKOLAH MENENGAH KEBANGSAAN  PARIT PANJANG, PARIT PANJANG",1,373,10,2,59,300,371,2,0
71,PARIT PANJANG 016/32/13,"SEKOLAH MENENGAH KEBANGSAAN  PARIT PANJANG, PARIT PANJANG",2,406,14,5,77,306,402,4,0
71,PARIT PANJANG 016/32/13,"SEKOLAH MENENGAH KEBANGSAAN  PARIT PANJANG, PARIT PANJANG",3,532,17,0,51,461,529,3,0
71,PARIT PANJANG 016/32/13,"SEKOLAH MENENGAH KEBANGSAAN  PARIT PANJANG, PARIT PANJANG",4,480,9,0,66,404,479,1,0
71,PARIT PANJANG 016/32/13,"SEKOLAH MENENGAH KEBANGSAAN  PARIT PANJANG, PARIT PANJANG",5,500,8,0,62,426,496,4,0
71,PARIT PANJANG 016/32/13,"SEKOLAH MENENGAH KEBANGSAAN  PARIT PANJANG, PARIT PANJANG",6,531,5,1,65,458,529,2,0
72,KAMPUNG TEMBAK 016/32/14,"SEKOLAH KEBANGSAAN TEMBAK, JALAN PARIT PANJANG",1,384,14,2,81,285,382,2,0
72,KAMPUNG TEMBAK 016/32/14,"SEKOLAH KEBANGSAAN TEMBAK, JALAN PARIT PANJANG",2,406,12,0,61,329,402,4,0
72,KAMPUNG TEMBAK 016/32/14,"SEKOLAH KEBANGSAAN TEMBAK, JALAN PARIT PANJANG",3,553,13,0,71,459,543,10,0
72,KAMPUNG TEMBAK 016/32/14,"SEKOLAH KEBANGSAAN TEMBAK, JALAN PARIT PANJANG",4,540,17,0,48,474,539,1,0
72,KAMPUNG TEMBAK 016/32/14,"SEKOLAH KEBANGSAAN TEMBAK, JALAN PARIT PANJANG",5,601,5,1,60,534,600,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.016 BALING
JUMLAH PEMILIH: 132,099                                                                                                                                                                                           MUKASURAT: 13/14",KAMPUNG TEMBAK 016/32/14,"SEKOLAH KEBANGSAAN TEMBAK, JALAN PARIT PANJANG",5,601,5,1,60,534,600,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",1,60,534,600,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),CIKGU JOHARI ABDULLAH,LT KOL (B) BASIR,DATUK AZEEZ RAHIM,USTAZ HASSAN,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
73,PAYA BESAR 016/32/15,"SEKOLAH  KEBANGSAAN PAYA BESAR, KAMPUNG PAYA BESAR",1,402,10,3,118,263,394,8,0
73,PAYA BESAR 016/32/15,"SEKOLAH  KEBANGSAAN PAYA BESAR, KAMPUNG PAYA BESAR",2,456,16,0,93,343,452,4,0
73,PAYA BESAR 016/32/15,"SEKOLAH  KEBANGSAAN PAYA BESAR, KAMPUNG PAYA BESAR",3,425,3,2,79,341,425,0,0
73,PAYA BESAR 016/32/15,"SEKOLAH  KEBANGSAAN PAYA BESAR, KAMPUNG PAYA BESAR",4,470,5,0,110,355,470,0,0
74,KUALA SAMAK 016/32/16,"SEKOLAH  KEBANGSAAN KUALA SAMAK, KUALA KETIL",1,405,14,1,107,279,401,4,0
74,KUALA SAMAK 016/32/16,"SEKOLAH  KEBANGSAAN KUALA SAMAK, KUALA KETIL",2,444,7,0,114,319,440,4,0
74,KUALA SAMAK 016/32/16,"SEKOLAH  KEBANGSAAN KUALA SAMAK, KUALA KETIL",3,479,2,0,115,359,476,3,0
75,BINJOL DALAM 016/32/17,"SEKOLAH  KEBANGSAAN BINJUL DALAM, KAMPUNG BINJUL DALAM",1,406,11,2,126,267,406,0,0
75,BINJOL DALAM 016/32/17,"SEKOLAH  KEBANGSAAN BINJUL DALAM, KAMPUNG BINJUL DALAM",2,384,7,5,86,281,379,5,0
75,BINJOL DALAM 016/32/17,"SEKOLAH  KEBANGSAAN BINJUL DALAM, KAMPUNG BINJUL DALAM",3,426,6,1,82,334,423,3,0
76,KAMPUNG TAWAR 016/32/18,"SEKOLAH KEBANGSAAN TAWAR, JALAN BALING",1,311,19,6,148,136,309,2,0
76,KAMPUNG TAWAR 016/32/18,"SEKOLAH KEBANGSAAN TAWAR, JALAN BALING",2,363,16,0,121,224,361,2,0
76,KAMPUNG TAWAR 016/32/18,"SEKOLAH KEBANGSAAN TAWAR, JALAN BALING",3,422,15,1,114,290,420,2,0
77,PEKAN TAWAR 016/32/19,"SEKOLAH  JENIS KEBANGSAAN  (CINA) KONG MIN, TAWAR",1,296,70,0,178,45,293,3,0
77,PEKAN TAWAR 016/32/19,"SEKOLAH  JENIS KEBANGSAAN  (CINA) KONG MIN, TAWAR",2,287,65,1,99,118,283,4,0
77,PEKAN TAWAR 016/32/19,"SEKOLAH  JENIS KEBANGSAAN  (CINA) KONG MIN, TAWAR",3,308,72,2,100,133,307,1,0
78,BINJAL LUAR 016/32/20,"SEKOLAH KEBANGSAAN BINJUL, BINJUL",1,392,11,4,173,194,382,10,0
78,BINJAL LUAR 016/32/20,"SEKOLAH KEBANGSAAN BINJUL, BINJUL",2,386,18,0,138,227,383,3,0
78,BINJAL LUAR 016/32/20,"SEKOLAH KEBANGSAAN BINJUL, BINJUL",3,424,17,0,127,279,423,1,0
79,LADANG MALAKOFF 016/32/21,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG MALAKOFF, KUALA KETIL",1,352,66,2,202,68,338,14,0
79,LADANG MALAKOFF 016/32/21,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG MALAKOFF, KUALA KETIL",2,500,94,2,210,191,497,3,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.016 BALING
JUMLAH PEMILIH: 132,099                                                                                                                                                                                           MUKASURAT: 14/14",LADANG MALAKOFF 016/32/21,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG MALAKOFF, KUALA KETIL",2,500,94,2,210,191,497,3,0
