Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' CIKGU AZMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO SIVARAJ CHANDRAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAMZAH ABD RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. SOFEE RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ANANDA AK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MOHD BAKHRI BIN HAJI HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
41,017/34/17,"SEKOLAH MENENGAH KEBANGSAAN KELADI, KULIM",4,335,179,10,1,136,5,1,332,3,0,SIMPANG TIGA KELADI ,UNDI BIASA,SIMPANG TIGA KELADI 017/34/17
42,017/34/18,"SEKOLAH MENENGAH KEBANGSAAN KELADI, KULIM",5,302,88,16,4,186,1,0,295,7,0,KAMPUNG DUSUN ,UNDI BIASA,KAMPUNG DUSUN 017/34/18
42,017/34/18,"SEKOLAH MENENGAH KEBANGSAAN KELADI, KULIM",6,290,124,6,1,153,3,0,287,3,0,KAMPUNG DUSUN ,UNDI BIASA,KAMPUNG DUSUN 017/34/18
42,017/34/18,"SEKOLAH MENENGAH KEBANGSAAN KELADI, KULIM",7,291,151,6,1,130,2,0,290,1,0,KAMPUNG DUSUN ,UNDI BIASA,KAMPUNG DUSUN 017/34/18
43,017/34/19,"SEKOLAH JENIS KEBANGSAAN (CINA) CHIO MIN (A DAN B), KULIM",1,202,11,9,4,172,1,3,200,2,0,KELANG SAGO ,UNDI BIASA,KELANG SAGO 017/34/19
43,017/34/19,"SEKOLAH JENIS KEBANGSAAN (CINA) CHIO MIN (A DAN B), KULIM",2,276,18,3,0,252,0,0,273,3,0,KELANG SAGO ,UNDI BIASA,KELANG SAGO 017/34/19
43,017/34/19,"SEKOLAH JENIS KEBANGSAAN (CINA) CHIO MIN (A DAN B), KULIM",3,280,34,6,1,236,1,1,279,1,0,KELANG SAGO ,UNDI BIASA,KELANG SAGO 017/34/19
43,017/34/19,"SEKOLAH JENIS KEBANGSAAN (CINA) CHIO MIN (A DAN B), KULIM",4,268,79,2,1,184,0,1,267,1,0,KELANG SAGO ,UNDI BIASA,KELANG SAGO 017/34/19
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH, KULIM",1,259,62,18,8,162,6,2,258,1,0,BANDAR PUTRA ,UNDI BIASA,BANDAR PUTRA 017/34/20
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH, KULIM",2,321,115,1,2,196,3,0,317,4,0,BANDAR PUTRA ,UNDI BIASA,BANDAR PUTRA 017/34/20
