Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK SERI SAIFUDDIN NASUTION ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) CIKGU ROSLAN HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RIZAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MUHAR BIN HUSSAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
41,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU, SUNGAI KECHIL ULU",5,506,144,303,1,55,503,3,0,SUNGAI KECHIL ULU ,UNDI BIASA,SUNGAI KECHIL ULU 018/36/15
42,018/36/16,PUSAT SUMBER KEMAS KEGIATAN DESA PARIT NIBONG,1,379,38,159,2,165,364,15,0,PARIT NIBONG ,UNDI BIASA,PARIT NIBONG 018/36/16
42,018/36/16,PUSAT SUMBER KEMAS KEGIATAN DESA PARIT NIBONG,2,474,61,308,6,89,464,10,0,PARIT NIBONG ,UNDI BIASA,PARIT NIBONG 018/36/16
42,018/36/16,PUSAT SUMBER KEMAS KEGIATAN DESA PARIT NIBONG,3,434,41,318,1,69,429,5,0,PARIT NIBONG ,UNDI BIASA,PARIT NIBONG 018/36/16
42,018/36/16,PUSAT SUMBER KEMAS KEGIATAN DESA PARIT NIBONG,4,480,36,382,3,57,478,2,0,PARIT NIBONG ,UNDI BIASA,PARIT NIBONG 018/36/16
43,018/36/17,"SEKOLAH KEBANGSAAN PERMATANG PASIR, KAMPUNG PERMATANG PASIR",1,350,58,113,3,160,334,16,0,PERMATANG PASIR ,UNDI BIASA,PERMATANG PASIR 018/36/17
43,018/36/17,"SEKOLAH KEBANGSAAN PERMATANG PASIR, KAMPUNG PERMATANG PASIR",2,407,85,224,4,87,400,7,0,PERMATANG PASIR ,UNDI BIASA,PERMATANG PASIR 018/36/17
43,018/36/17,"SEKOLAH KEBANGSAAN PERMATANG PASIR, KAMPUNG PERMATANG PASIR",3,402,66,270,2,63,401,1,0,PERMATANG PASIR ,UNDI BIASA,PERMATANG PASIR 018/36/17
43,018/36/17,"SEKOLAH KEBANGSAAN PERMATANG PASIR, KAMPUNG PERMATANG PASIR",4,447,61,307,2,75,445,2,0,PERMATANG PASIR ,UNDI BIASA,PERMATANG PASIR 018/36/17
44,018/36/18,"SEKOLAH KEBANGSAAN BANDAR BAHARU, BANDAR BAHARU",1,303,82,105,3,104,294,9,0,BANDAR BAHARU ,UNDI BIASA,BANDAR BAHARU 018/36/18
44,018/36/18,"SEKOLAH KEBANGSAAN BANDAR BAHARU, BANDAR BAHARU",2,361,95,174,4,85,358,3,0,BANDAR BAHARU ,UNDI BIASA,BANDAR BAHARU 018/36/18
44,018/36/18,"SEKOLAH KEBANGSAAN BANDAR BAHARU, BANDAR BAHARU",3,471,111,287,3,60,461,10,0,BANDAR BAHARU ,UNDI BIASA,BANDAR BAHARU 018/36/18
44,018/36/18,"SEKOLAH KEBANGSAAN BANDAR BAHARU, BANDAR BAHARU",4,538,103,371,1,57,532,5,1,BANDAR BAHARU ,UNDI BIASA,BANDAR BAHARU 018/36/18
,,,,,,,,,,,,,,
JUMLAH,JUMLAH,JUMLAH,169,71440,21408,34469,591,13872,70340,938,162,END,END,END
