Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORAINI BINTI MD SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' AHMAD YAHAYA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORAN ZAMINI BIN JAMALUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA HJ MAHFUZ OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
12,008/09/08,"SEKOLAH MENENGAH KEBANGSAAN POKOK SENA 2, POKOK SENA",5,403,0,232,54,115,401,2,0,KAMPUNG KOLON ,UNDI BIASA,KAMPUNG KOLON 008/09/08
12,008/09/08,"SEKOLAH MENENGAH KEBANGSAAN POKOK SENA 2, POKOK SENA",6,465,0,313,46,105,464,1,0,KAMPUNG KOLON ,UNDI BIASA,KAMPUNG KOLON 008/09/08
13,008/09/09,"SEKOLAH KEBANGSAAN JABI, POKOK SENA",1,335,1,180,108,39,328,7,0,JABI ,UNDI BIASA,JABI 008/09/09
13,008/09/09,"SEKOLAH KEBANGSAAN JABI, POKOK SENA",2,381,4,211,105,57,377,4,0,JABI ,UNDI BIASA,JABI 008/09/09
13,008/09/09,"SEKOLAH KEBANGSAAN JABI, POKOK SENA",3,482,4,330,102,45,481,1,0,JABI ,UNDI BIASA,JABI 008/09/09
13,008/09/09,"SEKOLAH KEBANGSAAN JABI, POKOK SENA",4,431,1,325,64,39,429,2,0,JABI ,UNDI BIASA,JABI 008/09/09
13,008/09/09,"SEKOLAH KEBANGSAAN JABI, POKOK SENA",5,465,2,372,53,38,465,0,0,JABI ,UNDI BIASA,JABI 008/09/09
14,008/09/10,"SEKOLAH KEBANGSAAN TELAGA MAS, POKOK SENA",1,369,8,141,174,33,356,13,0,TELAGA MAS ,UNDI BIASA,TELAGA MAS 008/09/10
14,008/09/10,"SEKOLAH KEBANGSAAN TELAGA MAS, POKOK SENA",2,392,4,242,108,33,387,5,0,TELAGA MAS ,UNDI BIASA,TELAGA MAS 008/09/10
14,008/09/10,"SEKOLAH KEBANGSAAN TELAGA MAS, POKOK SENA",3,403,2,303,70,25,400,3,0,TELAGA MAS ,UNDI BIASA,TELAGA MAS 008/09/10
14,008/09/10,"SEKOLAH KEBANGSAAN TELAGA MAS, POKOK SENA",4,377,0,285,63,27,375,2,0,TELAGA MAS ,UNDI BIASA,TELAGA MAS 008/09/10
14,008/09/10,"SEKOLAH KEBANGSAAN TELAGA MAS, POKOK SENA",5,428,1,332,68,26,427,1,0,TELAGA MAS ,UNDI BIASA,TELAGA MAS 008/09/10
15,008/09/11,"SEKOLAH MENENGAH KEBANGSAAN JABI, POKOK SENA",1,368,4,247,68,40,359,9,0,TANJONG MUSANG ,UNDI BIASA,TANJONG MUSANG 008/09/11
15,008/09/11,"SEKOLAH MENENGAH KEBANGSAAN JABI, POKOK SENA",2,482,2,345,59,70,476,6,0,TANJONG MUSANG ,UNDI BIASA,TANJONG MUSANG 008/09/11
15,008/09/11,"SEKOLAH MENENGAH KEBANGSAAN JABI, POKOK SENA",3,454,0,363,36,53,452,2,0,TANJONG MUSANG ,UNDI BIASA,TANJONG MUSANG 008/09/11
16,008/09/12,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, KEBUN 500",1,364,4,105,140,109,358,6,0,KEBUN 500 ,UNDI BIASA,KEBUN 500 008/09/12
16,008/09/12,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, KEBUN 500",2,464,3,249,102,110,464,0,0,KEBUN 500 ,UNDI BIASA,KEBUN 500 008/09/12
17,008/09/13,"MASJID KAMPUNG KOLAM
/ TABIKA KEMAS KAMPUNG KOLAM, POKOK SENA",1,374,1,226,115,27,369,5,0,KEPALA BENDANG ,UNDI BIASA,KEPALA BENDANG 008/09/13
17,008/09/13,"MASJID KAMPUNG KOLAM
/ TABIKA KEMAS KAMPUNG KOLAM, POKOK SENA",2,373,3,273,72,19,367,6,0,KEPALA BENDANG ,UNDI BIASA,KEPALA BENDANG 008/09/13
17,008/09/13,"MASJID KAMPUNG KOLAM
/ TABIKA KEMAS KAMPUNG KOLAM, POKOK SENA",3,390,0,294,71,25,390,0,0,KEPALA BENDANG ,UNDI BIASA,KEPALA BENDANG 008/09/13
18,008/09/14,"SEKOLAH JENIS KEBANGSAAN (CINA) TONG YUH, POKOK SENA",1,373,8,196,130,35,369,4,0,KAMPUNG MENERONG ,UNDI BIASA,KAMPUNG MENERONG 008/09/14
18,008/09/14,"SEKOLAH JENIS KEBANGSAAN (CINA) TONG YUH, POKOK SENA",2,376,1,242,105,24,372,4,0,KAMPUNG MENERONG ,UNDI BIASA,KAMPUNG MENERONG 008/09/14
18,008/09/14,"SEKOLAH JENIS KEBANGSAAN (CINA) TONG YUH, POKOK SENA",3,368,3,276,65,23,367,1,0,KAMPUNG MENERONG ,UNDI BIASA,KAMPUNG MENERONG 008/09/14
19,008/09/15,"SEKOLAH KEBANGSAAN BUKIT PAK KIAU, POKOK SENA",3,242,7,127,95,10,239,3,0,KAMPUNG PADANG ,UNDI BIASA,KAMPUNG PADANG 008/09/15
19,008/09/15,"SEKOLAH KEBANGSAAN BUKIT PAK KIAU, POKOK SENA",4,273,3,183,73,14,273,0,0,KAMPUNG PADANG ,UNDI BIASA,KAMPUNG PADANG 008/09/15
20,008/09/16,"SEKOLAH KEBANGSAAN KG PAYA, POKOK SENA",1,246,1,207,17,21,246,0,0,KAMPUNG PAYA ,UNDI BIASA,KAMPUNG PAYA 008/09/16
20,008/09/16,"SEKOLAH KEBANGSAAN KG PAYA, POKOK SENA",2,235,0,207,13,14,234,1,0,KAMPUNG PAYA ,UNDI BIASA,KAMPUNG PAYA 008/09/16
21,008/09/17,"SEKOLAH KEBANGSAAN NAWA, POKOK SENA",1,388,1,190,141,28,360,28,0,KAMPUNG NAWA ,UNDI BIASA,KAMPUNG NAWA 008/09/17
21,008/09/17,"SEKOLAH KEBANGSAAN NAWA, POKOK SENA",2,379,1,234,97,45,377,2,0,KAMPUNG NAWA ,UNDI BIASA,KAMPUNG NAWA 008/09/17
21,008/09/17,"SEKOLAH KEBANGSAAN NAWA, POKOK SENA",3,358,1,259,73,24,357,1,0,KAMPUNG NAWA ,UNDI BIASA,KAMPUNG NAWA 008/09/17
21,008/09/17,"SEKOLAH KEBANGSAAN NAWA, POKOK SENA",4,400,1,290,64,45,400,0,0,KAMPUNG NAWA ,UNDI BIASA,KAMPUNG NAWA 008/09/17
22,008/09/18,"SEKOLAH KEBANGSAAN BUKIT PAYONG, POKOK SENA",1,359,5,174,158,17,354,5,0,BUKIT PAYONG ,UNDI BIASA,BUKIT PAYONG 008/09/18
22,008/09/18,"SEKOLAH KEBANGSAAN BUKIT PAYONG, POKOK SENA",2,390,0,223,138,26,387,3,0,BUKIT PAYONG ,UNDI BIASA,BUKIT PAYONG 008/09/18
22,008/09/18,"SEKOLAH KEBANGSAAN BUKIT PAYONG, POKOK SENA",3,499,1,352,124,19,496,3,0,BUKIT PAYONG ,UNDI BIASA,BUKIT PAYONG 008/09/18
22,008/09/18,"SEKOLAH KEBANGSAAN BUKIT PAYONG, POKOK SENA",4,495,0,343,118,32,493,2,0,BUKIT PAYONG ,UNDI BIASA,BUKIT PAYONG 008/09/18
22,008/09/18,"SEKOLAH KEBANGSAAN BUKIT PAYONG, POKOK SENA",5,533,2,396,103,30,531,2,0,BUKIT PAYONG ,UNDI BIASA,BUKIT PAYONG 008/09/18
23,008/09/19,"SEKOLAH KEBANGSAAN KUBANG LERET, KUBUR PANJANG",1,376,5,216,118,30,369,7,0,KUBANG LERET ,UNDI BIASA,KUBANG LERET 008/09/19
23,008/09/19,"SEKOLAH KEBANGSAAN KUBANG LERET, KUBUR PANJANG",2,362,2,248,81,28,359,3,0,KUBANG LERET ,UNDI BIASA,KUBANG LERET 008/09/19
23,008/09/19,"SEKOLAH KEBANGSAAN KUBANG LERET, KUBUR PANJANG",3,397,1,292,72,30,395,2,0,KUBANG LERET ,UNDI BIASA,KUBANG LERET 008/09/19
24,008/09/20,"SEKOLAH KEBANGSAAN KAMPONG BUKIT, POKOK SENA",1,334,2,134,167,18,321,13,0,KAMPUNG BUKIT ,UNDI BIASA,KAMPUNG BUKIT 008/09/20
24,008/09/20,"SEKOLAH KEBANGSAAN KAMPONG BUKIT, POKOK SENA",2,394,5,188,158,36,387,7,0,KAMPUNG BUKIT ,UNDI BIASA,KAMPUNG BUKIT 008/09/20
24,008/09/20,"SEKOLAH KEBANGSAAN KAMPONG BUKIT, POKOK SENA",3,456,1,268,156,27,452,4,0,KAMPUNG BUKIT ,UNDI BIASA,KAMPUNG BUKIT 008/09/20
24,008/09/20,"SEKOLAH KEBANGSAAN KAMPONG BUKIT, POKOK SENA",4,423,0,281,96,35,412,11,0,KAMPUNG BUKIT ,UNDI BIASA,KAMPUNG BUKIT 008/09/20
