Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AH CHONG @ CHONG SIN WOON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI SHARIFFUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LOKE SIEW FOOK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
28,128/11/04,SEK JENIS KEB (CINA) CHUNG HUA JALAN TUNKU MUNAWIR SEREMBAN,4.0,479,39,6,432,477,2,0,LOBAK ,UNDI BIASA
28,128/11/04,SEK JENIS KEB (CINA) CHUNG HUA JALAN TUNKU MUNAWIR SEREMBAN,5.0,504,46,6,450,502,2,0,LOBAK ,UNDI BIASA
28,128/11/04,SEK JENIS KEB (CINA) CHUNG HUA JALAN TUNKU MUNAWIR SEREMBAN,6.0,504,29,4,470,503,1,0,LOBAK ,UNDI BIASA
29,128/11/05,SEK JENIS KEB (CINA) CHAN WA JALAN TAN SRI MANIKAVASAGAM SEREMBAN,1.0,209,39,5,160,204,5,0,TAMAN TEMPLER ,UNDI BIASA
29,128/11/05,SEK JENIS KEB (CINA) CHAN WA JALAN TAN SRI MANIKAVASAGAM SEREMBAN,2.0,522,84,4,427,515,7,0,TAMAN TEMPLER ,UNDI BIASA
29,128/11/05,SEK JENIS KEB (CINA) CHAN WA JALAN TAN SRI MANIKAVASAGAM SEREMBAN,3.0,547,72,5,464,541,6,0,TAMAN TEMPLER ,UNDI BIASA
29,128/11/05,SEK JENIS KEB (CINA) CHAN WA JALAN TAN SRI MANIKAVASAGAM SEREMBAN,4.0,545,52,1,487,540,4,1,TAMAN TEMPLER ,UNDI BIASA
29,128/11/05,SEK JENIS KEB (CINA) CHAN WA JALAN TAN SRI MANIKAVASAGAM SEREMBAN,5.0,557,50,1,505,556,1,0,TAMAN TEMPLER ,UNDI BIASA
29,128/11/05,SEK JENIS KEB (CINA) CHAN WA JALAN TAN SRI MANIKAVASAGAM SEREMBAN,6.0,535,35,5,493,533,2,0,TAMAN TEMPLER ,UNDI BIASA
30,128/11/06,SEK JENIS KEB (CINA) KUO MIN JALAN TUN DR ISMAIL SEREMBAN,1.0,231,36,2,186,224,7,0,KAMPONG NEE YAN ,UNDI BIASA
