Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR HASAN BAHROM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SHAZIMAN BIN ABU MANSOR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MEJAR ABDUL HALIM BIN ABU BAKAR (BERSARA),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
28,133/36/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU TAMPIN,3.0,503,385,107,10,502,1,0,KAMPONG BAHRU TAMPIN ,UNDI BIASA
28,133/36/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU TAMPIN,4.0,491,407,72,7,486,5,0,KAMPONG BAHRU TAMPIN ,UNDI BIASA
28,133/36/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU TAMPIN,5.0,469,382,72,13,467,2,0,KAMPONG BAHRU TAMPIN ,UNDI BIASA
28,133/36/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU TAMPIN,6.0,444,319,99,24,442,2,0,KAMPONG BAHRU TAMPIN ,UNDI BIASA
29,133/36/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) TAMPIN,1.0,265,162,90,7,259,6,0,PEKAN TAMPIN ,UNDI BIASA
29,133/36/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) TAMPIN,2.0,292,198,81,9,288,4,0,PEKAN TAMPIN ,UNDI BIASA
29,133/36/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) TAMPIN,3.0,288,200,66,20,286,2,0,PEKAN TAMPIN ,UNDI BIASA
30,133/36/04,SEKOLAH MENENGAH KEBANGSAAN TAMAN INDAH,1.0,270,180,76,7,263,0,7,KAMPONG BATU BELANG ,UNDI BIASA
30,133/36/04,SEKOLAH MENENGAH KEBANGSAAN TAMAN INDAH,2.0,584,382,178,20,580,3,1,KAMPONG BATU BELANG ,UNDI BIASA
30,133/36/04,SEKOLAH MENENGAH KEBANGSAAN TAMAN INDAH,3.0,568,427,129,10,566,2,0,KAMPONG BATU BELANG ,UNDI BIASA
30,133/36/04,SEKOLAH MENENGAH KEBANGSAAN TAMAN INDAH,4.0,541,431,95,12,538,3,0,KAMPONG BATU BELANG ,UNDI BIASA
30,133/36/04,SEKOLAH MENENGAH KEBANGSAAN TAMAN INDAH,5.0,532,428,84,14,526,6,0,KAMPONG BATU BELANG ,UNDI BIASA
30,133/36/04,SEKOLAH MENENGAH KEBANGSAAN TAMAN INDAH,6.0,539,433,88,16,537,2,0,KAMPONG BATU BELANG ,UNDI BIASA
30,133/36/04,SEKOLAH MENENGAH KEBANGSAAN TAMAN INDAH,7.0,526,415,81,28,524,2,0,KAMPONG BATU BELANG ,UNDI BIASA
30,133/36/04,SEKOLAH MENENGAH KEBANGSAAN TAMAN INDAH,8.0,509,418,71,16,505,4,0,KAMPONG BATU BELANG ,UNDI BIASA
30,133/36/04,SEKOLAH MENENGAH KEBANGSAAN TAMAN INDAH,9.0,543,404,118,17,539,4,0,KAMPONG BATU BELANG ,UNDI BIASA
31,133/36/05,SEKOLAH KEBANGSAAN KERU,1.0,301,53,223,20,296,5,0,KERU ,UNDI BIASA
31,133/36/05,SEKOLAH KEBANGSAAN KERU,2.0,307,94,177,34,305,2,0,KERU ,UNDI BIASA
32,133/36/06,SEKOLAH KEBANGSAAN TUNKU SYED SYAABAN,1.0,302,84,182,25,291,11,0,TEBONG ,UNDI BIASA
32,133/36/06,SEKOLAH KEBANGSAAN TUNKU SYED SYAABAN,2.0,287,110,145,28,283,4,0,TEBONG ,UNDI BIASA
33,133/36/07,MAAHAD AHMADI GEMENCHEH,1.0,445,187,194,60,441,4,0,KAMPONG ASAHAN ,UNDI BIASA
34,133/36/08,SEKOLAH KEBANGSAAN TENGKU ZAINUN,1.0,258,163,69,16,248,10,0,TAMAN INDAH ,UNDI BIASA
34,133/36/08,SEKOLAH KEBANGSAAN TENGKU ZAINUN,2.0,522,361,137,20,518,4,0,TAMAN INDAH ,UNDI BIASA
34,133/36/08,SEKOLAH KEBANGSAAN TENGKU ZAINUN,3.0,528,411,97,14,522,6,0,TAMAN INDAH ,UNDI BIASA
34,133/36/08,SEKOLAH KEBANGSAAN TENGKU ZAINUN,4.0,501,404,84,10,498,3,0,TAMAN INDAH ,UNDI BIASA
34,133/36/08,SEKOLAH KEBANGSAAN TENGKU ZAINUN,5.0,512,400,93,19,512,0,0,TAMAN INDAH ,UNDI BIASA
34,133/36/08,SEKOLAH KEBANGSAAN TENGKU ZAINUN,6.0,522,421,77,22,520,2,0,TAMAN INDAH ,UNDI BIASA
