Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI BAHARUDDIN ARIF BIN HAJI SIRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MEJAR ABDUL HALIM BIN ABU BAKAR (BERSARA),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD RAZAK BIN AB SAID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
7,133/34/05,SEKOLAH KEBANGSAAN GEMAS,1.0,193,114,6,66,186,7,0,PEKAN GEMAS ,UNDI BIASA
7,133/34/05,SEKOLAH KEBANGSAAN GEMAS,2.0,434,267,13,147,427,6,1,PEKAN GEMAS ,UNDI BIASA
7,133/34/05,SEKOLAH KEBANGSAAN GEMAS,3.0,411,255,20,133,408,3,0,PEKAN GEMAS ,UNDI BIASA
7,133/34/05,SEKOLAH KEBANGSAAN GEMAS,4.0,398,282,29,85,396,2,0,PEKAN GEMAS ,UNDI BIASA
7,133/34/05,SEKOLAH KEBANGSAAN GEMAS,5.0,407,270,36,101,407,0,0,PEKAN GEMAS ,UNDI BIASA
8,133/34/06,SEKOLAH MENENGAH KEBANGSAAN GEMAS,1.0,244,63,17,161,241,3,0,TAMAN SENTOSA ,UNDI BIASA
8,133/34/06,SEKOLAH MENENGAH KEBANGSAAN GEMAS,2.0,472,157,67,243,467,5,0,TAMAN SENTOSA ,UNDI BIASA
8,133/34/06,SEKOLAH MENENGAH KEBANGSAAN GEMAS,3.0,424,193,61,165,419,5,0,TAMAN SENTOSA ,UNDI BIASA
8,133/34/06,SEKOLAH MENENGAH KEBANGSAAN GEMAS,4.0,405,215,61,129,405,0,0,TAMAN SENTOSA ,UNDI BIASA
8,133/34/06,SEKOLAH MENENGAH KEBANGSAAN GEMAS,5.0,443,223,75,142,440,3,0,TAMAN SENTOSA ,UNDI BIASA
9,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),1.0,326,29,20,272,321,5,0,FELDA JELAI 2 & 4 ,UNDI BIASA
9,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),2.0,636,80,19,517,616,20,0,FELDA JELAI 2 & 4 ,UNDI BIASA
9,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),3.0,596,73,53,434,560,31,5,FELDA JELAI 2 & 4 ,UNDI BIASA
9,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),4.0,518,153,69,288,510,8,0,FELDA JELAI 2 & 4 ,UNDI BIASA
9,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),5.0,504,142,59,293,494,10,0,FELDA JELAI 2 & 4 ,UNDI BIASA
9,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),6.0,501,160,77,263,500,1,0,FELDA JELAI 2 & 4 ,UNDI BIASA
9,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),7.0,493,155,62,274,491,2,0,FELDA JELAI 2 & 4 ,UNDI BIASA
