Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSTAFA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIRY JAMALUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LT KOL ROSELI BIN ABDUL GANI (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
21,131/26/06,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA PEDAS,4.0,511,33,211,264,508,3,0,PEKAN PEDAS ,UNDI BIASA
22,131/26/07,SEKOLAH KEBANGSAAN PEDAS,1.0,299,13,219,58,290,9,0,KAMPONG PEDAS TENGAH ,UNDI BIASA
22,131/26/07,SEKOLAH KEBANGSAAN PEDAS,2.0,476,42,313,115,470,6,0,KAMPONG PEDAS TENGAH ,UNDI BIASA
22,131/26/07,SEKOLAH KEBANGSAAN PEDAS,3.0,456,40,255,159,454,2,0,KAMPONG PEDAS TENGAH ,UNDI BIASA
22,131/26/07,SEKOLAH KEBANGSAAN PEDAS,4.0,423,35,262,121,418,5,0,KAMPONG PEDAS TENGAH ,UNDI BIASA
23,131/26/08,SEKOLAH MENENGAH KEBANGSAAN UNDANG REMBAU,1.0,255,10,169,68,247,8,0,PEKAN REMBAU ,UNDI BIASA
23,131/26/08,SEKOLAH MENENGAH KEBANGSAAN UNDANG REMBAU,2.0,516,35,306,170,511,5,0,PEKAN REMBAU ,UNDI BIASA
23,131/26/08,SEKOLAH MENENGAH KEBANGSAAN UNDANG REMBAU,3.0,513,63,277,172,512,1,0,PEKAN REMBAU ,UNDI BIASA
23,131/26/08,SEKOLAH MENENGAH KEBANGSAAN UNDANG REMBAU,4.0,483,46,252,183,481,2,0,PEKAN REMBAU ,UNDI BIASA
23,131/26/08,SEKOLAH MENENGAH KEBANGSAAN UNDANG REMBAU,5.0,478,41,216,220,477,1,0,PEKAN REMBAU ,UNDI BIASA
23,131/26/08,SEKOLAH MENENGAH KEBANGSAAN UNDANG REMBAU,6.0,493,63,216,213,492,1,0,PEKAN REMBAU ,UNDI BIASA
24,131/26/09,SEKOLAH KEBANGSAAN SEBERANG BATU HAMPAR,1.0,268,15,162,82,259,9,0,BATU HAMPAR ,UNDI BIASA
24,131/26/09,SEKOLAH KEBANGSAAN SEBERANG BATU HAMPAR,2.0,282,36,152,90,278,4,0,BATU HAMPAR ,UNDI BIASA
25,131/26/10,BALAI RAYA KAMPUNG MAMPONG REMBAU,1.0,305,25,218,54,297,8,0,MAMPONG ,UNDI BIASA
25,131/26/10,BALAI RAYA KAMPUNG MAMPONG REMBAU,2.0,311,34,188,86,308,3,0,MAMPONG ,UNDI BIASA
26,131/26/11,SEKOLAH KEBANGSAAN PILIN,1.0,310,12,245,48,305,5,0,PILIN ,UNDI BIASA
26,131/26/11,SEKOLAH KEBANGSAAN PILIN,2.0,513,30,344,138,512,1,0,PILIN ,UNDI BIASA
27,131/26/12,SEKOLAH KEBANGSAAN KUNDOR,1.0,297,10,229,48,287,10,0,KUNDOR ,UNDI BIASA
27,131/26/12,SEKOLAH KEBANGSAAN KUNDOR,2.0,589,59,385,145,589,0,0,KUNDOR ,UNDI BIASA
