Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ KHAIRIL ANUAR WAFA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NG KIAN NAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DAVID DASS ASEERPATHAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHA KEE CHIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
13,130/21/02,SEKOLAH KEBANGSAAN PUTERI,5.0,580,16,47,0,514,577,3,0,TAMAN PERMAI ,UNDI BIASA
13,130/21/02,SEKOLAH KEBANGSAAN PUTERI,6.0,550,17,29,0,502,548,2,0,TAMAN PERMAI ,UNDI BIASA
13,130/21/02,SEKOLAH KEBANGSAAN PUTERI,7.0,546,29,41,1,473,544,2,0,TAMAN PERMAI ,UNDI BIASA
13,130/21/02,SEKOLAH KEBANGSAAN PUTERI,8.0,555,36,34,2,479,551,4,0,TAMAN PERMAI ,UNDI BIASA
13,130/21/02,SEKOLAH KEBANGSAAN PUTERI,9.0,552,24,28,0,500,552,0,0,TAMAN PERMAI ,UNDI BIASA
14,130/21/03,SEKOLAH JENIS KEBANGSAAN (CINA) SAN MIN,1.0,178,3,13,1,157,174,4,0,JALAN KONG SANG ,UNDI BIASA
15,130/21/04,SEKOLAH MENENGAH KEBANGSAAN METHODIST ACS,2.0,223,1,36,1,183,221,2,0,JALAN DATO BANDAR TUNGGAL ,UNDI BIASA
15,130/21/04,SEKOLAH MENENGAH KEBANGSAAN METHODIST ACS,3.0,282,1,35,0,243,279,3,0,JALAN DATO BANDAR TUNGGAL ,UNDI BIASA
15,130/21/04,SEKOLAH MENENGAH KEBANGSAAN METHODIST ACS,4.0,260,1,16,0,243,260,0,0,JALAN DATO BANDAR TUNGGAL ,UNDI BIASA
16,130/21/05,SEKOLAH JENIS KEBANGSAAN (TAMIL) LORONG JAWA,1.0,217,3,22,0,189,214,3,0,JALAN YAM TUAN ,UNDI BIASA
16,130/21/05,SEKOLAH JENIS KEBANGSAAN (TAMIL) LORONG JAWA,2.0,298,0,21,0,274,295,3,0,JALAN YAM TUAN ,UNDI BIASA
16,130/21/05,SEKOLAH JENIS KEBANGSAAN (TAMIL) LORONG JAWA,3.0,314,0,13,0,301,314,0,0,JALAN YAM TUAN ,UNDI BIASA
17,130/21/06,SEKOLAH MENENGAH KEBANGSAAN METHODIST ACS,1.0,340,0,29,0,309,338,2,0,JALAN LEE SAM ,UNDI BIASA
18,130/21/07,SEKOLAH JENIS KEBANGSAAN (CINA) SINO ENGLISH,1.0,296,5,37,1,248,291,5,0,JALAN TUANKU MUNAWIR ,UNDI BIASA
19,130/21/08,SEKOLAH TINGGI METHODIST SEREMBAN,1.0,249,4,54,1,181,240,9,0,BUKIT TEMBOK ,UNDI BIASA
19,130/21/08,SEKOLAH TINGGI METHODIST SEREMBAN,2.0,508,5,53,2,440,500,8,0,BUKIT TEMBOK ,UNDI BIASA
20,130/21/09,SEKOLAH KEBANGSAAN ST PAUL,1.0,264,5,43,0,210,258,6,0,TAMAN BUKIT KAYA ,UNDI BIASA
20,130/21/09,SEKOLAH KEBANGSAAN ST PAUL,2.0,607,5,65,4,526,600,6,1,TAMAN BUKIT KAYA ,UNDI BIASA
20,130/21/09,SEKOLAH KEBANGSAAN ST PAUL,3.0,563,2,26,1,529,558,5,0,TAMAN BUKIT KAYA ,UNDI BIASA
20,130/21/09,SEKOLAH KEBANGSAAN ST PAUL,4.0,586,4,35,2,545,586,0,0,TAMAN BUKIT KAYA ,UNDI BIASA
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,1.0,302,7,54,2,231,294,8,0,SEREMBAN 2 ,UNDI BIASA
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,2.0,622,30,106,2,483,621,1,0,SEREMBAN 2 ,UNDI BIASA
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,3.0,622,28,99,1,490,618,4,0,SEREMBAN 2 ,UNDI BIASA
