Kod DUN 	Nama DUN 	Bilangan Pemilih 	No Calon 	Nama 	Jantina 	Umur 	Parti
N45 	BANDAR BARU KLANG 	82,340 	1 	Quah Perng Fei 	LELAKI 	48 	PH
N45 	BANDAR BARU KLANG 	82,340 	2 	Tan Seng Huat 	LELAKI 	44 	PN
N46 	PELABUHAN KLANG 	50,913 	1 	Wan Hasrina Wan Hassan 	PEREMPUAN 	58 	PN
N46 	PELABUHAN KLANG 	50,913 	2 	Syed Ahmad Putra Syed Isa 	LELAKI 	57 	PRM
N46 	PELABUHAN KLANG 	50,913 	3 	Azmizam Zaman Huri 	LELAKI 	50 	PH
N47 	PANDAMARAN 	75,660 	1 	Leong Tuck Chee 	LELAKI 	47 	PH
N47 	PANDAMARAN 	75,660 	2 	Gunalan Balakrishnan 	LELAKI 	47 	PN
N47 	PANDAMARAN 	75,660 	3 	Tan Kang Yap 	LELAKI 	60 	PRM
N48 	SENTOSA 	88,435 	1 	Gunarajah R George 	LELAKI 	59 	PH
N48 	SENTOSA 	88,435 	2 	Parameswaran Ganason 	LELAKI 	66 	PN
N48 	SENTOSA 	88,435 	3 	Thanusha Ramanieswaran 	PEREMPUAN 	24 	MUDA
N48 	SENTOSA 	88,435 	4 	Jeichandran Wadivelu 	LELAKI 	43 	PRM
N49 	SUNGAI KANDIS 	76,676 	1 	Mohd Zawawi Ahmad Mughni 	LELAKI 	52 	PH
N49 	SUNGAI KANDIS 	76,676 	2 	Wan Dzahanurin Ahmad 	LELAKI 	59 	PN
N49 	SUNGAI KANDIS 	76,676 	3 	Afriena Shaqira Sariff 	PEREMPUAN 	25 	MUDA
N50 	KOTA KEMUNING 	79,601 	1 	Preakas Sampunathan 	LELAKI 	41 	PH
N50 	KOTA KEMUNING 	79,601 	2 	Chew Jyh Gang 	LELAKI 	54 	PN
N50 	KOTA KEMUNING 	79,601 	3 	K Gunasekaran Kuppan 	LELAKI 	52 	PRM
N51 	SIJANGKANG 	60,902 	1 	Ahmad Yunus Hairi 	LELAKI 	58 	PN
N51 	SIJANGKANG 	60,902 	2 	Mohd Al-hafizi Abu Bakar 	LELAKI 	37 	BN-UMNO
N52 	BANTING 	44,454 	1 	Ang Wei Yang 	LELAKI 	23 	BEBAS
N52 	BANTING 	44,454 	2 	Saravanan Mutto Krishnan 	LELAKI 	48 	PN
N52 	BANTING 	44,454 	3 	Papparaidu Veraman 	LELAKI 	48 	PH
N53 	MORIB 	43,281 	1 	Rosnizan Ahmad 	LELAKI 	50 	PN
N53 	MORIB 	43,281 	2 	Hasnul Baharuddin 	LELAKI 	55 	PH
N54 	TANJONG SEPAT 	32,114 	1 	Sabirin Marsono 	LELAKI 	55 	PN
N54 	TANJONG SEPAT 	32,114 	2 	Borhan Aman Shah 	LELAKI 	61 	PH
N55 	DENGKIL 	89,739 	1 	Darren Ong Chung Lee 	LELAKI 	36 	PSM
N55 	DENGKIL 	89,739 	2 	Noorazli Said 	LELAKI 	44 	BN-UMNO
N55 	DENGKIL 	89,739 	3 	Mohd Daud Leong Abdullah 	LELAKI 	58 	PUR
N55 	DENGKIL 	89,739 	4 	Jamil Salleh 	LELAKI 	64 	PN
N56 	SUNGAI PELEK 	46,186 	1 	Suhaimi Mohd Ghazali 	LELAKI 	55 	PN
N56 	SUNGAI PELEK 	46,186 	2 	Lwi Kian Keong 	LELAKI 	47 	PH
N56 	SUNGAI PELEK 	46,186 	3 	Nageswaran Ravi 	LELAKI 	34 	BEBAS
