Kod DUN 	Nama DUN 	Bilangan Pemilih 	No Calon 	Nama 	Jantina 	Umur 	Parti
N23 	AIR PUTIH 	15,379 	3 	Lim Guan Eng 	LELAKI 	62 	PH
N24 	KEBUN BUNGA 	24,528 	1 	Razalif Mohamad Zain 	LELAKI 	33 	BEBAS
N24 	KEBUN BUNGA 	24,528 	2 	Tan Zhen Zune 	LELAKI 	27 	PN
N24 	KEBUN BUNGA 	24,528 	3 	Lee Boon Heng 	LELAKI 	37 	PH
N25 	PULAU TIKUS 	23,325 	1 	Goh Chuin Loon 	PEREMPUAN 	56 	PRM
N25 	PULAU TIKUS 	23,325 	2 	Woo Sze Zeng 	LELAKI 	41 	PH
N25 	PULAU TIKUS 	23,325 	3 	Tang Ching Sern 	LELAKI 	42 	PN
N26 	PADANG KOTA 	15,373 	1 	H'ng Khoon Leng 	LELAKI 	58 	PN
N26 	PADANG KOTA 	15,373 	2 	Chow Kon Yeow 	LELAKI 	64 	PH
N27 	PENGKALAN KOTA 	21,743 	1 	Suthakaran Subramaniam 	LELAKI 	55 	PN
N27 	PENGKALAN KOTA 	21,743 	2 	Wong Yuee Harng 	LELAKI 	34 	PH
N28 	KOMTAR 	15,687 	1 	Cheah Kim Huat 	LELAKI 	45 	PN
N28 	KOMTAR 	15,687 	2 	Teh Lai Heng 	LELAKI 	42 	PH
N29 	DATOK KERAMAT 	26,886 	1 	Jagdeep Singh Deo Karpal Singh 	LELAKI 	52 	PH
N29 	DATOK KERAMAT 	26,886 	2 	Heng See Lin 	PEREMPUAN 	42 	PN
N30 	SUNGAI PINANG 	33,995 	1 	Andrew Rajah Bellimin Rajah 	LELAKI 	52 	BEBAS
N30 	SUNGAI PINANG 	33,995 	2 	Lim Siew Khim 	PEREMPUAN 	52 	PH
N30 	SUNGAI PINANG 	33,995 	3 	Ng Fook On 	LELAKI 	63 	PN
N30 	SUNGAI PINANG 	33,995 	4 	Abdul Ghani Haroon 	LELAKI 	58 	PRM
N31 	BATU LANCANG 	33,108 	1 	Ong Ah Teong 	LELAKI 	53 	PH
N31 	BATU LANCANG 	33,108 	2 	Mohd Aswaad Jaafar 	LELAKI 	40 	PN
N32 	SERI DELIMA 	31,562 	1 	Mohan Apparoo 	LELAKI 	62 	PN
N32 	SERI DELIMA 	31,562 	2 	Tan Hooi Peng 	PEREMPUAN 	32 	PH
N33 	AIR ITAM 	23,098 	1 	Joseph Ng Soon Siang 	LELAKI 	44 	PH
N33 	AIR ITAM 	23,098 	2 	Cheang Chee Gooi 	LELAKI 	73 	PN
N34 	PAYA TERUBONG 	62,474 	1 	Wong Hon Wai 	LELAKI 	50 	PH
N34 	PAYA TERUBONG 	62,474 	2 	Ooi Ghee Oon 	LELAKI 	39 	PN
N35 	BATU UBAN 	43,132 	1 	Lee Kim Noor 	PEREMPUAN 	59 	MUDA
N35 	BATU UBAN 	43,132 	2 	Kumaresan Aramugam 	LELAKI 	35 	PH
N35 	BATU UBAN 	43,132 	3 	Mok Kok On 	LELAKI 	52 	PN
N36 	PANTAI JEREJAK 	29,730 	1 	Fahmi Zainol 	LELAKI 	31 	PH
N36 	PANTAI JEREJAK 	29,730 	2 	Oh Tong Keong 	LELAKI 	55 	PN
N36 	PANTAI JEREJAK 	29,730 	3 	Loh Xiang Pin 	PEREMPUAN 	27 	MUDA
N36 	PANTAI JEREJAK 	29,730 	4 	Ravinder Singh Mall Singh 	LELAKI 	80 	PRM
N37 	BATU MAUNG 	46,778 	1 	Azahari Aris 	LELAKI 	57 	PN
N37 	BATU MAUNG 	46,778 	2 	Mohamad Abdul Hamid 	LELAKI 	48 	PH
N38 	BAYAN LEPAS 	38,866 	1 	Dominic Lau Hoe Chai 	LELAKI 	55 	PN
N38 	BAYAN LEPAS 	38,866 	2 	Azrul Mahathir Aziz 	LELAKI 	46 	PH
N39 	PULAU BETONG 	23,578 	1 	Mohd Tuah Ismail 	LELAKI 	56 	PH
N39 	PULAU BETONG 	23,578 	2 	Mohamad Shukor Zakariah 	LELAKI 	60 	PN
N40 	TELOK BAHANG 	17,820 	1 	Ahmad Zaki Shah Shah Headan 	LELAKI 	33 	BN-UMNO
N40 	TELOK BAHANG 	17,820 	2 	Muhamad Kasim 	LELAKI 	62 	PN
