Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ LATIFF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ZUKI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORASHIKIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) SYAM GHAZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
31,031/41/04,SEKOLAH KEBANGSAAN MANEK URAI BARU,1,324,170,118,2,9,299,25,0,MANEK URAI BARU ,UNDI BIASA,MANEK URAI BARU 031/41/04
31,031/41/04,SEKOLAH KEBANGSAAN MANEK URAI BARU,2,548,373,155,3,13,544,4,0,MANEK URAI BARU ,UNDI BIASA,MANEK URAI BARU 031/41/04
31,031/41/04,SEKOLAH KEBANGSAAN MANEK URAI BARU,3,480,329,125,3,21,478,2,0,MANEK URAI BARU ,UNDI BIASA,MANEK URAI BARU 031/41/04
31,031/41/04,SEKOLAH KEBANGSAAN MANEK URAI BARU,4,569,407,137,2,20,566,3,0,MANEK URAI BARU ,UNDI BIASA,MANEK URAI BARU 031/41/04
32,031/41/05,SEKOLAH KEBANGSAAN SUNGAI SOK,1,351,243,91,0,15,349,2,0,SUNGAI SOK ,UNDI BIASA,SUNGAI SOK 031/41/05
32,031/41/05,SEKOLAH KEBANGSAAN SUNGAI SOK,2,519,386,119,1,9,515,4,0,SUNGAI SOK ,UNDI BIASA,SUNGAI SOK 031/41/05
32,031/41/05,SEKOLAH KEBANGSAAN SUNGAI SOK,3,531,417,101,1,11,530,1,0,SUNGAI SOK ,UNDI BIASA,SUNGAI SOK 031/41/05
33,031/41/06,SEKOLAH KEBANGSAAN CHUCHOH PUTERI,1,366,223,134,2,3,362,4,0,CHUCHOH PUTERI ,UNDI BIASA,CHUCHOH PUTERI 031/41/06
33,031/41/06,SEKOLAH KEBANGSAAN CHUCHOH PUTERI,2,550,364,168,1,13,546,4,0,CHUCHOH PUTERI ,UNDI BIASA,CHUCHOH PUTERI 031/41/06
33,031/41/06,SEKOLAH KEBANGSAAN CHUCHOH PUTERI,3,511,366,126,1,11,504,7,0,CHUCHOH PUTERI ,UNDI BIASA,CHUCHOH PUTERI 031/41/06
33,031/41/06,SEKOLAH KEBANGSAAN CHUCHOH PUTERI,4,556,413,140,0,3,556,0,0,CHUCHOH PUTERI ,UNDI BIASA,CHUCHOH PUTERI 031/41/06
34,031/41/07,SEKOLAH KEBANGSAAN LATA REK,1,371,262,85,1,5,353,18,0,LATA REK ,UNDI BIASA,LATA REK 031/41/07
34,031/41/07,SEKOLAH KEBANGSAAN LATA REK,2,492,348,129,1,9,487,5,0,LATA REK ,UNDI BIASA,LATA REK 031/41/07
34,031/41/07,SEKOLAH KEBANGSAAN LATA REK,3,440,353,64,2,17,436,4,0,LATA REK ,UNDI BIASA,LATA REK 031/41/07
34,031/41/07,SEKOLAH KEBANGSAAN LATA REK,4,466,375,84,0,6,465,1,0,LATA REK ,UNDI BIASA,LATA REK 031/41/07
35,031/41/08,SEKOLAH KEBANGSAAN KAMPONG KARANGAN,1,346,188,139,0,11,338,7,1,MANJOR ,UNDI BIASA,MANJOR 031/41/08
35,031/41/08,SEKOLAH KEBANGSAAN KAMPONG KARANGAN,2,471,294,154,0,22,470,1,0,MANJOR ,UNDI BIASA,MANJOR 031/41/08
35,031/41/08,SEKOLAH KEBANGSAAN KAMPONG KARANGAN,3,488,316,154,0,16,486,2,0,MANJOR ,UNDI BIASA,MANJOR 031/41/08
36,031/41/09,SEKOLAH MENENGAH KEBANGSAAN LALOH,1,310,177,111,3,14,305,5,0,LALOH ,UNDI BIASA,LALOH 031/41/09
36,031/41/09,SEKOLAH MENENGAH KEBANGSAAN LALOH,2,343,202,112,3,20,337,6,0,LALOH ,UNDI BIASA,LALOH 031/41/09
36,031/41/09,SEKOLAH MENENGAH KEBANGSAAN LALOH,3,361,230,112,0,17,359,2,0,LALOH ,UNDI BIASA,LALOH 031/41/09
36,031/41/09,SEKOLAH MENENGAH KEBANGSAAN LALOH,4,363,257,90,1,9,357,6,0,LALOH ,UNDI BIASA,LALOH 031/41/09
36,031/41/09,SEKOLAH MENENGAH KEBANGSAAN LALOH,5,362,235,108,1,15,359,3,0,LALOH ,UNDI BIASA,LALOH 031/41/09
36,031/41/09,SEKOLAH MENENGAH KEBANGSAAN LALOH,6,431,295,117,1,17,430,1,0,LALOH ,UNDI BIASA,LALOH 031/41/09
37,031/42/01,SMU (A) NURUL IHSAN KG. KANDEK,1,322,302,3,0,15,320,2,0,KANDEK ,UNDI BIASA,KANDEK 031/42/01
38,031/42/02,SEKOLAH KEBANGSAAN KUALA GERIS,1,349,129,197,2,13,341,8,0,KUALA GRIS ,UNDI BIASA,KUALA GRIS 031/42/02
38,031/42/02,SEKOLAH KEBANGSAAN KUALA GERIS,2,337,173,140,0,17,330,7,0,KUALA GRIS ,UNDI BIASA,KUALA GRIS 031/42/02
38,031/42/02,SEKOLAH KEBANGSAAN KUALA GERIS,3,340,171,152,3,11,337,3,0,KUALA GRIS ,UNDI BIASA,KUALA GRIS 031/42/02
39,031/42/03,SEKOLAH MENENGAH KEBANGSAAN DABONG,1,364,183,163,1,11,358,6,0,DABONG ,UNDI BIASA,DABONG 031/42/03
