Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AIZUDDIN ARIFFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AMIRUDDIN HAMZAH (TOK MET),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HASMUNI BIN HASSAN (TOK MUNI),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
14,005/03/11,"SEKOLAH KEBANGSAAN MANGGOL BONGOR, MEGAT DEWA",1,370,210,23,22,115,370,0,0,MANGGOL ,UNDI BIASA,MANGGOL 005/03/11
14,005/03/11,"SEKOLAH KEBANGSAAN MANGGOL BONGOR, MEGAT DEWA",2,463,323,36,16,86,461,2,0,MANGGOL ,UNDI BIASA,MANGGOL 005/03/11
14,005/03/11,"SEKOLAH KEBANGSAAN MANGGOL BONGOR, MEGAT DEWA",3,483,354,33,26,70,483,0,0,MANGGOL ,UNDI BIASA,MANGGOL 005/03/11
15,005/03/12,"SEKOLAH KEBANGSAAN TOK KEPAK, MEGAT DEWA",1,318,153,12,25,121,311,7,0,TOK KEPAK ,UNDI BIASA,TOK KEPAK 005/03/12
15,005/03/12,"SEKOLAH KEBANGSAAN TOK KEPAK, MEGAT DEWA",2,308,195,9,18,83,305,3,0,TOK KEPAK ,UNDI BIASA,TOK KEPAK 005/03/12
15,005/03/12,"SEKOLAH KEBANGSAAN TOK KEPAK, MEGAT DEWA",3,337,228,11,15,76,330,7,0,TOK KEPAK ,UNDI BIASA,TOK KEPAK 005/03/12
16,005/03/13,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",1,332,152,22,27,125,326,6,0,SG KOROK 2 MK SANGLANG ,UNDI BIASA,SG KOROK 2 MK SANGLANG 005/03/13
16,005/03/13,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",2,372,196,26,35,112,369,3,0,SG KOROK 2 MK SANGLANG ,UNDI BIASA,SG KOROK 2 MK SANGLANG 005/03/13
16,005/03/13,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",3,523,361,34,35,93,523,0,0,SG KOROK 2 MK SANGLANG ,UNDI BIASA,SG KOROK 2 MK SANGLANG 005/03/13
16,005/03/13,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",4,565,415,26,34,88,563,2,0,SG KOROK 2 MK SANGLANG ,UNDI BIASA,SG KOROK 2 MK SANGLANG 005/03/13
17,005/03/14,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",5,194,100,21,12,47,180,14,0,SG KOROK ,UNDI BIASA,SG KOROK 005/03/14
17,005/03/14,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",6,221,133,15,17,56,221,0,0,SG KOROK ,UNDI BIASA,SG KOROK 005/03/14
18,005/03/15,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",1,315,118,35,60,95,308,7,0,KAMPUNG SANGLANG ,UNDI BIASA,KAMPUNG SANGLANG 005/03/15
18,005/03/15,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",2,345,162,29,71,75,337,8,0,KAMPUNG SANGLANG ,UNDI BIASA,KAMPUNG SANGLANG 005/03/15
18,005/03/15,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",3,376,210,28,60,73,371,5,0,KAMPUNG SANGLANG ,UNDI BIASA,KAMPUNG SANGLANG 005/03/15
18,005/03/15,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",4,413,268,24,47,71,410,3,0,KAMPUNG SANGLANG ,UNDI BIASA,KAMPUNG SANGLANG 005/03/15
19,005/03/16,"SEKOLAH JENIS KEBANGSAAN (CINA) LAM MIN, KERPAN",1,360,126,26,64,137,353,7,0,KERPAN ,UNDI BIASA,KERPAN 005/03/16
19,005/03/16,"SEKOLAH JENIS KEBANGSAAN (CINA) LAM MIN, KERPAN",2,509,243,32,81,147,503,6,0,KERPAN ,UNDI BIASA,KERPAN 005/03/16
20,005/03/17,"SEKOLAH MENENGAH KEBANGSAAN SANGLANG, AYER HITAM",1,337,84,16,105,118,323,14,0,KUALA SANGLANG ,UNDI BIASA,KUALA SANGLANG 005/03/17
20,005/03/17,"SEKOLAH MENENGAH KEBANGSAAN SANGLANG, AYER HITAM",2,481,242,26,102,106,476,5,0,KUALA SANGLANG ,UNDI BIASA,KUALA SANGLANG 005/03/17
20,005/03/17,"SEKOLAH MENENGAH KEBANGSAAN SANGLANG, AYER HITAM",3,455,259,11,107,77,454,1,0,KUALA SANGLANG ,UNDI BIASA,KUALA SANGLANG 005/03/17
21,005/04/01,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN, PADANG SERA",1,340,74,30,176,54,334,6,0,PADANG SERA ,UNDI BIASA,PADANG SERA 005/04/01
21,005/04/01,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN, PADANG SERA",2,419,175,34,157,51,417,2,0,PADANG SERA ,UNDI BIASA,PADANG SERA 005/04/01
22,005/04/02,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",1,291,85,30,37,134,286,5,0,KAMPUNG MELELE ,UNDI BIASA,KAMPUNG MELELE 005/04/02
22,005/04/02,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",2,374,113,46,85,121,365,9,0,KAMPUNG MELELE ,UNDI BIASA,KAMPUNG MELELE 005/04/02
22,005/04/02,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",3,589,236,79,125,146,586,3,0,KAMPUNG MELELE ,UNDI BIASA,KAMPUNG MELELE 005/04/02
22,005/04/02,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",4,528,275,60,104,81,520,7,1,KAMPUNG MELELE ,UNDI BIASA,KAMPUNG MELELE 005/04/02
22,005/04/02,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",5,492,270,42,104,74,490,2,0,KAMPUNG MELELE ,UNDI BIASA,KAMPUNG MELELE 005/04/02
22,005/04/02,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",6,539,310,37,107,85,539,0,0,KAMPUNG MELELE ,UNDI BIASA,KAMPUNG MELELE 005/04/02
23,005/04/03,"SEKOLAH KEBANGSAAN PUTAT, JITRA",1,349,137,18,42,145,342,7,0,KAMPUNG PUTAT ,UNDI BIASA,KAMPUNG PUTAT 005/04/03
23,005/04/03,"SEKOLAH KEBANGSAAN PUTAT, JITRA",2,361,163,26,39,130,358,3,0,KAMPUNG PUTAT ,UNDI BIASA,KAMPUNG PUTAT 005/04/03
23,005/04/03,"SEKOLAH KEBANGSAAN PUTAT, JITRA",3,352,214,19,26,88,347,5,0,KAMPUNG PUTAT ,UNDI BIASA,KAMPUNG PUTAT 005/04/03
23,005/04/03,"SEKOLAH KEBANGSAAN PUTAT, JITRA",4,406,265,18,33,84,400,6,0,KAMPUNG PUTAT ,UNDI BIASA,KAMPUNG PUTAT 005/04/03
24,005/04/04,"SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA, KODIANG",1,367,156,48,28,129,361,6,0,KAMPUNG IMAM ,UNDI BIASA,KAMPUNG IMAM 005/04/04
24,005/04/04,"SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA, KODIANG",2,447,263,57,25,100,445,2,0,KAMPUNG IMAM ,UNDI BIASA,KAMPUNG IMAM 005/04/04
24,005/04/04,"SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA, KODIANG",3,444,293,32,41,77,443,1,0,KAMPUNG IMAM ,UNDI BIASA,KAMPUNG IMAM 005/04/04
25,005/04/05,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",1,336,207,8,29,87,331,5,0,TELAGA BATU ,UNDI BIASA,TELAGA BATU 005/04/05
25,005/04/05,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",2,401,287,16,33,64,400,1,0,TELAGA BATU ,UNDI BIASA,TELAGA BATU 005/04/05
25,005/04/05,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",3,371,284,10,22,54,370,1,0,TELAGA BATU ,UNDI BIASA,TELAGA BATU 005/04/05
25,005/04/05,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",4,430,342,20,19,47,428,2,0,TELAGA BATU ,UNDI BIASA,TELAGA BATU 005/04/05
26,005/04/06,"SEKOLAH KEBANGSAAN PADANG PERAHU, JITRA",1,361,234,25,31,68,358,3,0,PADANG PERAHU ,UNDI BIASA,PADANG PERAHU 005/04/06
26,005/04/06,"SEKOLAH KEBANGSAAN PADANG PERAHU, JITRA",2,529,364,35,50,76,525,4,0,PADANG PERAHU ,UNDI BIASA,PADANG PERAHU 005/04/06
26,005/04/06,"SEKOLAH KEBANGSAAN PADANG PERAHU, JITRA",3,527,396,29,43,52,520,7,0,PADANG PERAHU ,UNDI BIASA,PADANG PERAHU 005/04/06
27,005/04/07,"SEKOLAH KEBANGSAAN PIDA TIGA, TUNJANG",1,346,171,28,17,121,337,9,0,KAMPUNG PIDA ,UNDI BIASA,KAMPUNG PIDA 005/04/07
27,005/04/07,"SEKOLAH KEBANGSAAN PIDA TIGA, TUNJANG",2,482,315,31,17,112,475,7,0,KAMPUNG PIDA ,UNDI BIASA,KAMPUNG PIDA 005/04/07
27,005/04/07,"SEKOLAH KEBANGSAAN PIDA TIGA, TUNJANG",3,435,319,18,13,79,429,6,0,KAMPUNG PIDA ,UNDI BIASA,KAMPUNG PIDA 005/04/07
27,005/04/07,"SEKOLAH KEBANGSAAN PIDA TIGA, TUNJANG",4,477,358,18,14,84,474,3,0,KAMPUNG PIDA ,UNDI BIASA,KAMPUNG PIDA 005/04/07
28,005/04/08,"SEKOLAH KEBANGSAAN PULAU CHAPA, JITRA",1,361,197,20,14,120,351,10,0,KAMPUNG GURINDAM ,UNDI BIASA,KAMPUNG GURINDAM 005/04/08
28,005/04/08,"SEKOLAH KEBANGSAAN PULAU CHAPA, JITRA",2,534,381,27,16,103,527,7,0,KAMPUNG GURINDAM ,UNDI BIASA,KAMPUNG GURINDAM 005/04/08
28,005/04/08,"SEKOLAH KEBANGSAAN PULAU CHAPA, JITRA",3,501,395,16,21,69,501,0,0,KAMPUNG GURINDAM ,UNDI BIASA,KAMPUNG GURINDAM 005/04/08
29,005/04/09,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, SUNGAI KOROK",1,337,203,13,36,78,330,7,0,ALOR BIAK ,UNDI BIASA,ALOR BIAK 005/04/09
29,005/04/09,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, SUNGAI KOROK",2,388,229,17,70,68,384,4,0,ALOR BIAK ,UNDI BIASA,ALOR BIAK 005/04/09
29,005/04/09,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, SUNGAI KOROK",3,543,403,21,56,63,543,0,0,ALOR BIAK ,UNDI BIASA,ALOR BIAK 005/04/09
29,005/04/09,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, SUNGAI KOROK",4,557,421,11,60,65,557,0,0,ALOR BIAK ,UNDI BIASA,ALOR BIAK 005/04/09
30,005/04/10,"SEKOLAH MENENGAH AGAMA HIDAYAH ISLAMIAH, ALOR BIAK",1,368,184,15,67,80,346,22,0,KUBANG SEPAT ,UNDI BIASA,KUBANG SEPAT 005/04/10
30,005/04/10,"SEKOLAH MENENGAH AGAMA HIDAYAH ISLAMIAH, ALOR BIAK",2,588,382,29,62,108,581,7,0,KUBANG SEPAT ,UNDI BIASA,KUBANG SEPAT 005/04/10
30,005/04/10,"SEKOLAH MENENGAH AGAMA HIDAYAH ISLAMIAH, ALOR BIAK",3,576,439,15,49,73,576,0,0,KUBANG SEPAT ,UNDI BIASA,KUBANG SEPAT 005/04/10
31,005/04/11,"SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD, AYER HITAM",1,320,157,9,34,112,312,8,0,LANA BULU ,UNDI BIASA,LANA BULU 005/04/11
31,005/04/11,"SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD, AYER HITAM",2,386,209,19,37,116,381,5,0,LANA BULU ,UNDI BIASA,LANA BULU 005/04/11
31,005/04/11,"SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD, AYER HITAM",3,537,329,30,52,123,534,3,0,LANA BULU ,UNDI BIASA,LANA BULU 005/04/11
31,005/04/11,"SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD, AYER HITAM",4,484,348,16,29,90,483,1,0,LANA BULU ,UNDI BIASA,LANA BULU 005/04/11
31,005/04/11,"SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD, AYER HITAM",5,545,389,16,36,104,545,0,0,LANA BULU ,UNDI BIASA,LANA BULU 005/04/11
32,005/04/12,"SEKOLAH KEBANGSAAN MATANG PAKU, AYER HITAM",1,353,219,10,15,100,344,9,0,PERMATANG PAKU ,UNDI BIASA,PERMATANG PAKU 005/04/12
32,005/04/12,"SEKOLAH KEBANGSAAN MATANG PAKU, AYER HITAM",2,388,253,11,27,93,384,4,0,PERMATANG PAKU ,UNDI BIASA,PERMATANG PAKU 005/04/12
32,005/04/12,"SEKOLAH KEBANGSAAN MATANG PAKU, AYER HITAM",3,503,371,22,27,81,501,2,0,PERMATANG PAKU ,UNDI BIASA,PERMATANG PAKU 005/04/12
32,005/04/12,"SEKOLAH KEBANGSAAN MATANG PAKU, AYER HITAM",4,526,404,18,17,85,524,2,0,PERMATANG PAKU ,UNDI BIASA,PERMATANG PAKU 005/04/12
33,005/04/13,"SEKOLAH KEBANGSAAN TUNKU LAKSAMANA, AYER HITAM",1,355,224,19,24,83,350,5,0,MATANG BONGLAI ,UNDI BIASA,MATANG BONGLAI 005/04/13
33,005/04/13,"SEKOLAH KEBANGSAAN TUNKU LAKSAMANA, AYER HITAM",2,374,240,17,42,73,372,2,0,MATANG BONGLAI ,UNDI BIASA,MATANG BONGLAI 005/04/13
33,005/04/13,"SEKOLAH KEBANGSAAN TUNKU LAKSAMANA, AYER HITAM",3,458,351,18,27,58,454,4,0,MATANG BONGLAI ,UNDI BIASA,MATANG BONGLAI 005/04/13
33,005/04/13,"SEKOLAH KEBANGSAAN TUNKU LAKSAMANA, AYER HITAM",4,449,344,16,27,58,445,4,0,MATANG BONGLAI ,UNDI BIASA,MATANG BONGLAI 005/04/13
34,005/04/14,"SEKOLAH MENENGAH KEBANGSAAN JERLUN, AYER HITAM",1,332,103,33,79,106,321,11,0,JERLUN ,UNDI BIASA,JERLUN 005/04/14
34,005/04/14,"SEKOLAH MENENGAH KEBANGSAAN JERLUN, AYER HITAM",2,376,158,27,82,102,369,7,0,JERLUN ,UNDI BIASA,JERLUN 005/04/14
34,005/04/14,"SEKOLAH MENENGAH KEBANGSAAN JERLUN, AYER HITAM",3,576,303,51,89,120,563,13,0,JERLUN ,UNDI BIASA,JERLUN 005/04/14
34,005/04/14,"SEKOLAH MENENGAH KEBANGSAAN JERLUN, AYER HITAM",4,588,369,30,53,132,584,4,0,JERLUN ,UNDI BIASA,JERLUN 005/04/14
35,005/04/15,"SEKOLAH MENENGAH KEBANGSAAN AYER HITAM, AYER HITAM",1,308,113,29,57,103,302,6,0,LUBOK PINANG ,UNDI BIASA,LUBOK PINANG 005/04/15
35,005/04/15,"SEKOLAH MENENGAH KEBANGSAAN AYER HITAM, AYER HITAM",2,362,187,18,54,98,357,5,0,LUBOK PINANG ,UNDI BIASA,LUBOK PINANG 005/04/15
35,005/04/15,"SEKOLAH MENENGAH KEBANGSAAN AYER HITAM, AYER HITAM",3,406,239,28,45,89,401,5,0,LUBOK PINANG ,UNDI BIASA,LUBOK PINANG 005/04/15
35,005/04/15,"SEKOLAH MENENGAH KEBANGSAAN AYER HITAM, AYER HITAM",4,432,278,33,33,85,429,3,0,LUBOK PINANG ,UNDI BIASA,LUBOK PINANG 005/04/15
36,005/04/16,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, AYER HITAM",1,317,82,16,122,85,305,12,0,PEKAN AYER HITAM ,UNDI BIASA,PEKAN AYER HITAM 005/04/16
36,005/04/16,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, AYER HITAM",2,373,124,31,130,82,367,6,0,PEKAN AYER HITAM ,UNDI BIASA,PEKAN AYER HITAM 005/04/16
36,005/04/16,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, AYER HITAM",3,492,249,32,125,84,490,2,0,PEKAN AYER HITAM ,UNDI BIASA,PEKAN AYER HITAM 005/04/16
36,005/04/16,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, AYER HITAM",4,491,300,29,89,72,490,1,0,PEKAN AYER HITAM ,UNDI BIASA,PEKAN AYER HITAM 005/04/16
37,005/04/17,"SEKOLAH KEBANGSAAN AYER HITAM, AYER HITAM",1,345,207,14,27,92,340,5,0,KAMPUNG GANDAI ,UNDI BIASA,KAMPUNG GANDAI 005/04/17
37,005/04/17,"SEKOLAH KEBANGSAAN AYER HITAM, AYER HITAM",2,489,333,27,36,90,486,3,0,KAMPUNG GANDAI ,UNDI BIASA,KAMPUNG GANDAI 005/04/17
37,005/04/17,"SEKOLAH KEBANGSAAN AYER HITAM, AYER HITAM",3,497,367,20,22,86,495,2,0,KAMPUNG GANDAI ,UNDI BIASA,KAMPUNG GANDAI 005/04/17
38,005/04/18,"SEKOLAH KEBANGSAAN JERLUN, AYER HITAM",1,361,141,31,18,167,357,4,0,KUBANG NIPAH ,UNDI BIASA,KUBANG NIPAH 005/04/18
38,005/04/18,"SEKOLAH KEBANGSAAN JERLUN, AYER HITAM",2,485,250,34,15,183,482,3,0,KUBANG NIPAH ,UNDI BIASA,KUBANG NIPAH 005/04/18
38,005/04/18,"SEKOLAH KEBANGSAAN JERLUN, AYER HITAM",3,495,289,22,15,169,495,0,0,KUBANG NIPAH ,UNDI BIASA,KUBANG NIPAH 005/04/18
,,,,,,,,,,,,,,
JUMLAH,,,128,52909,31685,3144,6149,11229,52207,617,85,END,END,END
