Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ABE WAE - REDZUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK JAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) WAN AHMAD NASRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MARZUK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. HAFIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
29,020/07/05,SEKOLAH KEBANGSAAN SERING,1,339,0,32,1,218,87,338,1,0,SERING ,UNDI BIASA,SERING 020/07/05
29,020/07/05,SEKOLAH KEBANGSAAN SERING,2,482,2,46,2,307,122,479,3,0,SERING ,UNDI BIASA,SERING 020/07/05
29,020/07/05,SEKOLAH KEBANGSAAN SERING,3,444,0,34,1,338,70,443,1,0,SERING ,UNDI BIASA,SERING 020/07/05
29,020/07/05,SEKOLAH KEBANGSAAN SERING,4,429,2,47,1,310,67,427,2,0,SERING ,UNDI BIASA,SERING 020/07/05
29,020/07/05,SEKOLAH KEBANGSAAN SERING,5,505,2,58,0,356,88,504,1,0,SERING ,UNDI BIASA,SERING 020/07/05
30,020/07/06,SEKOLAH MENENGAH KEBANGSAAN SERING,1,379,2,10,0,242,122,376,3,0,PASIR KASAR ,UNDI BIASA,PASIR KASAR 020/07/06
30,020/07/06,SEKOLAH MENENGAH KEBANGSAAN SERING,2,439,3,17,3,310,104,437,2,0,PASIR KASAR ,UNDI BIASA,PASIR KASAR 020/07/06
30,020/07/06,SEKOLAH MENENGAH KEBANGSAAN SERING,3,414,2,16,0,317,77,412,2,0,PASIR KASAR ,UNDI BIASA,PASIR KASAR 020/07/06
30,020/07/06,SEKOLAH MENENGAH KEBANGSAAN SERING,4,490,4,26,0,361,98,489,1,0,PASIR KASAR ,UNDI BIASA,PASIR KASAR 020/07/06
31,020/07/07,SEKOLAH KEBANGSAAN CHICHA MENYABONG,1,358,0,10,0,259,84,353,5,0,PULAU BELANGA ,UNDI BIASA,PULAU BELANGA 020/07/07
