P.006_N.05_006/05/06_7,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/06,PEKAN BARU CHANGLUN ,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",7,457
P.006_N.05_006/05/06_8,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/06,PEKAN BARU CHANGLUN ,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",8,523
P.006_N.05_006/05/06_9,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/06,PEKAN BARU CHANGLUN ,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",9,548
P.006_N.05_006/05/07_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/07,PEKAN LAMA CHANGLUN ,"SEKOLAH JENIS KEBANGSAAN (TAMIL) CHANGLUN, CHANGLUN",1,171
P.006_N.05_006/05/07_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/07,PEKAN LAMA CHANGLUN ,"SEKOLAH JENIS KEBANGSAAN (TAMIL) CHANGLUN, CHANGLUN",2,157
P.006_N.05_006/05/08_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/08,SINTOK ,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",1,340
P.006_N.05_006/05/08_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/08,SINTOK ,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",2,372
P.006_N.05_006/05/08_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/08,SINTOK ,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",3,471
P.006_N.05_006/05/08_4,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/08,SINTOK ,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",4,485
P.006_N.05_006/05/08_5,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/08,SINTOK ,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",5,590
P.006_N.05_006/05/09_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/09,KAMPUNG DARAT ,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",1,308
P.006_N.05_006/05/09_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/09,KAMPUNG DARAT ,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",2,377
P.006_N.05_006/05/09_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/09,KAMPUNG DARAT ,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",3,474
P.006_N.05_006/05/09_4,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/09,KAMPUNG DARAT ,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",4,449
P.006_N.05_006/05/09_5,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/09,KAMPUNG DARAT ,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",5,542
P.006_N.05_006/05/10_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/10,KUBANG PASU ,"SEKOLAH MENENGAH KEBANGSAAN HOSBA, CHANGLUN",1,322
P.006_N.05_006/05/10_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/10,KUBANG PASU ,"SEKOLAH MENENGAH KEBANGSAAN HOSBA, CHANGLUN",2,331
P.006_N.05_006/05/10_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/10,KUBANG PASU ,"SEKOLAH MENENGAH KEBANGSAAN HOSBA, CHANGLUN",3,333
P.006_N.05_006/05/11_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/11,GUAR NAPAI ,"SEKOLAH KEBANGSAAN GUAR NAPAI, KODIANG",1,315
P.006_N.05_006/05/11_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/11,GUAR NAPAI ,"SEKOLAH KEBANGSAAN GUAR NAPAI, KODIANG",2,349
P.006_N.05_006/05/12_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/12,HUSBA ,"SEKOLAH KEBANGSAAN HOSBA, JITRA",1,310
P.006_N.05_006/05/12_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/12,HUSBA ,"SEKOLAH KEBANGSAAN HOSBA, JITRA",2,357
P.006_N.05_006/05/12_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/12,HUSBA ,"SEKOLAH KEBANGSAAN HOSBA, JITRA",3,356
P.006_N.05_006/05/13_4,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/13,KAMPUNG NAPOH ,"SEKOLAH KEBANGSAAN HOSBA, JITRA",4,334
P.006_N.05_006/05/13_5,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/13,KAMPUNG NAPOH ,"SEKOLAH KEBANGSAAN HOSBA, JITRA",5,376
P.006_N.05_006/05/13_6,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/13,KAMPUNG NAPOH ,"SEKOLAH KEBANGSAAN HOSBA, JITRA",6,352
P.006_N.05_006/05/13_7,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/13,KAMPUNG NAPOH ,"SEKOLAH KEBANGSAAN HOSBA, JITRA",7,389
P.006_N.05_006/05/14_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/14,BINJAL ,PERTUBUHAN PELADANG KAWASAN ASUN,1,356
P.006_N.05_006/05/14_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/14,BINJAL ,PERTUBUHAN PELADANG KAWASAN ASUN,2,518
P.006_N.05_006/05/14_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/14,BINJAL ,PERTUBUHAN PELADANG KAWASAN ASUN,3,510
P.006_N.05_006/05/15_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/15,KAMPUNG BEMBAN ,"SEKOLAH KEBANGSAAN GELONG, JITRA",1,353
P.006_N.05_006/05/15_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/15,KAMPUNG BEMBAN ,"SEKOLAH KEBANGSAAN GELONG, JITRA",2,406
P.006_N.05_006/05/15_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/15,KAMPUNG BEMBAN ,"SEKOLAH KEBANGSAAN GELONG, JITRA",3,408
