Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' DR. IBRAHIM ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK LAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK ZAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PROF UST ZUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR SHAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
16,023/14/13,SEKOLAH MENENGAH KEBANGSAAN CHETOK,1,327,5,151,1,91,72,320,7,0,KUBANG GENDANG ,UNDI BIASA,KUBANG GENDANG 023/14/13
16,023/14/13,SEKOLAH MENENGAH KEBANGSAAN CHETOK,2,481,4,224,0,117,132,477,4,0,KUBANG GENDANG ,UNDI BIASA,KUBANG GENDANG 023/14/13
16,023/14/13,SEKOLAH MENENGAH KEBANGSAAN CHETOK,3,474,7,291,2,99,74,473,1,0,KUBANG GENDANG ,UNDI BIASA,KUBANG GENDANG 023/14/13
17,023/15/01,SEKOLAH KEBANGSAAN GUAL TO' DEH,1,159,3,93,2,55,4,157,2,0,LUBOK GONG ,UNDI BIASA,LUBOK GONG 023/15/01
17,023/15/01,SEKOLAH KEBANGSAAN GUAL TO' DEH,2,247,2,150,0,78,14,244,3,0,LUBOK GONG ,UNDI BIASA,LUBOK GONG 023/15/01
17,023/15/01,SEKOLAH KEBANGSAAN GUAL TO' DEH,3,363,11,232,0,96,14,353,10,0,LUBOK GONG ,UNDI BIASA,LUBOK GONG 023/15/01
17,023/15/01,SEKOLAH KEBANGSAAN GUAL TO' DEH,4,356,4,226,0,98,23,351,5,0,LUBOK GONG ,UNDI BIASA,LUBOK GONG 023/15/01
17,023/15/01,SEKOLAH KEBANGSAAN GUAL TO' DEH,5,337,10,218,0,94,14,336,1,0,LUBOK GONG ,UNDI BIASA,LUBOK GONG 023/15/01
17,023/15/01,SEKOLAH KEBANGSAAN GUAL TO' DEH,6,378,7,235,0,112,23,377,1,0,LUBOK GONG ,UNDI BIASA,LUBOK GONG 023/15/01
17,023/15/01,SEKOLAH KEBANGSAAN GUAL TO' DEH,7,390,6,260,0,92,18,376,14,0,LUBOK GONG ,UNDI BIASA,LUBOK GONG 023/15/01
18,023/15/02,SEKOLAH KEBANGSAAN GUAL PERIOK,1,195,4,100,0,80,8,192,3,0,KEDAI GUAL PERIOK ,UNDI BIASA,KEDAI GUAL PERIOK 023/15/02
