Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KHAIRUL AZUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' KAK TAZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ASRI ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAJI WAN JO,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' CHE LAH (DCL),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
55,019/04/12,SEKOLAH KEBANGSAAN KAMPONG DELIMA,1,309,2,173,2,18,110,305,4,0,WAKAF DELIMA ,UNDI BIASA,WAKAF DELIMA 019/04/12
55,019/04/12,SEKOLAH KEBANGSAAN KAMPONG DELIMA,2,342,0,183,0,32,124,339,3,0,WAKAF DELIMA ,UNDI BIASA,WAKAF DELIMA 019/04/12
55,019/04/12,SEKOLAH KEBANGSAAN KAMPONG DELIMA,3,484,2,296,1,35,146,480,4,0,WAKAF DELIMA ,UNDI BIASA,WAKAF DELIMA 019/04/12
55,019/04/12,SEKOLAH KEBANGSAAN KAMPONG DELIMA,4,410,0,271,1,35,100,407,3,0,WAKAF DELIMA ,UNDI BIASA,WAKAF DELIMA 019/04/12
55,019/04/12,SEKOLAH KEBANGSAAN KAMPONG DELIMA,5,422,0,258,1,38,123,420,2,0,WAKAF DELIMA ,UNDI BIASA,WAKAF DELIMA 019/04/12
55,019/04/12,SEKOLAH KEBANGSAAN KAMPONG DELIMA,6,520,0,325,0,31,162,518,2,0,WAKAF DELIMA ,UNDI BIASA,WAKAF DELIMA 019/04/12
56,019/04/13,SEKOLAH KEBANGSAAN SERI WAKAF BAHARU,1,306,4,113,3,94,87,301,5,0,KAMPUNG BELUKAR ,UNDI BIASA,KAMPUNG BELUKAR 019/04/13
56,019/04/13,SEKOLAH KEBANGSAAN SERI WAKAF BAHARU,2,399,0,176,7,107,105,395,4,0,KAMPUNG BELUKAR ,UNDI BIASA,KAMPUNG BELUKAR 019/04/13
56,019/04/13,SEKOLAH KEBANGSAAN SERI WAKAF BAHARU,3,340,0,142,2,100,93,337,3,0,KAMPUNG BELUKAR ,UNDI BIASA,KAMPUNG BELUKAR 019/04/13
56,019/04/13,SEKOLAH KEBANGSAAN SERI WAKAF BAHARU,4,396,0,174,1,110,109,394,2,0,KAMPUNG BELUKAR ,UNDI BIASA,KAMPUNG BELUKAR 019/04/13
57,019/04/14,SEKOLAH KEBANGSAAN WAKAF BHARU,1,291,1,130,3,52,101,287,4,0,WAKAF BHARU KEDAI ,UNDI BIASA,WAKAF BHARU KEDAI 019/04/14
57,019/04/14,SEKOLAH KEBANGSAAN WAKAF BHARU,2,334,0,184,4,56,86,330,4,0,WAKAF BHARU KEDAI ,UNDI BIASA,WAKAF BHARU KEDAI 019/04/14
57,019/04/14,SEKOLAH KEBANGSAAN WAKAF BHARU,3,494,0,288,6,90,107,491,3,0,WAKAF BHARU KEDAI ,UNDI BIASA,WAKAF BHARU KEDAI 019/04/14
57,019/04/14,SEKOLAH KEBANGSAAN WAKAF BHARU,4,424,0,273,7,60,83,423,1,0,WAKAF BHARU KEDAI ,UNDI BIASA,WAKAF BHARU KEDAI 019/04/14
57,019/04/14,SEKOLAH KEBANGSAAN WAKAF BHARU,5,430,0,256,4,65,104,429,1,0,WAKAF BHARU KEDAI ,UNDI BIASA,WAKAF BHARU KEDAI 019/04/14
57,019/04/14,SEKOLAH KEBANGSAAN WAKAF BHARU,6,500,1,291,3,78,126,499,1,0,WAKAF BHARU KEDAI ,UNDI BIASA,WAKAF BHARU KEDAI 019/04/14
,,,,,,,,,,,,,,,
JUMLAH,JUMLAH,JUMLAH,262,106173,245,65426,593,7762,30633,104659,1233,281,END,EN D,END
