Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AIZUDDIN ARIFFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AMIRUDDIN HAMZAH (TOK MET),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HASMUNI BIN HASSAN (TOK MUNI),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
6,006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",3,351,230,45,22,52,349,2,0,TEMIN ,UNDI BIASA,TEMIN 006/05/03
6,006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",4,461,317,78,23,38,456,5,0,TEMIN ,UNDI BIASA,TEMIN 006/05/03
7,006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",1,351,134,16,23,168,341,10,0,FELDA LAKA SELATAN ,UNDI BIASA,FELDA LAKA SELATAN 006/05/04
7,006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",2,399,238,25,28,102,393,6,0,FELDA LAKA SELATAN ,UNDI BIASA,FELDA LAKA SELATAN 006/05/04
7,006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",3,399,260,38,19,81,398,1,0,FELDA LAKA SELATAN ,UNDI BIASA,FELDA LAKA SELATAN 006/05/04
7,006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",4,417,293,33,12,76,414,3,0,FELDA LAKA SELATAN ,UNDI BIASA,FELDA LAKA SELATAN 006/05/04
8,006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",1,344,157,38,16,124,335,9,0,FELDA BATU LAPAN ,UNDI BIASA,FELDA BATU LAPAN 006/05/05
8,006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",2,551,350,42,33,121,546,5,0,FELDA BATU LAPAN ,UNDI BIASA,FELDA BATU LAPAN 006/05/05
8,006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",3,583,399,73,16,94,582,1,0,FELDA BATU LAPAN ,UNDI BIASA,FELDA BATU LAPAN 006/05/05
9,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",1,288,91,108,16,73,288,0,0,PEKAN BARU CHANGLUN ,UNDI BIASA,PEKAN BARU CHANGLUN 006/05/06
9,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",2,360,142,111,29,76,358,2,0,PEKAN BARU CHANGLUN ,UNDI BIASA,PEKAN BARU CHANGLUN 006/05/06
