Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HUSAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ FADHLI SHAARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO GHANI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NASRUL ALI HASAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
13,022/11/09,KOLEJ VOKASIONAL PASIR MAS,2,389,40,244,94,5,383,6,0,HUTAN CHENGAL ,UNDI BIASA,HUTAN CHENGAL 022/11/09
13,022/11/09,KOLEJ VOKASIONAL PASIR MAS,3,344,41,229,70,3,343,1,0,HUTAN CHENGAL ,UNDI BIASA,HUTAN CHENGAL 022/11/09
13,022/11/09,KOLEJ VOKASIONAL PASIR MAS,4,404,45,266,87,5,403,1,0,HUTAN CHENGAL ,UNDI BIASA,HUTAN CHENGAL 022/11/09
14,022/11/10,SEKOLAH KEBANGSAAN TANJONG BUNGA,1,287,16,131,130,5,282,5,0,KUBANG SEPAT ,UNDI BIASA,KUBANG SEPAT 022/11/10
14,022/11/10,SEKOLAH KEBANGSAAN TANJONG BUNGA,2,330,22,201,100,2,325,5,0,KUBANG SEPAT ,UNDI BIASA,KUBANG SEPAT 022/11/10
14,022/11/10,SEKOLAH KEBANGSAAN TANJONG BUNGA,3,355,26,219,103,3,351,4,0,KUBANG SEPAT ,UNDI BIASA,KUBANG SEPAT 022/11/10
15,022/11/11,SEKOLAH MENENGAH KEBANGSAAN TANJONG BUNGA,1,332,26,189,107,4,326,6,0,"KAMPUNG HUTAN PASIR
",UNDI BIASA,"KAMPUNG HUTAN PASIR
022/11/11"
15,022/11/11,SEKOLAH MENENGAH KEBANGSAAN TANJONG BUNGA,2,329,37,199,83,9,328,1,0,"KAMPUNG HUTAN PASIR
",UNDI BIASA,"KAMPUNG HUTAN PASIR
022/11/11"
15,022/11/11,SEKOLAH MENENGAH KEBANGSAAN TANJONG BUNGA,3,369,28,266,59,9,362,7,0,"KAMPUNG HUTAN PASIR
",UNDI BIASA,"KAMPUNG HUTAN PASIR
022/11/11"
15,022/11/11,SEKOLAH MENENGAH KEBANGSAAN TANJONG BUNGA,4,356,44,235,70,5,354,2,0,"KAMPUNG HUTAN PASIR
",UNDI BIASA,"KAMPUNG HUTAN PASIR
022/11/11"
