Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAJI RAHIMI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MARZUANI ARDILA ARIFFIN (GEE),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MEJ JEN DATO HJ KHLIR (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HANEEF IBRAHIM (ABE HANEEF),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
17,026/24/05,SEKOLAH MENENGAH KEBANGSAAN KADOK,4,378,28,74,268,1,371,7,0,KADOK ,UNDI BIASA,KADOK 026/24/05
17,026/24/05,SEKOLAH MENENGAH KEBANGSAAN KADOK,5,394,24,77,290,0,391,3,0,KADOK ,UNDI BIASA,KADOK 026/24/05
17,026/24/05,SEKOLAH MENENGAH KEBANGSAAN KADOK,6,479,52,74,353,0,479,0,0,KADOK ,UNDI BIASA,KADOK 026/24/05
18,026/24/06,SMU (A) HAMIDIAH PADANG LEPAI,1,375,24,101,244,0,369,6,0,KAMPUNG TALANG ,UNDI BIASA,KAMPUNG TALANG 026/24/06
18,026/24/06,SMU (A) HAMIDIAH PADANG LEPAI,2,355,26,96,230,0,352,3,0,KAMPUNG TALANG ,UNDI BIASA,KAMPUNG TALANG 026/24/06
18,026/24/06,SMU (A) HAMIDIAH PADANG LEPAI,3,406,24,112,268,0,404,2,0,KAMPUNG TALANG ,UNDI BIASA,KAMPUNG TALANG 026/24/06
19,026/24/07,SMU (A) ITTIHADIAH TANJUNG PAGAR,1,366,23,115,220,0,358,8,0,DUSUN RENDAH ,UNDI BIASA,DUSUN RENDAH 026/24/07
19,026/24/07,SMU (A) ITTIHADIAH TANJUNG PAGAR,2,368,28,100,234,0,362,5,1,DUSUN RENDAH ,UNDI BIASA,DUSUN RENDAH 026/24/07
19,026/24/07,SMU (A) ITTIHADIAH TANJUNG PAGAR,3,410,49,110,244,0,403,7,0,DUSUN RENDAH ,UNDI BIASA,DUSUN RENDAH 026/24/07
19,026/24/07,SMU (A) ITTIHADIAH TANJUNG PAGAR,4,382,40,84,249,0,373,9,0,DUSUN RENDAH ,UNDI BIASA,DUSUN RENDAH 026/24/07
19,026/24/07,SMU (A) ITTIHADIAH TANJUNG PAGAR,5,475,42,123,309,1,475,0,0,DUSUN RENDAH ,UNDI BIASA,DUSUN RENDAH 026/24/07
20,026/24/08,SEKOLAH KEBANGSAAN KUBANG KIAT,1,333,31,93,203,0,327,6,0,BINJAL ,UNDI BIASA,BINJAL 026/24/08
20,026/24/08,SEKOLAH KEBANGSAAN KUBANG KIAT,2,365,32,91,236,3,362,3,0,BINJAL ,UNDI BIASA,BINJAL 026/24/08
20,026/24/08,SEKOLAH KEBANGSAAN KUBANG KIAT,3,505,21,96,375,3,495,10,0,BINJAL ,UNDI BIASA,BINJAL 026/24/08
20,026/24/08,SEKOLAH KEBANGSAAN KUBANG KIAT,4,444,27,75,332,2,436,8,0,BINJAL ,UNDI BIASA,BINJAL 026/24/08
20,026/24/08,SEKOLAH KEBANGSAAN KUBANG KIAT,5,470,28,86,346,2,462,8,0,BINJAL ,UNDI BIASA,BINJAL 026/24/08
20,026/24/08,SEKOLAH KEBANGSAAN KUBANG KIAT,6,485,48,77,353,4,482,3,0,BINJAL ,UNDI BIASA,BINJAL 026/24/08
20,026/24/08,SEKOLAH KEBANGSAAN KUBANG KIAT,7,544,34,81,427,1,543,1,0,BINJAL ,UNDI BIASA,BINJAL 026/24/08
21,026/24/09,SEKOLAH KEBANGSAAN KAMPONG CHENGAL,1,358,15,149,189,1,354,4,0,BUT CHENGAL ,UNDI BIASA,BUT CHENGAL 026/24/09
21,026/24/09,SEKOLAH KEBANGSAAN KAMPONG CHENGAL,2,486,36,139,301,1,477,9,0,BUT CHENGAL ,UNDI BIASA,BUT CHENGAL 026/24/09
21,026/24/09,SEKOLAH KEBANGSAAN KAMPONG CHENGAL,3,443,32,110,287,3,432,11,0,BUT CHENGAL ,UNDI BIASA,BUT CHENGAL 026/24/09
21,026/24/09,SEKOLAH KEBANGSAAN KAMPONG CHENGAL,4,510,46,107,351,2,506,4,0,BUT CHENGAL ,UNDI BIASA,BUT CHENGAL 026/24/09
