Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ERIC CHOO WEI SERN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHOO POAY TIONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) GOH LEONG SAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
20,138/20/06,SEKOLAH MENENGAH KEBANGSAAN KATHOLIK,4.0,418,54,353,11,418,0,0,KENANGA SEKSYEN 2 ,UNDI BIASA
21,138/20/07,SEKOLAH JENIS KEBANGSAAN NOTRE DAME,1.0,264,42,215,5,262,2,0,KENANGA SEKSYEN 3 ,UNDI BIASA
21,138/20/07,SEKOLAH JENIS KEBANGSAAN NOTRE DAME,2.0,481,47,414,13,474,6,1,KENANGA SEKSYEN 3 ,UNDI BIASA
21,138/20/07,SEKOLAH JENIS KEBANGSAAN NOTRE DAME,3.0,492,32,452,8,492,0,0,KENANGA SEKSYEN 3 ,UNDI BIASA
21,138/20/07,SEKOLAH JENIS KEBANGSAAN NOTRE DAME,4.0,479,29,437,10,476,3,0,KENANGA SEKSYEN 3 ,UNDI BIASA
21,138/20/07,SEKOLAH JENIS KEBANGSAAN NOTRE DAME,5.0,460,25,429,6,460,0,0,KENANGA SEKSYEN 3 ,UNDI BIASA
21,138/20/07,SEKOLAH JENIS KEBANGSAAN NOTRE DAME,6.0,456,18,432,5,455,1,0,KENANGA SEKSYEN 3 ,UNDI BIASA
22,138/20/08,SEKOLAH MENENGAH KEBANGSAAN PEREMPUAN METHODIST,1.0,259,82,168,4,254,5,0,TENGKERA PANTAI ,UNDI BIASA
22,138/20/08,SEKOLAH MENENGAH KEBANGSAAN PEREMPUAN METHODIST,2.0,554,132,409,10,551,3,0,TENGKERA PANTAI ,UNDI BIASA
22,138/20/08,SEKOLAH MENENGAH KEBANGSAAN PEREMPUAN METHODIST,3.0,537,119,410,5,534,3,0,TENGKERA PANTAI ,UNDI BIASA
23,138/20/09,SEKOLAH MENENGAH KEBANGSAAN GAJAH BERANG,1.0,239,60,175,1,236,3,0,TENGKERA ,UNDI BIASA
23,138/20/09,SEKOLAH MENENGAH KEBANGSAAN GAJAH BERANG,2.0,514,75,424,5,504,10,0,TENGKERA ,UNDI BIASA
23,138/20/09,SEKOLAH MENENGAH KEBANGSAAN GAJAH BERANG,3.0,521,57,452,7,516,5,0,TENGKERA ,UNDI BIASA
23,138/20/09,SEKOLAH MENENGAH KEBANGSAAN GAJAH BERANG,4.0,521,55,452,13,520,1,0,TENGKERA ,UNDI BIASA
23,138/20/09,SEKOLAH MENENGAH KEBANGSAAN GAJAH BERANG,5.0,508,68,437,2,507,1,0,TENGKERA ,UNDI BIASA
24,138/20/10,SEKOLAH TINGGI PAY FONG MELAKA,1.0,221,37,174,6,217,4,0,KUBU ,UNDI BIASA
24,138/20/10,SEKOLAH TINGGI PAY FONG MELAKA,2.0,545,54,478,10,542,3,0,KUBU ,UNDI BIASA
24,138/20/10,SEKOLAH TINGGI PAY FONG MELAKA,3.0,564,35,510,13,558,6,0,KUBU ,UNDI BIASA
