Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ OTHMAN CHE MEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SIMON OOI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TAN KEE CHYE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TAN HOCK HUAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KO HUNG WENG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang undi dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti (D),Nama Daerah Mengundi,Jenis Undi
18,015/28/16,"SEKOLAH KEBANGSAAN SERI GEDONG, SUNGAI PETANI",5.0,451,111,271,2,0,66,450,1,0,TAMAN SEJATI INDAH ,UNDI BIASA
18,015/28/16,"SEKOLAH KEBANGSAAN SERI GEDONG, SUNGAI PETANI",6.0,458,142,248,0,0,62,452,6,0,TAMAN SEJATI INDAH ,UNDI BIASA
18,015/28/16,"SEKOLAH KEBANGSAAN SERI GEDONG, SUNGAI PETANI",7.0,489,179,256,0,1,53,489,0,0,TAMAN SEJATI INDAH ,UNDI BIASA
19,015/28/17,"SEKOLAH KEBANGSAAN  TAMAN SERI WANG, SUNGAI PETANI",1.0,296,64,127,1,1,100,293,3,0,TAMAN SRI WANG ,UNDI BIASA
19,015/28/17,"SEKOLAH KEBANGSAAN  TAMAN SERI WANG, SUNGAI PETANI",2.0,454,94,247,3,0,106,450,4,0,TAMAN SRI WANG ,UNDI BIASA
19,015/28/17,"SEKOLAH KEBANGSAAN  TAMAN SERI WANG, SUNGAI PETANI",3.0,386,77,242,2,0,64,385,1,0,TAMAN SRI WANG ,UNDI BIASA
19,015/28/17,"SEKOLAH KEBANGSAAN  TAMAN SERI WANG, SUNGAI PETANI",4.0,399,141,196,0,0,61,398,1,0,TAMAN SRI WANG ,UNDI BIASA
20,015/28/18,"SEKOLAH MENENGAH SIN MIN (P), SUNGAI PETANI",1.0,276,31,158,0,0,76,265,11,0,TAMAN KELADI ,UNDI BIASA
20,015/28/18,"SEKOLAH MENENGAH SIN MIN (P), SUNGAI PETANI",2.0,651,118,342,1,0,181,642,9,0,TAMAN KELADI ,UNDI BIASA
20,015/28/18,"SEKOLAH MENENGAH SIN MIN (P), SUNGAI PETANI",3.0,631,148,326,2,1,145,622,9,0,TAMAN KELADI ,UNDI BIASA
20,015/28/18,"SEKOLAH MENENGAH SIN MIN (P), SUNGAI PETANI",4.0,640,127,383,4,0,116,630,10,0,TAMAN KELADI ,UNDI BIASA
20,015/28/18,"SEKOLAH MENENGAH SIN MIN (P), SUNGAI PETANI",5.0,624,142,378,3,2,99,624,0,0,TAMAN KELADI ,UNDI BIASA
20,015/28/18,"SEKOLAH MENENGAH SIN MIN (P), SUNGAI PETANI",6.0,629,156,386,2,0,77,621,8,0,TAMAN KELADI ,UNDI BIASA
20,015/28/18,"SEKOLAH MENENGAH SIN MIN (P), SUNGAI PETANI",7.0,598,140,372,0,2,82,596,2,0,TAMAN KELADI ,UNDI BIASA
20,015/28/18,"SEKOLAH MENENGAH SIN MIN (P), SUNGAI PETANI",8.0,574,123,373,1,0,72,569,5,0,TAMAN KELADI ,UNDI BIASA
20,015/28/18,"SEKOLAH MENENGAH SIN MIN (P), SUNGAI PETANI",9.0,541,129,351,1,1,59,541,0,0,TAMAN KELADI ,UNDI BIASA
20,015/28/18,"SEKOLAH MENENGAH SIN MIN (P), SUNGAI PETANI",10.0,517,128,327,0,0,60,515,2,0,TAMAN KELADI ,UNDI BIASA
20,015/28/18,"SEKOLAH MENENGAH SIN MIN (P), SUNGAI PETANI",11.0,543,179,303,0,0,58,540,3,0,TAMAN KELADI ,UNDI BIASA
20,015/28/18,"SEKOLAH MENENGAH SIN MIN (P), SUNGAI PETANI",12.0,581,228,287,0,0,64,579,2,0,TAMAN KELADI ,UNDI BIASA
