Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZULHAZMI BIN OSMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SERI HJ MUKHRIZ TUN MAHATHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AMINUDDIN BIN OMAR (PAK TAM),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
20,006/06/18,"SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",4.0,415,98,266,51,415,0,0,TAMAN MAHSURI ,UNDI BIASA
20,006/06/18,"SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",5.0,473,110,315,48,473,0,0,TAMAN MAHSURI ,UNDI BIASA
21,006/06/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ANUM TUNKU ABDUL RAHMAN, JITRA",1.0,310,78,111,115,304,5,1,ALOR RAMBAI ,UNDI BIASA
21,006/06/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ANUM TUNKU ABDUL RAHMAN, JITRA",2.0,467,123,245,96,464,3,0,ALOR RAMBAI ,UNDI BIASA
21,006/06/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ANUM TUNKU ABDUL RAHMAN, JITRA",3.0,426,109,248,69,426,0,0,ALOR RAMBAI ,UNDI BIASA
22,006/06/20,"SEKOLAH KEBANGSAAN SERI BANAI, JITRA",1.0,290,79,79,109,267,23,0,LUBOK BATU ,UNDI BIASA
22,006/06/20,"SEKOLAH KEBANGSAAN SERI BANAI, JITRA",2.0,547,111,248,186,545,2,0,LUBOK BATU ,UNDI BIASA
22,006/06/20,"SEKOLAH KEBANGSAAN SERI BANAI, JITRA",3.0,513,133,290,90,513,0,0,LUBOK BATU ,UNDI BIASA
22,006/06/20,"SEKOLAH KEBANGSAAN SERI BANAI, JITRA",4.0,466,121,276,68,465,1,0,LUBOK BATU ,UNDI BIASA
22,006/06/20,"SEKOLAH KEBANGSAAN SERI BANAI, JITRA",5.0,453,103,289,61,453,0,0,LUBOK BATU ,UNDI BIASA
23,006/06/21,"SEKOLAH KEBANGSAAN BUKIT TINGGI, KEPALA BATAS",1.0,301,54,112,130,296,5,0,BUKIT TINGGI ,UNDI BIASA
23,006/06/21,"SEKOLAH KEBANGSAAN BUKIT TINGGI, KEPALA BATAS",2.0,492,107,266,114,487,5,0,BUKIT TINGGI ,UNDI BIASA
23,006/06/21,"SEKOLAH KEBANGSAAN BUKIT TINGGI, KEPALA BATAS",3.0,462,85,282,93,460,2,0,BUKIT TINGGI ,UNDI BIASA
24,006/06/22,"SEKOLAH KEBANGSAAN KEPALA BATAS, KEPALA BATAS",1.0,274,55,127,88,270,4,0,KEPALA BATAS ,UNDI BIASA
24,006/06/22,"SEKOLAH KEBANGSAAN KEPALA BATAS, KEPALA BATAS",2.0,548,139,278,122,539,8,1,KEPALA BATAS ,UNDI BIASA
24,006/06/22,"SEKOLAH KEBANGSAAN KEPALA BATAS, KEPALA BATAS",3.0,482,158,259,64,481,1,0,KEPALA BATAS ,UNDI BIASA
