Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) UST FIRDAUS JAAFAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AHMAD FATAHI BIN OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' DR MOHD HAYATI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
20,011/18/18,"SEKOLAH KEBANGSAAN KAMPUNG CHEGAR, PENDANG",3.0,534,104,98,326,528,6,0,GAJAH MATI ,UNDI BIASA
20,011/18/18,"SEKOLAH KEBANGSAAN KAMPUNG CHEGAR, PENDANG",4.0,502,97,99,299,495,7,0,GAJAH MATI ,UNDI BIASA
21,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",1.0,303,52,91,155,298,5,0,MANGGOL PETAI ,UNDI BIASA
21,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",2.0,522,126,133,256,515,7,0,MANGGOL PETAI ,UNDI BIASA
21,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",3.0,485,133,86,264,483,2,0,MANGGOL PETAI ,UNDI BIASA
21,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",4.0,447,137,86,218,441,6,0,MANGGOL PETAI ,UNDI BIASA
21,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",5.0,436,143,68,224,435,1,0,MANGGOL PETAI ,UNDI BIASA
21,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",6.0,449,121,79,245,445,4,0,MANGGOL PETAI ,UNDI BIASA
22,011/18/20,"SEKOLAH KEBANGSAAN PENDANG, PENDANG",1.0,300,31,84,173,288,12,0,PAYA KELUBI ,UNDI BIASA
22,011/18/20,"SEKOLAH KEBANGSAAN PENDANG, PENDANG",2.0,546,75,105,363,543,3,0,PAYA KELUBI ,UNDI BIASA
22,011/18/20,"SEKOLAH KEBANGSAAN PENDANG, PENDANG",3.0,484,71,46,360,477,7,0,PAYA KELUBI ,UNDI BIASA
23,011/18/21,"SEKOLAH KEBANGSAAN AYER PUTEH, KAMPUNG TEMPOYAK",1.0,306,20,98,178,296,10,0,BATU MANUNGGUL ,UNDI BIASA
23,011/18/21,"SEKOLAH KEBANGSAAN AYER PUTEH, KAMPUNG TEMPOYAK",2.0,465,54,154,247,455,10,0,BATU MANUNGGUL ,UNDI BIASA
23,011/18/21,"SEKOLAH KEBANGSAAN AYER PUTEH, KAMPUNG TEMPOYAK",3.0,410,74,83,251,408,2,0,BATU MANUNGGUL ,UNDI BIASA
23,011/18/21,"SEKOLAH KEBANGSAAN AYER PUTEH, KAMPUNG TEMPOYAK",4.0,388,70,73,242,385,3,0,BATU MANUNGGUL ,UNDI BIASA
