Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ DR. AHMAD FAKHRUDDIN BIN FAKHRURAZI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABDUL HALIM BIN SAID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' DR. ISMAIL SALLEH Jumlah undian DATO' DR. ISMAIL SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
12,010/17/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL AZIZ, SIMPANG EMPAT",3.0,518,207,145,164,516,2,0,SELARONG PANJANG ,UNDI BIASA
12,010/17/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL AZIZ, SIMPANG EMPAT",4.0,467,170,129,167,466,1,0,SELARONG PANJANG ,UNDI BIASA
13,010/17/11,"SEKOLAH KEBANGSAAN KANGKONG, SIMPANG EMPAT",1.0,310,160,116,26,302,8,0,PERMATANG IBUS ,UNDI BIASA
13,010/17/11,"SEKOLAH KEBANGSAAN KANGKONG, SIMPANG EMPAT",2.0,429,253,104,67,424,5,0,PERMATANG IBUS ,UNDI BIASA
13,010/17/11,"SEKOLAH KEBANGSAAN KANGKONG, SIMPANG EMPAT",3.0,422,268,89,62,419,3,0,PERMATANG IBUS ,UNDI BIASA
14,010/17/12,"SEKOLAH KEBANGSAAN SRI MAHAWANGSA, KUALA SALA",1.0,285,92,149,35,276,9,0,KUALA SALA ,UNDI BIASA
14,010/17/12,"SEKOLAH KEBANGSAAN SRI MAHAWANGSA, KUALA SALA",2.0,527,200,204,118,522,5,0,KUALA SALA ,UNDI BIASA
14,010/17/12,"SEKOLAH KEBANGSAAN SRI MAHAWANGSA, KUALA SALA",3.0,466,169,137,158,464,2,0,KUALA SALA ,UNDI BIASA
14,010/17/12,"SEKOLAH KEBANGSAAN SRI MAHAWANGSA, KUALA SALA",4.0,459,170,153,135,458,1,0,KUALA SALA ,UNDI BIASA
15,010/17/13,"SEKOLAH KEBANGSAAN KAMPUNG JAWA, KOTA SARANG SEMUT",1.0,307,202,49,52,303,4,0,SALA KECHIL ,UNDI BIASA
15,010/17/13,"SEKOLAH KEBANGSAAN KAMPUNG JAWA, KOTA SARANG SEMUT",2.0,448,306,54,86,446,2,0,SALA KECHIL ,UNDI BIASA
16,010/17/14,"SEKOLAH MENENGAH AGAMA IHYA UL-ULUM AD DINIAH, SIMPANG EMPAT",1.0,567,281,124,160,565,2,0,SELARONG BATANG ,UNDI BIASA
17,010/17/15,"SEKOLAH KEBANGSAAN BULUH LIMA, KOTA SARANG SEMUT",1.0,293,129,89,73,291,1,1,BULOH LIMA ,UNDI BIASA
17,010/17/15,"SEKOLAH KEBANGSAAN BULUH LIMA, KOTA SARANG SEMUT",2.0,492,254,105,131,490,2,0,BULOH LIMA ,UNDI BIASA
18,010/17/16,"SEKOLAH MENENGAH KEBANGSAAN MUADZAM SHAH, KOTA SARANG SEMUT",1.0,262,58,60,137,255,7,0,TAMAN IMPIAN ,UNDI BIASA
18,010/17/16,"SEKOLAH MENENGAH KEBANGSAAN MUADZAM SHAH, KOTA SARANG SEMUT",2.0,548,172,109,261,542,6,0,TAMAN IMPIAN ,UNDI BIASA
18,010/17/16,"SEKOLAH MENENGAH KEBANGSAAN MUADZAM SHAH, KOTA SARANG SEMUT",3.0,465,207,66,187,460,5,0,TAMAN IMPIAN ,UNDI BIASA
19,010/17/17,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN SIN, KOTA SARANG SEMUT",1.0,284,56,60,166,282,2,0,KOTA SARANG SEMUT ,UNDI BIASA
19,010/17/17,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN SIN, KOTA SARANG SEMUT",2.0,388,74,67,246,387,1,0,KOTA SARANG SEMUT ,UNDI BIASA
19,010/17/17,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN SIN, KOTA SARANG SEMUT",3.0,376,141,36,199,376,0,0,KOTA SARANG SEMUT ,UNDI BIASA
