Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ TARMIZI SULAIMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR MANSOR BIN ABD RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AZLI CHE UDA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
31,013/24/14,"SEKOLAH KEBANGSAAN HAJI HUSSAIN, KAMPUNG TUPAI",2.0,495,271,163,55,489,6,0,TUPAI ,UNDI BIASA
31,013/24/14,"SEKOLAH KEBANGSAAN HAJI HUSSAIN, KAMPUNG TUPAI",3.0,454,261,129,60,450,4,0,TUPAI ,UNDI BIASA
31,013/24/14,"SEKOLAH KEBANGSAAN HAJI HUSSAIN, KAMPUNG TUPAI",4.0,446,285,91,70,446,0,0,TUPAI ,UNDI BIASA
32,013/24/15,"SEKOLAH KEBANGSAAN TELOI TIMUR, FELDA TELOI TIMUR",1.0,309,37,244,17,298,11,0,FELDA TELUI TIMOR ,UNDI BIASA
32,013/24/15,"SEKOLAH KEBANGSAAN TELOI TIMUR, FELDA TELOI TIMUR",2.0,649,81,512,44,637,12,0,FELDA TELUI TIMOR ,UNDI BIASA
32,013/24/15,"SEKOLAH KEBANGSAAN TELOI TIMUR, FELDA TELOI TIMUR",3.0,569,187,258,119,564,5,0,FELDA TELUI TIMOR ,UNDI BIASA
32,013/24/15,"SEKOLAH KEBANGSAAN TELOI TIMUR, FELDA TELOI TIMUR",4.0,557,163,259,127,549,8,0,FELDA TELUI TIMOR ,UNDI BIASA
32,013/24/15,"SEKOLAH KEBANGSAAN TELOI TIMUR, FELDA TELOI TIMUR",5.0,540,160,266,109,535,5,0,FELDA TELUI TIMOR ,UNDI BIASA
33,013/24/16,"SEKOLAH KEBANGSAAN BANDAR BARU BERIS JAYA, JENIANG",1.0,328,166,130,18,314,14,0,BERIS JAYA ,UNDI BIASA
33,013/24/16,"SEKOLAH KEBANGSAAN BANDAR BARU BERIS JAYA, JENIANG",2.0,466,251,174,35,460,6,0,BERIS JAYA ,UNDI BIASA
33,013/24/16,"SEKOLAH KEBANGSAAN BANDAR BARU BERIS JAYA, JENIANG",3.0,400,227,124,44,395,4,1,BERIS JAYA ,UNDI BIASA
33,013/24/16,"SEKOLAH KEBANGSAAN BANDAR BARU BERIS JAYA, JENIANG",4.0,426,230,141,54,425,1,0,BERIS JAYA ,UNDI BIASA
