Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR. MOHAMMAD NAWAR BIN ARIFFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DZAHER AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WAN ROMANI WAN SALIM WAN ROMANI WAN SALIM Jumlah undian,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
7,008/10/05,"SEKOLAH MENENGAH KEBANGSAAN HUTAN KAMPONG, ALOR SETAR",1.0,290,64,71,149,284,6,0,HUTAN KAMPUNG ,UNDI BIASA
7,008/10/05,"SEKOLAH MENENGAH KEBANGSAAN HUTAN KAMPONG, ALOR SETAR",2.0,528,116,178,231,525,3,0,HUTAN KAMPUNG ,UNDI BIASA
7,008/10/05,"SEKOLAH MENENGAH KEBANGSAAN HUTAN KAMPONG, ALOR SETAR",3.0,467,82,141,242,465,2,0,HUTAN KAMPUNG ,UNDI BIASA
7,008/10/05,"SEKOLAH MENENGAH KEBANGSAAN HUTAN KAMPONG, ALOR SETAR",4.0,428,49,183,196,428,0,0,HUTAN KAMPUNG ,UNDI BIASA
7,008/10/05,"SEKOLAH MENENGAH KEBANGSAAN HUTAN KAMPONG, ALOR SETAR",5.0,444,54,201,187,442,2,0,HUTAN KAMPUNG ,UNDI BIASA
8,008/10/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' SYED OMAR, ALOR SETAR",1.0,257,74,139,39,252,5,0,TAMAN BAYU ,UNDI BIASA
8,008/10/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' SYED OMAR, ALOR SETAR",2.0,602,109,360,132,601,1,0,TAMAN BAYU ,UNDI BIASA
8,008/10/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' SYED OMAR, ALOR SETAR",3.0,497,77,299,121,497,0,0,TAMAN BAYU ,UNDI BIASA
8,008/10/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' SYED OMAR, ALOR SETAR",4.0,512,64,319,128,511,1,0,TAMAN BAYU ,UNDI BIASA
9,008/10/07,"SEKOLAH KEBANGSAAN BOHOR, HUTAN KAMPUNG",1.0,308,122,62,120,304,4,0,KAMPUNG BOHOR ,UNDI BIASA
