Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) OTHMAN BIN ABDUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ. AWANG SOLAHUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WAN SAIFUL WAN JAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) PENGHULU MALIK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
19,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",1.0,304,78,202,17,0,297,7,0,GUAR KEPAYANG ,UNDI BIASA
19,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",2.0,517,119,356,38,1,514,3,0,GUAR KEPAYANG ,UNDI BIASA
19,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",3.0,485,106,324,52,0,482,3,0,GUAR KEPAYANG ,UNDI BIASA
19,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",4.0,459,112,286,58,0,456,3,0,GUAR KEPAYANG ,UNDI BIASA
19,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",5.0,449,88,296,63,1,448,1,0,GUAR KEPAYANG ,UNDI BIASA
20,011/18/17,"SEKOLAH KEBANGSAAN CHAROK KUDONG, PENDANG",1.0,319,130,164,20,1,315,4,0,CHEROK KUDONG ,UNDI BIASA
20,011/18/17,"SEKOLAH KEBANGSAAN CHAROK KUDONG, PENDANG",2.0,461,130,279,48,1,458,3,0,CHEROK KUDONG ,UNDI BIASA
20,011/18/17,"SEKOLAH KEBANGSAAN CHAROK KUDONG, PENDANG",3.0,407,126,228,47,0,401,6,0,CHEROK KUDONG ,UNDI BIASA
21,011/18/18,"SEKOLAH KEBANGSAAN KAMPUNG CHEGAR, PENDANG",1.0,290,86,174,24,0,284,6,0,GAJAH MATI ,UNDI BIASA
21,011/18/18,"SEKOLAH KEBANGSAAN KAMPUNG CHEGAR, PENDANG",2.0,577,167,313,91,1,572,5,0,GAJAH MATI ,UNDI BIASA
21,011/18/18,"SEKOLAH KEBANGSAAN KAMPUNG CHEGAR, PENDANG",3.0,534,111,308,112,1,532,2,0,GAJAH MATI ,UNDI BIASA
21,011/18/18,"SEKOLAH KEBANGSAAN KAMPUNG CHEGAR, PENDANG",4.0,502,109,278,105,0,492,10,0,GAJAH MATI ,UNDI BIASA
22,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",1.0,303,92,155,51,1,299,4,0,MANGGOL PETAI ,UNDI BIASA
22,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",2.0,522,142,253,121,1,517,5,0,MANGGOL PETAI ,UNDI BIASA
