Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KARUPAIYA MUTUSAMI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHAMAD SOBRI BIN OSMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' DR. LEONG YONG KONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
28,017/34/04,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HENRIETTA, PADANG SERAI",2.0,588,288,154,140,582,6,0,HENRIETTA ,UNDI BIASA
28,017/34/04,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HENRIETTA, PADANG SERAI",3.0,563,260,214,86,560,3,0,HENRIETTA ,UNDI BIASA
28,017/34/04,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HENRIETTA, PADANG SERAI",4.0,500,284,146,68,498,2,0,HENRIETTA ,UNDI BIASA
28,017/34/04,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HENRIETTA, PADANG SERAI",5.0,512,214,226,70,510,0,2,HENRIETTA ,UNDI BIASA
29,017/34/05,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG VICTORIA, PADANG SERAI",1.0,282,166,9,99,274,8,0,VICTORIA ,UNDI BIASA
29,017/34/05,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG VICTORIA, PADANG SERAI",2.0,416,272,10,127,409,7,0,VICTORIA ,UNDI BIASA
29,017/34/05,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG VICTORIA, PADANG SERAI",3.0,384,319,14,46,379,5,0,VICTORIA ,UNDI BIASA
30,017/34/06,"SEKOLAH KEBANGSAAN PERMATANG TOK DIK, PADANG SERAI",1.0,272,40,132,93,265,7,0,NAGA LILIT ,UNDI BIASA
30,017/34/06,"SEKOLAH KEBANGSAAN PERMATANG TOK DIK, PADANG SERAI",2.0,467,65,269,128,462,5,0,NAGA LILIT ,UNDI BIASA
30,017/34/06,"SEKOLAH KEBANGSAAN PERMATANG TOK DIK, PADANG SERAI",3.0,432,83,252,92,427,5,0,NAGA LILIT ,UNDI BIASA
30,017/34/06,"SEKOLAH KEBANGSAAN PERMATANG TOK DIK, PADANG SERAI",4.0,395,67,236,91,394,1,0,NAGA LILIT ,UNDI BIASA
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG,LUNAS",1.0,263,75,81,92,248,15,0,SUNGAI SELUANG ,UNDI BIASA
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG,LUNAS",2.0,548,181,190,165,536,7,5,SUNGAI SELUANG ,UNDI BIASA
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG,LUNAS",3.0,547,210,208,125,543,4,0,SUNGAI SELUANG ,UNDI BIASA
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG,LUNAS",4.0,536,233,202,97,532,4,0,SUNGAI SELUANG ,UNDI BIASA
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG,LUNAS",5.0,515,267,169,78,514,1,0,SUNGAI SELUANG ,UNDI BIASA
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG,LUNAS",6.0,483,252,168,62,482,1,0,SUNGAI SELUANG ,UNDI BIASA
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG,LUNAS",7.0,474,237,180,57,474,0,0,SUNGAI SELUANG ,UNDI BIASA
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG,LUNAS",8.0,483,207,207,68,482,1,0,SUNGAI SELUANG ,UNDI BIASA
32,017/34/08,"SEKOLAH MENENGAH KEBANGSAAN LUNAS,JALAN PADANG SERAI",1.0,292,196,24,68,288,4,0,BATU ENAM ,UNDI BIASA
32,017/34/08,"SEKOLAH MENENGAH KEBANGSAAN LUNAS,JALAN PADANG SERAI",2.0,538,359,86,90,535,3,0,BATU ENAM ,UNDI BIASA
32,017/34/08,"SEKOLAH MENENGAH KEBANGSAAN LUNAS,JALAN PADANG SERAI",3.0,527,335,126,62,523,4,0,BATU ENAM ,UNDI BIASA
32,017/34/08,"SEKOLAH MENENGAH KEBANGSAAN LUNAS,JALAN PADANG SERAI",4.0,488,278,153,55,486,2,0,BATU ENAM ,UNDI BIASA
33,017/34/09,"SEKOLAH KEBANGSAAN LUNAS JAYA,LUNAS",1.0,301,250,7,40,297,4,0,KAMPUNG BARU LUNAS ,UNDI BIASA
33,017/34/09,"SEKOLAH KEBANGSAAN LUNAS JAYA,LUNAS",2.0,568,415,104,48,567,1,0,KAMPUNG BARU LUNAS ,UNDI BIASA
34,017/34/10,"SEKOLAH JENIS KEBANGSAAN (CINA) HWA MIN, LUNAS",1.0,274,205,14,48,267,7,0,PEKAN LUNAS ,UNDI BIASA
34,017/34/10,"SEKOLAH JENIS KEBANGSAAN (CINA) HWA MIN, LUNAS",2.0,480,350,50,78,478,2,0,PEKAN LUNAS ,UNDI BIASA
34,017/34/10,"SEKOLAH JENIS KEBANGSAAN (CINA) HWA MIN, LUNAS",3.0,462,331,75,56,462,0,0,PEKAN LUNAS ,UNDI BIASA
35,017/34/11,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",1.0,276,135,46,90,271,5,0,TAMAN SEJAHTERA ,UNDI BIASA
35,017/34/11,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",2.0,482,314,84,82,480,2,0,TAMAN SEJAHTERA ,UNDI BIASA
35,017/34/11,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",3.0,470,307,106,57,470,0,0,TAMAN SEJAHTERA ,UNDI BIASA
35,017/34/11,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",4.0,426,250,124,52,426,0,0,TAMAN SEJAHTERA ,UNDI BIASA
35,017/34/11,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",5.0,422,242,140,39,421,1,0,TAMAN SEJAHTERA ,UNDI BIASA
36,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",1.0,290,172,31,81,284,6,0,PAYA BESAR ,UNDI BIASA
36,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",2.0,562,350,82,116,548,13,1,PAYA BESAR ,UNDI BIASA
36,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",3.0,551,356,103,87,546,5,0,PAYA BESAR ,UNDI BIASA
36,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",4.0,521,363,89,63,515,6,0,PAYA BESAR ,UNDI BIASA
36,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",5.0,493,333,92,63,488,5,0,PAYA BESAR ,UNDI BIASA
36,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",6.0,454,320,92,41,453,1,0,PAYA BESAR ,UNDI BIASA
36,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",7.0,485,286,150,45,481,4,0,PAYA BESAR ,UNDI BIASA
