Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD TAJUDIN BIN ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU RASHID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ MOHD ISA B. SHAFIE Jumlah undian USTAZ MOHD ISA B. SHAFIE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
10,013/23/08,"SEKOLAH KEBANGSAAN SIK DALAM, SIK",1.0,309,138,12,157,307,2,0,DURIAN BURONG ,UNDI BIASA
10,013/23/08,"SEKOLAH KEBANGSAAN SIK DALAM, SIK",2.0,517,179,42,292,513,3,1,DURIAN BURONG ,UNDI BIASA
11,013/23/09,"KOLEJ KEDA, SIK",1.0,309,132,31,126,289,20,0,CHAROK KIT ,UNDI BIASA
11,013/23/09,"KOLEJ KEDA, SIK",2.0,403,125,44,232,401,2,0,CHAROK KIT ,UNDI BIASA
11,013/23/09,"KOLEJ KEDA, SIK",3.0,366,132,47,185,364,2,0,CHAROK KIT ,UNDI BIASA
12,013/23/10,"SEKOLAH MENENGAH KEBANGSAAN SIK, SIK",1.0,272,113,29,125,267,5,0,KAMPUNG DUSUN ,UNDI BIASA
12,013/23/10,"SEKOLAH MENENGAH KEBANGSAAN SIK, SIK",2.0,578,179,84,314,577,1,0,KAMPUNG DUSUN ,UNDI BIASA
13,013/23/11,"SEKOLAH KEBANGSAAN SIK, SIK",1.0,275,105,100,70,275,0,0,PEKAN SIK ,UNDI BIASA
13,013/23/11,"SEKOLAH KEBANGSAAN SIK, SIK",2.0,473,169,158,140,467,6,0,PEKAN SIK ,UNDI BIASA
14,013/23/12,"SEKOLAH JENIS KEBANGSAAN  (CINA ) CHUNG HWA, SIK",1.0,304,125,22,148,295,8,1,KAMPUNG SADU ,UNDI BIASA
14,013/23/12,"SEKOLAH JENIS KEBANGSAAN  (CINA ) CHUNG HWA, SIK",2.0,594,173,79,339,591,3,0,KAMPUNG SADU ,UNDI BIASA
15,013/23/13,"SEKOLAH KEBANGSAAN SERI DUSUN, SIK",1.0,311,154,11,136,301,10,0,KAMPUNG NAMEK ,UNDI BIASA
15,013/23/13,"SEKOLAH KEBANGSAAN SERI DUSUN, SIK",2.0,618,256,49,304,609,8,1,KAMPUNG NAMEK ,UNDI BIASA
15,013/23/13,"SEKOLAH KEBANGSAAN SERI DUSUN, SIK",3.0,573,187,58,323,568,5,0,KAMPUNG NAMEK ,UNDI BIASA
16,013/23/14,MAKTAB MAHMUD SIK,1.0,285,142,27,110,279,6,0,KAMPUNG KEMELONG ,UNDI BIASA
16,013/23/14,MAKTAB MAHMUD SIK,2.0,615,257,84,267,608,7,0,KAMPUNG KEMELONG ,UNDI BIASA
16,013/23/14,MAKTAB MAHMUD SIK,3.0,575,187,75,309,571,4,0,KAMPUNG KEMELONG ,UNDI BIASA
16,013/23/14,MAKTAB MAHMUD SIK,4.0,548,169,96,279,544,4,0,KAMPUNG KEMELONG ,UNDI BIASA
