Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR ROBERT LING,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIK GU HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TAN KOK SEONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NUR HIDAYAH FOO,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
10,015/29/09,"INSTITUT PENDIDIKAN GURU KAMPUS SULTAN ABDUL HALIM, SUNGAI PETANI",1.0,243,191,0,36,11,238,5,0,TAMAN SUTERA ,UNDI BIASA
10,015/29/09,"INSTITUT PENDIDIKAN GURU KAMPUS SULTAN ABDUL HALIM, SUNGAI PETANI",2.0,486,375,2,75,34,486,0,0,TAMAN SUTERA ,UNDI BIASA
10,015/29/09,"INSTITUT PENDIDIKAN GURU KAMPUS SULTAN ABDUL HALIM, SUNGAI PETANI",3.0,466,335,2,66,57,460,6,0,TAMAN SUTERA ,UNDI BIASA
10,015/29/09,"INSTITUT PENDIDIKAN GURU KAMPUS SULTAN ABDUL HALIM, SUNGAI PETANI",4.0,421,275,1,51,91,418,3,0,TAMAN SUTERA ,UNDI BIASA
11,015/29/10,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN TERK, BATU DUA, SUNGAI PETANI",1.0,265,149,0,81,31,261,4,0,SERI IMPIAN ,UNDI BIASA
11,015/29/10,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN TERK, BATU DUA, SUNGAI PETANI",2.0,557,329,4,149,70,552,5,0,SERI IMPIAN ,UNDI BIASA
11,015/29/10,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN TERK, BATU DUA, SUNGAI PETANI",3.0,569,351,1,119,94,565,4,0,SERI IMPIAN ,UNDI BIASA
11,015/29/10,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN TERK, BATU DUA, SUNGAI PETANI",4.0,525,339,1,88,97,525,0,0,SERI IMPIAN ,UNDI BIASA
11,015/29/10,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN TERK, BATU DUA, SUNGAI PETANI",5.0,507,303,2,91,108,504,3,0,SERI IMPIAN ,UNDI BIASA
11,015/29/10,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN TERK, BATU DUA, SUNGAI PETANI",6.0,477,303,0,71,103,477,0,0,SERI IMPIAN ,UNDI BIASA
12,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",1.0,261,150,0,71,31,252,9,0,PUTERI JAYA ,UNDI BIASA
12,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",2.0,630,363,2,163,99,627,3,0,PUTERI JAYA ,UNDI BIASA
12,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",3.0,639,323,0,124,190,637,2,0,PUTERI JAYA ,UNDI BIASA
12,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",4.0,597,330,1,68,195,594,3,0,PUTERI JAYA ,UNDI BIASA
12,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",5.0,561,344,5,87,122,558,3,0,PUTERI JAYA ,UNDI BIASA
12,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",6.0,517,324,1,66,126,517,0,0,PUTERI JAYA ,UNDI BIASA
12,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",7.0,549,268,0,79,201,548,1,0,PUTERI JAYA ,UNDI BIASA
13,015/29/12,"SEKOLAH KEBANGSAAN SERI PINANG, SUNGAI PETANI",1.0,280,98,1,135,33,267,13,0,KAMPUNG SARUKAM ,UNDI BIASA
13,015/29/12,"SEKOLAH KEBANGSAAN SERI PINANG, SUNGAI PETANI",2.0,321,56,0,142,119,317,4,0,KAMPUNG SARUKAM ,UNDI BIASA
14,015/29/13,"SEKOLAH KEBANGSAAN PANTAI PRAI, PADANG SERAI",1.0,298,57,0,110,118,285,13,0,PANTAI PRAI ,UNDI BIASA
14,015/29/13,"SEKOLAH KEBANGSAAN PANTAI PRAI, PADANG SERAI",2.0,568,98,1,130,333,562,6,0,PANTAI PRAI ,UNDI BIASA
