Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ASMADI ABU TALIB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' USTAZAH SITI ASHAH BINTI GHAZALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
8,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",4.0,426,131,183,112,426,0,0,BAGAN SENA ,UNDI BIASA
8,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",5.0,440,124,218,95,437,3,0,BAGAN SENA ,UNDI BIASA
9,017/33/07,"SEKOLAH JENIS KEBANGSAAN (CINA) HUA MIN, PEKAN SUNGAI KARANGAN",1.0,283,102,34,141,277,6,0,SUNGAI KARANGAN ,UNDI BIASA
9,017/33/07,"SEKOLAH JENIS KEBANGSAAN (CINA) HUA MIN, PEKAN SUNGAI KARANGAN",2.0,473,146,111,203,460,13,0,SUNGAI KARANGAN ,UNDI BIASA
9,017/33/07,"SEKOLAH JENIS KEBANGSAAN (CINA) HUA MIN, PEKAN SUNGAI KARANGAN",3.0,445,112,100,232,444,1,0,SUNGAI KARANGAN ,UNDI BIASA
9,017/33/07,"SEKOLAH JENIS KEBANGSAAN (CINA) HUA MIN, PEKAN SUNGAI KARANGAN",4.0,416,94,119,201,414,2,0,SUNGAI KARANGAN ,UNDI BIASA
10,017/33/08,"SEKOLAH KEBANGSAAN BUKIT SELARONG, PADANG SERAI",1.0,285,135,54,85,274,11,0,PADANG MEIHA ,UNDI BIASA
10,017/33/08,"SEKOLAH KEBANGSAAN BUKIT SELARONG, PADANG SERAI",2.0,524,150,194,173,517,7,0,PADANG MEIHA ,UNDI BIASA
10,017/33/08,"SEKOLAH KEBANGSAAN BUKIT SELARONG, PADANG SERAI",3.0,470,91,196,183,470,0,0,PADANG MEIHA ,UNDI BIASA
11,017/33/09,"SEKOLAH KEBANGSAAN SUNGAI KARANGAN, PADANG SERAI",1.0,483,150,122,192,464,19,0,LADANG PADANG MEIHA ,UNDI BIASA
12,017/33/10,"SEKOLAH KEBANGSAAN PAGAR MUSEH, KARANGAN",1.0,284,122,89,64,275,9,0,BATU PUTEH ,UNDI BIASA
12,017/33/10,"SEKOLAH KEBANGSAAN PAGAR MUSEH, KARANGAN",2.0,579,184,258,123,565,11,3,BATU PUTEH ,UNDI BIASA
13,017/33/11,"SEKOLAH KEBANGSAAN LADANG BUKIT SIDIM, KULIM",1.0,331,154,48,116,318,13,0,BUKIT SEDIM ,UNDI BIASA
14,017/33/12,"SEKOLAH MENENGAH KEBANGSAAN LABU BESAR, PEKAN LABU BESAR",1.0,281,143,97,23,263,18,0,KAMPUNG BIKAN ,UNDI BIASA
