Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR. CHEAH SOON HAI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TUAN HAJI YAHYA SAAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TAN KOK YEW,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
10,008/11/08,"SEKOLAH JENIS KEBANGSAAN (CINA) KEE CHEE, JALAN LANGGAR",1.0,258,87,9,156,252,6,0,JALAN SHERIFF ,UNDI BIASA
10,008/11/08,"SEKOLAH JENIS KEBANGSAAN (CINA) KEE CHEE, JALAN LANGGAR",2.0,508,138,21,348,507,1,0,JALAN SHERIFF ,UNDI BIASA
10,008/11/08,"SEKOLAH JENIS KEBANGSAAN (CINA) KEE CHEE, JALAN LANGGAR",3.0,479,90,42,347,479,0,0,JALAN SHERIFF ,UNDI BIASA
10,008/11/08,"SEKOLAH JENIS KEBANGSAAN (CINA) KEE CHEE, JALAN LANGGAR",4.0,471,76,64,328,468,3,0,JALAN SHERIFF ,UNDI BIASA
11,008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",1.0,256,91,40,120,251,5,0,ALOR SEGAMAT ,UNDI BIASA
11,008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",2.0,512,168,81,260,509,3,0,ALOR SEGAMAT ,UNDI BIASA
11,008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",3.0,461,109,96,251,456,3,2,ALOR SEGAMAT ,UNDI BIASA
11,008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",4.0,413,57,131,224,412,0,1,ALOR SEGAMAT ,UNDI BIASA
11,008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",5.0,458,66,154,237,457,1,0,ALOR SEGAMAT ,UNDI BIASA
12,008/11/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SOFIAH, JALAN LANGGAR",1.0,269,58,87,119,264,5,0,TAMAN MEWAH ,UNDI BIASA
