Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD SABRI BIN OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AHMAD BASHAH BIN MD HANIPAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZAMRI YUSUF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
10,009/12/09,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH",2.0,462,69,115,267,451,11,0,GUNONG SALI ,UNDI BIASA
10,009/12/09,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH",3.0,453,87,113,250,450,3,0,GUNONG SALI ,UNDI BIASA
10,009/12/09,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH",4.0,413,67,105,240,412,1,0,GUNONG SALI ,UNDI BIASA
10,009/12/09,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH",5.0,411,118,73,217,408,3,0,GUNONG SALI ,UNDI BIASA
11,009/12/10,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG CHUAN, MERGONG",1.0,256,22,69,158,249,7,0,KAMPUNG BERJAYA ,UNDI BIASA
11,009/12/10,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG CHUAN, MERGONG",2.0,521,63,120,337,520,1,0,KAMPUNG BERJAYA ,UNDI BIASA
11,009/12/10,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG CHUAN, MERGONG",3.0,476,82,93,299,474,2,0,KAMPUNG BERJAYA ,UNDI BIASA
12,009/12/11,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG CHUAN, MERGONG",4.0,278,17,62,191,270,8,0,TELOK YAN ,UNDI BIASA
12,009/12/11,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG CHUAN, MERGONG",5.0,322,28,60,233,321,1,0,TELOK YAN ,UNDI BIASA
12,009/12/11,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG CHUAN, MERGONG",6.0,289,29,56,204,289,0,0,TELOK YAN ,UNDI BIASA
13,009/12/12,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",1.0,274,58,105,103,266,8,0,KAMPUNG SEBERANG TERUS ,UNDI BIASA
13,009/12/12,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",2.0,415,86,134,192,412,3,0,KAMPUNG SEBERANG TERUS ,UNDI BIASA
13,009/12/12,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",3.0,364,113,101,150,364,0,0,KAMPUNG SEBERANG TERUS ,UNDI BIASA
14,009/12/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",4.0,278,56,92,117,265,13,0,TAMAN RAKYAT MERGONG ,UNDI BIASA
14,009/12/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",5.0,531,77,123,322,522,9,0,TAMAN RAKYAT MERGONG ,UNDI BIASA
14,009/12/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",6.0,504,85,132,282,499,4,1,TAMAN RAKYAT MERGONG ,UNDI BIASA
14,009/12/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",7.0,445,113,89,241,443,2,0,TAMAN RAKYAT MERGONG ,UNDI BIASA
14,009/12/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",8.0,476,142,84,249,475,1,0,TAMAN RAKYAT MERGONG ,UNDI BIASA
15,009/12/14,"SEKOLAH KEBANGSAAN MERGONG, MERGONG",1.0,278,42,115,104,261,17,0,KAMPUNG BATIN ,UNDI BIASA
15,009/12/14,"SEKOLAH KEBANGSAAN MERGONG, MERGONG",2.0,627,115,242,263,620,7,0,KAMPUNG BATIN ,UNDI BIASA
15,009/12/14,"SEKOLAH KEBANGSAAN MERGONG, MERGONG",3.0,601,88,202,304,594,7,0,KAMPUNG BATIN ,UNDI BIASA
15,009/12/14,"SEKOLAH KEBANGSAAN MERGONG, MERGONG",4.0,538,98,122,315,535,3,0,KAMPUNG BATIN ,UNDI BIASA
15,009/12/14,"SEKOLAH KEBANGSAAN MERGONG, MERGONG",5.0,577,143,120,312,575,2,0,KAMPUNG BATIN ,UNDI BIASA
16,009/12/15,"SEKOLAH MENENGAH KEBANGSAAN ALOR MERAH, ALOR SETAR",1.0,254,45,94,112,251,3,0,ALOR MERAH ,UNDI BIASA
16,009/12/15,"SEKOLAH MENENGAH KEBANGSAAN ALOR MERAH, ALOR SETAR",2.0,471,93,117,256,466,5,0,ALOR MERAH ,UNDI BIASA
16,009/12/15,"SEKOLAH MENENGAH KEBANGSAAN ALOR MERAH, ALOR SETAR",3.0,421,117,71,233,421,0,0,ALOR MERAH ,UNDI BIASA
