Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' US NAJMI HJ AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU JOHARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HARUN AZIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
25,016/31/23,"SEKOLAH  KEBANGSAAN ULU BAKAI, MALAU",1.0,331,242,13,72,327,4,0,ULU BAKAI ,UNDI BIASA
25,016/31/23,"SEKOLAH  KEBANGSAAN ULU BAKAI, MALAU",2.0,393,289,14,90,393,0,0,ULU BAKAI ,UNDI BIASA
26,016/31/24,"SEKOLAH  KEBANGSAAN MALAU, KULIM",1.0,295,93,43,147,283,12,0,PEKAN MALAU ,UNDI BIASA
26,016/31/24,"SEKOLAH  KEBANGSAAN MALAU, KULIM",2.0,436,187,55,191,433,3,0,PEKAN MALAU ,UNDI BIASA
26,016/31/24,"SEKOLAH  KEBANGSAAN MALAU, KULIM",3.0,395,188,69,137,394,1,0,PEKAN MALAU ,UNDI BIASA
27,016/31/25,"SEKOLAH  KEBANGSAAN BADANG, KAMPUNG BADANG",1.0,313,121,32,146,299,14,0,BADANG ,UNDI BIASA
27,016/31/25,"SEKOLAH  KEBANGSAAN BADANG, KAMPUNG BADANG",2.0,594,269,69,246,584,10,0,BADANG ,UNDI BIASA
27,016/31/25,"SEKOLAH  KEBANGSAAN BADANG, KAMPUNG BADANG",3.0,548,283,64,198,545,3,0,BADANG ,UNDI BIASA
27,016/31/25,"SEKOLAH  KEBANGSAAN BADANG, KAMPUNG BADANG",4.0,518,275,68,167,510,7,1,BADANG ,UNDI BIASA
28,016/31/26,"SEKOLAH KEBANGSAAN BADANG, KAMPUNG BADANG",5.0,303,123,24,151,298,5,0,KAMPUNG SIDIM ,UNDI BIASA
28,016/31/26,"SEKOLAH KEBANGSAAN BADANG, KAMPUNG BADANG",6.0,456,198,70,183,451,5,0,KAMPUNG SIDIM ,UNDI BIASA
