Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MEJAR ANUAR BIN ABDUL HAMID (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TUAN HAJI ANNUAR BIN AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HANIF BIN GHAZALI Jumlah undian USTAZ HANIF BIN GHAZALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
9,014/26/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG CHENG, TANJONG DAWAI",3.0,429,177,174,76,427,2,0,TANJONG DAWAI ,UNDI BIASA
9,014/26/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG CHENG, TANJONG DAWAI",4.0,415,142,122,149,413,2,0,TANJONG DAWAI ,UNDI BIASA
10,014/26/08,"SEKOLAH KEBANGSAAN BATU HAMPAR BATU HAMPAR, KAMPUNG",1.0,288,25,110,138,273,15,0,BATU HAMPAR ,UNDI BIASA
10,014/26/08,"SEKOLAH KEBANGSAAN BATU HAMPAR BATU HAMPAR, KAMPUNG",2.0,448,80,171,190,441,7,0,BATU HAMPAR ,UNDI BIASA
10,014/26/08,"SEKOLAH KEBANGSAAN BATU HAMPAR BATU HAMPAR, KAMPUNG",3.0,423,64,117,240,421,2,0,BATU HAMPAR ,UNDI BIASA
10,014/26/08,"SEKOLAH KEBANGSAAN BATU HAMPAR BATU HAMPAR, KAMPUNG",4.0,409,95,77,233,405,4,0,BATU HAMPAR ,UNDI BIASA
11,014/26/09,"SEKOLAH KEBANGSAAN HAJI OMAR TAHIR, PENGKALAN BUJANG",1.0,312,33,161,106,300,12,0,PENGKALAN BUJANG ,UNDI BIASA
11,014/26/09,"SEKOLAH KEBANGSAAN HAJI OMAR TAHIR, PENGKALAN BUJANG",2.0,401,59,166,168,393,7,1,PENGKALAN BUJANG ,UNDI BIASA
11,014/26/09,"SEKOLAH KEBANGSAAN HAJI OMAR TAHIR, PENGKALAN BUJANG",3.0,365,59,131,173,363,2,0,PENGKALAN BUJANG ,UNDI BIASA
12,014/26/10,"SEKOLAH KEBANGSAAN SULTAN MUDZAFFAR SHAH, BUJANG",1.0,295,20,172,87,279,16,0,SUNGAI GELAM ,UNDI BIASA
12,014/26/10,"SEKOLAH KEBANGSAAN SULTAN MUDZAFFAR SHAH, BUJANG",2.0,551,76,247,217,540,11,0,SUNGAI GELAM ,UNDI BIASA
12,014/26/10,"SEKOLAH KEBANGSAAN SULTAN MUDZAFFAR SHAH, BUJANG",3.0,520,86,198,231,515,5,0,SUNGAI GELAM ,UNDI BIASA
13,014/26/11,"SEKOLAH AGAMA DARIS, SUNGAI JAGUNG",1.0,304,57,121,114,292,12,0,SUNGAI JAGONG ,UNDI BIASA
