Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MAHADZIR BIN ABDUL HAMID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD. NAZRI BIN ABU HASSAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHAMMAD SANUSI MD NOR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
5,013/24/03,"SEKOLAH KEBANGSAAN KG KOTA BUKIT, JENERI",3.0,461,131,120,204,455,5,1,KOTA BUKIT ,UNDI BIASA
5,013/24/03,"SEKOLAH KEBANGSAAN KG KOTA BUKIT, JENERI",4.0,448,142,139,163,444,4,0,KOTA BUKIT ,UNDI BIASA
6,013/24/04,"SEKOLAH KEBANGSAAN JENERI, KAMPUNG JENERI",1.0,294,114,13,166,293,1,0,KUALA JENERI ,UNDI BIASA
6,013/24/04,"SEKOLAH KEBANGSAAN JENERI, KAMPUNG JENERI",2.0,640,233,56,338,627,13,0,KUALA JENERI ,UNDI BIASA
6,013/24/04,"SEKOLAH KEBANGSAAN JENERI, KAMPUNG JENERI",3.0,604,183,47,365,595,7,2,KUALA JENERI ,UNDI BIASA
6,013/24/04,"SEKOLAH KEBANGSAAN JENERI, KAMPUNG JENERI",4.0,564,175,52,325,552,12,0,KUALA JENERI ,UNDI BIASA
6,013/24/04,"SEKOLAH KEBANGSAAN JENERI, KAMPUNG JENERI",5.0,523,143,53,324,520,2,1,KUALA JENERI ,UNDI BIASA
7,013/24/05,"SEKOLAH KEBANGSAAN KALAI, KAMPUNG KALAI",1.0,303,118,124,54,296,7,0,KAMPUNG KALAI ,UNDI BIASA
7,013/24/05,"SEKOLAH KEBANGSAAN KALAI, KAMPUNG KALAI",2.0,545,186,239,113,538,7,0,KAMPUNG KALAI ,UNDI BIASA
8,013/24/06,KLINIK KESIHATAN JENIANG,1.0,466,160,165,135,460,6,0,KAMPUNG KUALA BIGIA ,UNDI BIASA
9,013/24/07,"SEKOLAH KEBANGSAAN CHEMARA, KAMPUNG CHEMARA",1.0,298,77,51,164,292,6,0,KAMPUNG CHEMARA ,UNDI BIASA
9,013/24/07,"SEKOLAH KEBANGSAAN CHEMARA, KAMPUNG CHEMARA",2.0,349,64,74,211,349,0,0,KAMPUNG CHEMARA ,UNDI BIASA
