UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE SEX,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED),,,
P.134_N.01_134/01/06_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/06,PAYA MENGKUANG,SEKOLAH KEBANGSAAN SUNGAI TUANG,2,211,UMNO,ROSLI BIN ABDULLAH,MALE,53,52,PAN,USTAZ JULAS,MALE,52,134,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,20,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,2,,,,,,,,,,,208,3,0,1,1,,,
P.134_N.01_134/01/06_3,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/06,PAYA MENGKUANG,SEKOLAH KEBANGSAAN SUNGAI TUANG,3,238,UMNO,ROSLI BIN ABDULLAH,MALE,53,46,PAN,USTAZ JULAS,MALE,52,151,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,32,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,2,,,,,,,,,,,231,7,0,1,1,,,
P.134_N.01_134/01/06_4,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/06,PAYA MENGKUANG,SEKOLAH KEBANGSAAN SUNGAI TUANG,4,216,UMNO,ROSLI BIN ABDULLAH,MALE,53,62,PAN,USTAZ JULAS,MALE,52,124,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,26,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,0,,,,,,,,,,,212,4,0,1,1,,,
P.134_N.01_134/01/07_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/07,TELOK GONG,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,1,249,UMNO,ROSLI BIN ABDULLAH,MALE,53,169,PAN,USTAZ JULAS,MALE,52,37,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,35,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,1,,,,,,,,,,,242,7,0,1,1,,,
P.134_N.01_134/01/07_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/07,TELOK GONG,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,2,275,UMNO,ROSLI BIN ABDULLAH,MALE,53,153,PAN,USTAZ JULAS,MALE,52,60,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,55,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,1,,,,,,,,,,,269,6,0,1,1,,,
P.134_N.01_134/01/07_3,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/07,TELOK GONG,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,3,357,UMNO,ROSLI BIN ABDULLAH,MALE,53,204,PAN,USTAZ JULAS,MALE,52,51,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,95,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,2,,,,,,,,,,,352,5,0,1,1,,,
P.134_N.01_134/01/07_4,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/07,TELOK GONG,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,4,315,UMNO,ROSLI BIN ABDULLAH,MALE,53,177,PAN,USTAZ JULAS,MALE,52,29,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,104,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,2,,,,,,,,,,,312,3,0,1,1,,,
P.134_N.01_134/01/07_5,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/07,TELOK GONG,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,5,304,UMNO,ROSLI BIN ABDULLAH,MALE,53,165,PAN,USTAZ JULAS,MALE,52,43,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,90,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,0,,,,,,,,,,,298,6,0,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,x,x,,,,,x,,,,,,x,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
P.134_N.02_134/02/UNDI POS_1,MELAKA,POSTAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/UNDI POS,UNDI POS,UNDI POS,1,193,UMNO,DATUK SERI AB RAUF,MALE,60,49,PKR,ZAINAL BIN HASSAN,MALE,59,7,PPBM,MAS ERMIEYATI,FEMALE,45,101,,,,,,,,,,,,,,,,,,,,,157,12,24,1,1,,,
P.134_N.02_134/02/01_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/01,KAMPUNG PULAU,SEKOLAH KEBANGSAAN JERAM,1,245,UMNO,DATUK SERI AB RAUF,MALE,60,178,PKR,ZAINAL BIN HASSAN,MALE,59,16,PPBM,MAS ERMIEYATI,FEMALE,45,49,,,,,,,,,,,,,,,,,,,,,243,2,0,1,1,,,
P.134_N.02_134/02/01_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/01,KAMPUNG PULAU,SEKOLAH KEBANGSAAN JERAM,2,317,UMNO,DATUK SERI AB RAUF,MALE,60,184,PKR,ZAINAL BIN HASSAN,MALE,59,28,PPBM,MAS ERMIEYATI,FEMALE,45,105,,,,,,,,,,,,,,,,,,,,,317,0,0,1,1,,,
P.134_N.02_134/02/01_3,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/01,KAMPUNG PULAU,SEKOLAH KEBANGSAAN JERAM,3,293,UMNO,DATUK SERI AB RAUF,MALE,60,151,PKR,ZAINAL BIN HASSAN,MALE,59,19,PPBM,MAS ERMIEYATI,FEMALE,45,119,,,,,,,,,,,,,,,,,,,,,289,4,0,1,1,,,
P.134_N.02_134/02/02_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/02,LUBOK REDAN,SEKOLAH KEBANGSAAN LUBOK REDAN,1,275,UMNO,DATUK SERI AB RAUF,MALE,60,175,PKR,ZAINAL BIN HASSAN,MALE,59,26,PPBM,MAS ERMIEYATI,FEMALE,45,70,,,,,,,,,,,,,,,,,,,,,271,4,0,1,1,,,
P.134_N.02_134/02/02_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/02,LUBOK REDAN,SEKOLAH KEBANGSAAN LUBOK REDAN,2,383,UMNO,DATUK SERI AB RAUF,MALE,60,222,PKR,ZAINAL BIN HASSAN,MALE,59,37,PPBM,MAS ERMIEYATI,FEMALE,45,119,,,,,,,,,,,,,,,,,,,,,378,5,0,1,1,,,
P.134_N.02_134/02/02_3,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/02,LUBOK REDAN,SEKOLAH KEBANGSAAN LUBOK REDAN,3,333,UMNO,DATUK SERI AB RAUF,MALE,60,148,PKR,ZAINAL BIN HASSAN,MALE,59,29,PPBM,MAS ERMIEYATI,FEMALE,45,155,,,,,,,,,,,,,,,,,,,,,332,1,0,1,1,,,
P.134_N.02_134/02/03_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/03,SUNGAI BARU TENGAH,SEKOLAH MENENGAH KEBANGSAAN ADE PUTRA,1,225,UMNO,DATUK SERI AB RAUF,MALE,60,138,PKR,ZAINAL BIN HASSAN,MALE,59,11,PPBM,MAS ERMIEYATI,FEMALE,45,69,,,,,,,,,,,,,,,,,,,,,218,7,0,1,1,,,
P.134_N.02_134/02/03_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/03,SUNGAI BARU TENGAH,SEKOLAH MENENGAH KEBANGSAAN ADE PUTRA,2,281,UMNO,DATUK SERI AB RAUF,MALE,60,146,PKR,ZAINAL BIN HASSAN,MALE,59,26,PPBM,MAS ERMIEYATI,FEMALE,45,105,,,,,,,,,,,,,,,,,,,,,277,4,0,1,1,,,
P.134_N.02_134/02/03_3,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/03,SUNGAI BARU TENGAH,SEKOLAH MENENGAH KEBANGSAAN ADE PUTRA,3,429,UMNO,DATUK SERI AB RAUF,MALE,60,185,PKR,ZAINAL BIN HASSAN,MALE,59,27,PPBM,MAS ERMIEYATI,FEMALE,45,213,,,,,,,,,,,,,,,,,,,,,425,4,0,1,1,,,
P.134_N.02_134/02/03_4,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/03,SUNGAI BARU TENGAH,SEKOLAH MENENGAH KEBANGSAAN ADE PUTRA,4,386,UMNO,DATUK SERI AB RAUF,MALE,60,157,PKR,ZAINAL BIN HASSAN,MALE,59,27,PPBM,MAS ERMIEYATI,FEMALE,45,201,,,,,,,,,,,,,,,,,,,,,385,1,0,1,1,,,
P.134_N.02_134/02/04_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/04,PENGKALAN BALAK,SEKOLAH KEBANGSAAN PENGKALAN BALAK,1,226,UMNO,DATUK SERI AB RAUF,MALE,60,125,PKR,ZAINAL BIN HASSAN,MALE,59,12,PPBM,MAS ERMIEYATI,FEMALE,45,85,,,,,,,,,,,,,,,,,,,,,222,4,0,1,1,,,
P.134_N.02_134/02/04_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/04,PENGKALAN BALAK,SEKOLAH KEBANGSAAN PENGKALAN BALAK,2,260,UMNO,DATUK SERI AB RAUF,MALE,60,136,PKR,ZAINAL BIN HASSAN,MALE,59,26,PPBM,MAS ERMIEYATI,FEMALE,45,96,,,,,,,,,,,,,,,,,,,,,258,2,0,1,1,,,
P.134_N.02_134/02/04_3,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/04,PENGKALAN BALAK,SEKOLAH KEBANGSAAN PENGKALAN BALAK,3,391,UMNO,DATUK SERI AB RAUF,MALE,60,202,PKR,ZAINAL BIN HASSAN,MALE,59,35,PPBM,MAS ERMIEYATI,FEMALE,45,149,,,,,,,,,,,,,,,,,,,,,386,5,0,1,1,,,
P.134_N.02_134/02/04_4,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/04,PENGKALAN BALAK,SEKOLAH KEBANGSAAN PENGKALAN BALAK,4,341,UMNO,DATUK SERI AB RAUF,MALE,60,125,PKR,ZAINAL BIN HASSAN,MALE,59,25,PPBM,MAS ERMIEYATI,FEMALE,45,186,,,,,,,,,,,,,,,,,,,,,336,5,0,1,1,,,
P.134_N.02_134/02/04_5,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/04,PENGKALAN BALAK,SEKOLAH KEBANGSAAN PENGKALAN BALAK,5,314,UMNO,DATUK SERI AB RAUF,MALE,60,134,PKR,ZAINAL BIN HASSAN,MALE,59,24,PPBM,MAS ERMIEYATI,FEMALE,45,152,,,,,,,,,,,,,,,,,,,,,310,4,0,1,1,,,
