08521,TENGKU DATO' HISHAM,L,2022,http://pru.sinarharian.com.my/calon/6741/tengku-zainul-hisham-tengku-hussin
08521,MOHAMAD NIZAR BIN MOHAMAD NAJIB,L,44,http://pru.sinarharian.com.my/calon/8353/mohamad-nizar-mohamad-najib
08521,CIKGU TALIB,L,2022,http://pru.sinarharian.com.my/calon/8367/abu-talib-muhammad
08522,IBRAHIM BIN SULAIMAN,L,2022,http://pru.sinarharian.com.my/calon/8400/narzatul-haidar-bin-sakim
08522,NARZATUL HAIDAR BIN SAKIM,L,2022,http://pru.sinarharian.com.my/calon/8400/narzatul-haidar-bin-sakim
08522,MOHAMMAD FAKHRUDDIN BIN MOHD ARIFF,L,2022,http://pru.sinarharian.com.my/calon/8400/narzatul-haidar-bin-sakim
08523,MOHD SHARIM BIN MD ZAIN,L,2022,http://pru.sinarharian.com.my/calon/6740/mohd-sharim-md-zain
08523,MOHAMAD YAZID BIN CHE MAT,L,2022,http://pru.sinarharian.com.my/calon/8413/mohamad-yazid-bin-che-mat
08523,RAZI JALAL,L,2022,http://pru.sinarharian.com.my/calon/8419/fahrur-rozi-jalaluddin
08624,JAMALUDDIN MD. MARZUKI,L,2022,http://pru.sinarharian.com.my/calon/8422/jamaluddin-md-marzuki
08624,MOHD SOFIAN BIN ABD JALIL,L,2022,http://pru.sinarharian.com.my/calon/6576/mohd-sofian-abd-jalil
08624,MOHD. AFANDI ABD. RANI,L,2022,http://pru.sinarharian.com.my/calon/8428/mohd-afandi-abd-rani
08625,JASRI BIN JAMALUDIN,L,53,http://pru.sinarharian.com.my/calon/8438/jasri-bin-jamaludin
08625,KHAIRUDDIN ALI,L,2022,http://pru.sinarharian.com.my/calon/8444/khairuddin-ali
08625,AMRAN BIN TAHIR,L,2022,http://pru.sinarharian.com.my/calon/8448/amran-bin-tahir
08626,SHAM SUKIE,L,2022,http://pru.sinarharian.com.my/calon/8455/sham-sukie
08626,SAIFUL ANUAR MOKHTAR,L,2022,http://pru.sinarharian.com.my/calon/8457/saiful-anuar-mokhtar
08626,USTAZ MUJIBUR RAHMAN,L,2022,http://pru.sinarharian.com.my/calon/2172/mujibur-rahman-ishak
08727,MOHAMAD HAFEZ BIN HARUN,L,2022,http://pru.sinarharian.com.my/calon/8463/mohamad-hafez-bin-harun
08727,USTAZ MD ANUAR BIN DAUD,L,53,http://pru.sinarharian.com.my/calon/8466/rodzuan-bin-zaaba
08727,RODZUAN BIN ZAABA,L,53,http://pru.sinarharian.com.my/calon/8466/rodzuan-bin-zaaba
08728,ARHAN SALUDIN @ CHENI,L,2022,http://pru.sinarharian.com.my/calon/8470/arhan-saludin
08728,AHMAD ARIF BIN MD DAUD,L,55,http://pru.sinarharian.com.my/calon/1117/syed-ibrahim-syed-ahmad
08728,SYED IBRAHIM BIN SYED AHMAD,L,55,http://pru.sinarharian.com.my/calon/1117/syed-ibrahim-syed-ahmad
08729,NORHASMIMI BINTI ABDUL GHANI,P,47,http://pru.sinarharian.com.my/calon/8473/norhasmimi-binti-abdul-ghani
08729,USTAZ HAJI SHAHRIL AZMAN BIN ABD HALIM AL HAFIZ,L,2022,http://pru.sinarharian.com.my/calon/2173/shahril-azman-abd-halim
08729,USTAZ JAMALUDDIN,L,2022,http://pru.sinarharian.com.my/calon/3407/jamaluddin-abd-rahim
