Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HUSAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ FADHLI SHAARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO GHANI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NASRUL ALI HASAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
27,KASA 022/12/09,SEKOLAH KEBANGSAAN MEKASAR,11,432,61,324,44,3,432,0,0
27,KASA 022/12/09,SEKOLAH KEBANGSAAN MEKASAR,12,472,78,333,60,1,472,0,0
27,KASA 022/12/09,SEKOLAH KEBANGSAAN MEKASAR,13,557,84,395,68,2,549,8,0
28,BANGGOL CHICHA 022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,1,297,13,197,86,0,296,1,0
28,BANGGOL CHICHA 022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,2,360,9,232,108,6,355,5,0
28,BANGGOL CHICHA 022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,3,460,34,302,116,5,457,2,1
28,BANGGOL CHICHA 022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,4,442,27,339,70,4,440,2,0
28,BANGGOL CHICHA 022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,5,401,20,288,77,9,394,7,0
28,BANGGOL CHICHA 022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,6,402,18,298,83,2,401,1,0
28,BANGGOL CHICHA 022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,7,419,31,303,82,2,418,1,0
28,BANGGOL CHICHA 022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,8,515,39,378,93,1,511,4,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.022 PASIR MAS
JUMLAH PEMILIH: 94,544                                                                                                                                                                                               MUKASURAT: 8/10",BANGGOL CHICHA 022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,8,515,39,378,93,1,511,4,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",378,93,1,511,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DATUK HUSAM,USTAZ FADHLI SHAARI,DATO GHANI,NASRUL ALI HASAN,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
29,MERANTI 022/13/02,SEKOLAH KEBANGSAAN MERANTI,1,225,13,151,50,2,216,9,0
29,MERANTI 022/13/02,SEKOLAH KEBANGSAAN MERANTI,2,270,24,170,65,1,260,10,0
29,MERANTI 022/13/02,SEKOLAH KEBANGSAAN MERANTI,3,423,37,285,95,1,418,5,0
29,MERANTI 022/13/02,SEKOLAH KEBANGSAAN MERANTI,4,403,29,298,72,3,402,1,0
29,MERANTI 022/13/02,SEKOLAH KEBANGSAAN MERANTI,5,438,32,328,74,2,436,2,0
29,MERANTI 022/13/02,SEKOLAH KEBANGSAAN MERANTI,6,509,36,367,103,1,507,2,0
30,BAKONG 022/13/03,SEKOLAH KEBANGSAAN BAKONG,1,258,14,149,92,0,255,3,0
30,BAKONG 022/13/03,SEKOLAH KEBANGSAAN BAKONG,2,432,30,301,96,1,428,3,1
30,BAKONG 022/13/03,SEKOLAH KEBANGSAAN BAKONG,3,449,35,313,95,5,448,1,0
31,MERANTI KECHIL 022/13/04,SEKOLAH MENENGAH KEBANGSAAN MERANTI,1,297,13,250,29,0,292,5,0
31,MERANTI KECHIL 022/13/04,SEKOLAH MENENGAH KEBANGSAAN MERANTI,2,337,17,270,46,0,333,4,0
