Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK JAZLAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MEJAR (B) MAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) WAN AHMAD FAYHSAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR ROSLI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.029 MACHANG
JUMLAH PEMILIH: 88,825                                                                                                                                                                                                 MUKASURAT: 5/9",PAK ROMAN 029/34/03,SEKOLAH KEBANGSAAN PAK ROMAN,2,347,112,0,221,11,344,3,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,221,11,344,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DATUK JAZLAN,MEJAR (B) MAT,WAN AHMAD FAYHSAL,DR ROSLI,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
20,PANGKAL MELERET 029/34/04,SEKOLAH KEBANGSAAN PANGKAL MELERET,1,348,137,0,186,17,340,8,0
20,PANGKAL MELERET 029/34/04,SEKOLAH KEBANGSAAN PANGKAL MELERET,2,347,115,0,207,16,338,8,1
20,PANGKAL MELERET 029/34/04,SEKOLAH KEBANGSAAN PANGKAL MELERET,3,427,139,1,261,22,423,4,0
20,PANGKAL MELERET 029/34/04,SEKOLAH KEBANGSAAN PANGKAL MELERET,4,400,121,0,250,25,396,4,0
20,PANGKAL MELERET 029/34/04,SEKOLAH KEBANGSAAN PANGKAL MELERET,5,407,137,0,246,23,406,1,0
20,PANGKAL MELERET 029/34/04,SEKOLAH KEBANGSAAN PANGKAL MELERET,6,484,147,3,315,19,484,0,0
21,PALOH RAWA 029/34/05,SEKOLAH KEBANGSAAN PALOH RAWA,1,363,141,1,204,12,358,5,0
21,PALOH RAWA 029/34/05,SEKOLAH KEBANGSAAN PALOH RAWA,2,363,131,0,219,11,361,2,0
21,PALOH RAWA 029/34/05,SEKOLAH KEBANGSAAN PALOH RAWA,3,446,133,0,276,22,431,15,0
21,PALOH RAWA 029/34/05,SEKOLAH KEBANGSAAN PALOH RAWA,4,432,125,0,289,12,426,6,0
21,PALOH RAWA 029/34/05,SEKOLAH KEBANGSAAN PALOH RAWA,5,496,162,0,319,12,493,3,0
22,BATU 30 029/34/06,SEKOLAH KEBANGSAAN PANGKAL JENEREH,1,347,127,1,203,10,341,6,0
22,BATU 30 029/34/06,SEKOLAH KEBANGSAAN PANGKAL JENEREH,2,346,123,1,198,16,338,8,0
22,BATU 30 029/34/06,SEKOLAH KEBANGSAAN PANGKAL JENEREH,3,425,152,0,252,19,423,2,0
22,BATU 30 029/34/06,SEKOLAH KEBANGSAAN PANGKAL JENEREH,4,404,162,1,228,12,403,1,0
22,BATU 30 029/34/06,SEKOLAH KEBANGSAAN PANGKAL JENEREH,5,492,199,0,276,14,489,3,0
23,KAMPUNG RAJA 029/34/07,SEKOLAH KEBANGSAAN KAMPONG PEK,1,351,168,1,173,5,347,4,0
23,KAMPUNG RAJA 029/34/07,SEKOLAH KEBANGSAAN KAMPONG PEK,2,359,123,0,222,9,354,5,0
23,KAMPUNG RAJA 029/34/07,SEKOLAH KEBANGSAAN KAMPONG PEK,3,334,153,0,172,5,330,4,0
23,KAMPUNG RAJA 029/34/07,SEKOLAH KEBANGSAAN KAMPONG PEK,4,369,142,0,216,7,365,4,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.029 MACHANG
JUMLAH PEMILIH: 88,825                                                                                                                                                                                                 MUKASURAT: 6/9",KAMPUNG RAJA 029/34/07,SEKOLAH KEBANGSAAN KAMPONG PEK,4,369,142,0,216,7,365,4,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,216,7,365,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DATUK JAZLAN,MEJAR (B) MAT,WAN AHMAD FAYHSAL,DR ROSLI,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
24,KAMPUNG PAUH 029/34/08,SEKOLAH KEBANGSAAN TEMANGAN,1,310,150,1,122,33,306,4,0
24,KAMPUNG PAUH 029/34/08,SEKOLAH KEBANGSAAN TEMANGAN,2,473,228,0,192,52,472,1,0
