Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PROFESSOR DR IR HJ MAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) POK ZAHARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORWAHIDA PATUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MD RADZI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
13,GUAL JEDOK 030/36/09,SEKOLAH KEBANGSAAN GUAL JEDOK,1,334,3,181,142,3,329,5,0
13,GUAL JEDOK 030/36/09,SEKOLAH KEBANGSAAN GUAL JEDOK,2,280,3,156,103,13,275,5,0
13,GUAL JEDOK 030/36/09,SEKOLAH KEBANGSAAN GUAL JEDOK,3,325,4,192,123,5,324,1,0
14,AIR CANAL 030/36/10,SEKOLAH KEBANGSAAN AYER CHANAL,1,341,2,149,176,6,333,8,0
14,AIR CANAL 030/36/10,SEKOLAH KEBANGSAAN AYER CHANAL,2,291,0,155,127,8,290,1,0
14,AIR CANAL 030/36/10,SEKOLAH KEBANGSAAN AYER CHANAL,3,306,0,148,150,5,303,3,0
15,KALAI 030/37/01,SEKOLAH KEBANGSAAN KALAI,1,378,0,194,163,13,370,8,0
15,KALAI 030/37/01,SEKOLAH KEBANGSAAN KALAI,2,434,0,306,121,5,432,2,0
15,KALAI 030/37/01,SEKOLAH KEBANGSAAN KALAI,3,465,0,306,150,7,463,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.030 JELI
JUMLAH PEMILIH: 59,798                                                                                                                                                                                                 MUKASURAT: 4/6",KALAI 030/37/01,SEKOLAH KEBANGSAAN KALAI,3,465,0,306,150,7,463,2,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",306,150,7,463,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),PROFESSOR DR IR HJ MAT,POK ZAHARI,NORWAHIDA PATUAN,MD RADZI,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
16,GUNONG 030/37/02,SEKOLAH KEBANGSAAN BATU MELINTANG,1,351,2,234,96,10,342,9,0
16,GUNONG 030/37/02,SEKOLAH KEBANGSAAN BATU MELINTANG,2,457,4,338,96,14,452,5,0
16,GUNONG 030/37/02,SEKOLAH KEBANGSAAN BATU MELINTANG,3,395,0,321,65,6,392,3,0
16,GUNONG 030/37/02,SEKOLAH KEBANGSAAN BATU MELINTANG,4,440,5,337,91,6,439,1,0
17,BANDAR JELI 030/37/03,SEKOLAH KEBANGSAAN JELI (1),1,320,3,189,114,8,314,6,0
17,BANDAR JELI 030/37/03,SEKOLAH KEBANGSAAN JELI (1),2,338,1,216,106,9,332,6,0
17,BANDAR JELI 030/37/03,SEKOLAH KEBANGSAAN JELI (1),3,456,1,318,114,16,449,7,0
17,BANDAR JELI 030/37/03,SEKOLAH KEBANGSAAN JELI (1),4,398,3,283,94,11,391,6,1
17,BANDAR JELI 030/37/03,SEKOLAH KEBANGSAAN JELI (1),5,405,1,303,90,9,403,2,0
17,BANDAR JELI 030/37/03,SEKOLAH KEBANGSAAN JELI (1),6,438,1,323,95,14,433,5,0
17,BANDAR JELI 030/37/03,SEKOLAH KEBANGSAAN JELI (1),7,502,2,362,118,13,495,7,0
18,GEMANG 030/37/04,SEKOLAH KEBANGSAAN GEMANG,1,317,1,187,119,5,312,5,0
18,GEMANG 030/37/04,SEKOLAH KEBANGSAAN GEMANG,2,340,2,201,126,10,339,1,0
18,GEMANG 030/37/04,SEKOLAH KEBANGSAAN GEMANG,3,480,0,328,134,12,474,6,0
18,GEMANG 030/37/04,SEKOLAH KEBANGSAAN GEMANG,4,465,2,315,130,14,461,4,0
18,GEMANG 030/37/04,SEKOLAH KEBANGSAAN GEMANG,5,443,7,303,119,12,441,2,0
18,GEMANG 030/37/04,SEKOLAH KEBANGSAAN GEMANG,6,507,5,321,162,17,505,2,0
19,AIR LANAS 030/37/05,"MAAHAD AL-SABIRIN, AYER LANAS",1,335,0,188,131,8,327,8,0
19,AIR LANAS 030/37/05,"MAAHAD AL-SABIRIN, AYER LANAS",2,381,0,237,122,19,378,3,0
19,AIR LANAS 030/37/05,"MAAHAD AL-SABIRIN, AYER LANAS",3,350,0,195,139,13,347,3,0
19,AIR LANAS 030/37/05,"MAAHAD AL-SABIRIN, AYER LANAS",4,407,1,273,119,11,404,3,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.030 JELI
JUMLAH PEMILIH: 59,798                                                                                                                                                                                                 MUKASURAT: 5/6",AIR LANAS 030/37/05,"MAAHAD AL-SABIRIN, AYER LANAS",4,407,1,273,119,11,404,3,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",273,119,11,404,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),PROFESSOR DR IR HJ MAT,POK ZAHARI,NORWAHIDA PATUAN,MD RADZI,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
20,LEGEH 030/37/06,SEKOLAH KEBANGSAAN LEGEH,1,348,0,260,79,6,345,3,0
20,LEGEH 030/37/06,SEKOLAH KEBANGSAAN LEGEH,2,523,0,384,125,7,516,7,0
21,SUNGAI SATAN 030/37/07,DEWAN RPT KESEDAR SG. SATAN DAN DEWAN ORANG RAMAI KESEDAR SUNGAI SATAN,1,359,1,257,91,8,357,2,0
21,SUNGAI SATAN 030/37/07,DEWAN RPT KESEDAR SG. SATAN DAN DEWAN ORANG RAMAI KESEDAR SUNGAI SATAN,2,464,0,344,109,9,462,2,0
21,SUNGAI SATAN 030/37/07,DEWAN RPT KESEDAR SG. SATAN DAN DEWAN ORANG RAMAI KESEDAR SUNGAI SATAN,3,504,0,379,120,2,501,3,0
22,BERDANG 030/37/08,SEKOLAH KEBANGSAAN PASIR DUSUN,1,329,5,172,136,5,318,11,0
22,BERDANG 030/37/08,SEKOLAH KEBANGSAAN PASIR DUSUN,2,368,0,225,131,7,363,5,0
22,BERDANG 030/37/08,SEKOLAH KEBANGSAAN PASIR DUSUN,3,485,3,343,118,8,472,13,0
22,BERDANG 030/37/08,SEKOLAH KEBANGSAAN PASIR DUSUN,4,459,1,317,126,7,451,8,0
22,BERDANG 030/37/08,SEKOLAH KEBANGSAAN PASIR DUSUN,5,519,0,358,141,17,516,3,0
23,POS SUNGAI RUAL 030/37/09,DEWAN SRI BASOR POS SUNGAI RUAL,1,434,3,24,396,2,425,9,0
24,KEDAI AIR LANAS 030/37/10,SEKOLAH MENENGAH KEBANGSAAN AYER LANAS,1,310,0,184,112,8,304,6,0
