Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAPTEN WAN MARZUDI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK CIKGU AWI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ MUHAMMAD HUSAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ NIK ZAWAWI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
14,BUKIT ABAL 028/29/09,SEKOLAH MENENGAH KEBANGSAAN SRI MAHARAJA,1,327,2,112,13,193,320,7,0
14,BUKIT ABAL 028/29/09,SEKOLAH MENENGAH KEBANGSAAN SRI MAHARAJA,2,340,1,82,19,237,339,1,0
14,BUKIT ABAL 028/29/09,SEKOLAH MENENGAH KEBANGSAAN SRI MAHARAJA,3,374,5,80,19,267,371,3,0
14,BUKIT ABAL 028/29/09,SEKOLAH MENENGAH KEBANGSAAN SRI MAHARAJA,4,363,3,95,17,247,362,1,0
14,BUKIT ABAL 028/29/09,SEKOLAH MENENGAH KEBANGSAAN SRI MAHARAJA,5,375,0,92,27,253,372,3,0
14,BUKIT ABAL 028/29/09,SEKOLAH MENENGAH KEBANGSAAN SRI MAHARAJA,6,442,1,116,28,292,437,5,0
15,BERANGAN 028/29/10,SEKOLAH KEBANGSAAN KAMPONG BERANGAN,1,337,2,92,8,228,330,7,0
15,BERANGAN 028/29/10,SEKOLAH KEBANGSAAN KAMPONG BERANGAN,2,515,1,99,20,390,510,5,0
15,BERANGAN 028/29/10,SEKOLAH KEBANGSAAN KAMPONG BERANGAN,3,540,2,132,23,382,539,1,0
16,ALOR GELIONG 028/29/11,SEKOLAH KEBANGSAAN BANGGOL PA' ESAH,1,348,1,132,5,202,340,8,0
