UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.193_N.05_193_05_09_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,1,223,BN,HAZLAND BIN ABG HIPNI,,,208,,,,,,,,PH (2),FIDZUAN ZAIDI,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,3,0,,
P.193_N.05_193_05_09_2,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,2,423,BN,HAZLAND BIN ABG HIPNI,,,389,,,,,,,,PH (2),FIDZUAN ZAIDI,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,5,0,,
P.193_N.05_193_05_09_3,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,3,416,BN,HAZLAND BIN ABG HIPNI,,,394,,,,,,,,PH (2),FIDZUAN ZAIDI,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,2,0,,
P.193_N.05_193_05_09_4,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,4,426,BN,HAZLAND BIN ABG HIPNI,,,381,,,,,,,,PH (2),FIDZUAN ZAIDI,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,8,0,,
P.193_N.05_193_05_09_5,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,5,391,BN,HAZLAND BIN ABG HIPNI,,,359,,,,,,,,PH (2),FIDZUAN ZAIDI,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,2,0,,
P.193_N.05_193_05_09_6,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,6,360,BN,HAZLAND BIN ABG HIPNI,,,326,,,,,,,,PH (2),FIDZUAN ZAIDI,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,5,0,,
P.193_N.05_193_05_09_7,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,7,331,BN,HAZLAND BIN ABG HIPNI,,,299,,,,,,,,PH (2),FIDZUAN ZAIDI,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,8,0,,
P.193_N.05_193_05_09_8,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,8,341,BN,HAZLAND BIN ABG HIPNI,,,318,,,,,,,,PH (2),FIDZUAN ZAIDI,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,1,0,,
P.193_N.05_193_05_10_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/10,MUARA TABUAN,SEK. KEB. TABUAN,1,203,BN,HAZLAND BIN ABG HIPNI,,,87,,,,,,,,PH (2),FIDZUAN ZAIDI,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,0,0,,
P.193_N.05_193_05_11_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/11,TABUAN HULU,BALAI RAYA KPG. TABUAN HULU HJ DRAHMAN,1,218,BN,HAZLAND BIN ABG HIPNI,,,193,,,,,,,,PH (2),FIDZUAN ZAIDI,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,9,0,,
P.193_N.05_193_05_11_2,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/11,TABUAN HULU,BALAI RAYA KPG. TABUAN HULU HJ DRAHMAN,2,373,BN,HAZLAND BIN ABG HIPNI,,,335,,,,,,,,PH (2),FIDZUAN ZAIDI,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,7,0,,
P.193_N.05_193_05_11_3,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/11,TABUAN HULU,BALAI RAYA KPG. TABUAN HULU HJ DRAHMAN,3,348,BN,HAZLAND BIN ABG HIPNI,,,319,,,,,,,,PH (2),FIDZUAN ZAIDI,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,0,0,,
