UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.194_N.07_194_07_04_5,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/04,SEMERAH PADI,SEK. MEN. KEB. SEMERAH PADI,5,360,,,,,BN,NANI BINTI SAHARI,,,7,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,278,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,4,0,,
P.194_N.07_194_07_05_1,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/05,SUKMA,SEK. KEB. SIOL KANAN,1,284,,,,,BN,NANI BINTI SAHARI,,,12,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,231,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,2,0,,
P.194_N.07_194_07_05_2,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/05,SUKMA,SEK. KEB. SIOL KANAN,2,481,,,,,BN,NANI BINTI SAHARI,,,21,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,373,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,6,0,,
P.194_N.07_194_07_05_3,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/05,SUKMA,SEK. KEB. SIOL KANAN,3,410,,,,,BN,NANI BINTI SAHARI,,,9,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,308,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,2,0,,
P.194_N.07_194_07_05_4,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/05,SUKMA,SEK. KEB. SIOL KANAN,4,392,,,,,BN,NANI BINTI SAHARI,,,8,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,291,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,2,0,,
P.194_N.07_194_07_05_5,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/05,SUKMA,SEK. KEB. SIOL KANAN,5,369,,,,,BN,NANI BINTI SAHARI,,,13,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,259,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,0,0,,
P.194_N.07_194_07_06_1,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/06,KAMPONG TUNKU,DEWAN MASYARAKAT PETRA JAYA,1,266,,,,,BN,NANI BINTI SAHARI,,,10,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,213,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,2,0,,
P.194_N.07_194_07_06_2,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/06,KAMPONG TUNKU,DEWAN MASYARAKAT PETRA JAYA,2,321,,,,,BN,NANI BINTI SAHARI,,,9,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,215,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,4,0,,
P.194_N.07_194_07_06_3,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/06,KAMPONG TUNKU,DEWAN MASYARAKAT PETRA JAYA,3,289,,,,,BN,NANI BINTI SAHARI,,,8,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,201,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,2,0,,
P.194_N.07_194_07_06_1,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/06,KAMPONG TUNKU,SEK. KEB. RANCANGAN PERUMAHAN RAKYAT 'RPR',1,242,,,,,BN,NANI BINTI SAHARI,,,4,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,197,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,2,0,,
P.194_N.07_194_07_06_2,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/06,KAMPONG TUNKU,SEK. KEB. RANCANGAN PERUMAHAN RAKYAT 'RPR',2,232,,,,,BN,NANI BINTI SAHARI,,,6,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,188,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,3,0,,
P.194_N.07_194_07_06_3,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/06,KAMPONG TUNKU,SEK. KEB. RANCANGAN PERUMAHAN RAKYAT 'RPR',3,206,,,,,BN,NANI BINTI SAHARI,,,4,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,161,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,1,0,,
P.194_N.07_194_07_07_1,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/07,BEDIL,DEWAN MASYARAKAT BARU KPG. LINTANG,1,248,,,,,BN,NANI BINTI SAHARI,,,5,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,212,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,3,0,,
P.194_N.07_194_07_07_2,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/07,BEDIL,DEWAN MASYARAKAT BARU KPG. LINTANG,2,309,,,,,BN,NANI BINTI SAHARI,,,13,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,250,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,1,0,,
P.194_N.07_194_07_07_3,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/07,BEDIL,DEWAN MASYARAKAT BARU KPG. LINTANG,3,281,,,,,BN,NANI BINTI SAHARI,,,1,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,234,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,0,0,,
P.194_N.07_194_07_08_1,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/08,ASTANA LOT,DEWAN SEK. KEB. ENCIK BUYONG,1,235,,,,,BN,NANI BINTI SAHARI,,,8,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,208,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,5,0,,
P.194_N.07_194_07_08_2,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/08,ASTANA LOT,DEWAN SEK. KEB. ENCIK BUYONG,2,400,,,,,BN,NANI BINTI SAHARI,,,5,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,325,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,0,1,,
P.194_N.07_194_07_08_3,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/08,ASTANA LOT,DEWAN SEK. KEB. ENCIK BUYONG,3,348,,,,,BN,NANI BINTI SAHARI,,,14,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,269,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,2,1,,
