BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) AHMAD DERAMAN (ABE MAT JELIRA),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' FARID,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
11,026/25/09,SETEK,SEKOLAH MENENGAH PERSENDIRIAN CINA CHUNG HWA,1,330,125,200,325,5,0
11,026/25/09,SETEK,SEKOLAH MENENGAH PERSENDIRIAN CINA CHUNG HWA,2,266,77,186,263,3,0
11,026/25/09,SETEK,SEKOLAH MENENGAH PERSENDIRIAN CINA CHUNG HWA,3,306,81,223,304,2,0
12,026/25/10,KAMPUNG BATU TINGGI,SEKOLAH KEBANGSAAN BANGGOL SAMAN,1,365,108,254,362,3,0
12,026/25/10,KAMPUNG BATU TINGGI,SEKOLAH KEBANGSAAN BANGGOL SAMAN,2,482,121,359,480,2,0
12,026/25/10,KAMPUNG BATU TINGGI,SEKOLAH KEBANGSAAN BANGGOL SAMAN,3,477,145,331,476,1,0
13,026/25/11,KAMPUNG SOKOR,SEKOLAH KEBANGSAAN DESA PAHLAWAN,1,313,98,214,312,1,0
13,026/25/11,KAMPUNG SOKOR,SEKOLAH KEBANGSAAN DESA PAHLAWAN,2,335,88,247,335,0,0
13,026/25/11,KAMPUNG SOKOR,SEKOLAH KEBANGSAAN DESA PAHLAWAN,3,417,62,353,415,2,0
13,026/25/11,KAMPUNG SOKOR,SEKOLAH KEBANGSAAN DESA PAHLAWAN,4,335,58,277,335,0,0
13,026/25/11,KAMPUNG SOKOR,SEKOLAH KEBANGSAAN DESA PAHLAWAN,5,349,88,258,346,3,0
13,026/25/11,KAMPUNG SOKOR,SEKOLAH KEBANGSAAN DESA PAHLAWAN,6,482,106,376,482,0,0
JUMLAH,,,,65,23419,7259,15478,22737,645,37
