id,t,jp,pid,s,kid,kt,i,st,mi,nc,ju,mj,ut
392,DR ROSLI,DOKTOR,31,L,02900,parlimen,,,2022-11-05T10:55:37.297Z,4,0,0,
261,WAN AHMAD FAYHSAL,TIADA,2,L,02900,parlimen,,,2022-11-05T10:55:37.297Z,3,0,0,
617,MEJAR (B) MAT,PESARA KERAJAAN,34,L,02900,parlimen,,,2022-11-05T10:55:37.297Z,2,0,0,
645,DATO' DR. ADABI,TIADA,25,L,03200,parlimen,,,2022-11-05T10:55:43.710Z,3,0,0,
703,MOHD AZIZI ABU NAIM,AHLI PERNIAGAAN,2,L,03200,parlimen,,,2022-11-05T10:55:43.710Z,2,0,0,
766,ABE YO,TIADA,31,L,03200,parlimen,,,2022-11-05T10:55:43.710Z,4,0,0,
580,TENGKU RAZALEIGH HAMZAH,TIADA,1,L,03200,parlimen,,,2022-11-05T10:55:43.710Z,1,0,0,
510,LEONG KOK WEE,,1,L,10000,parlimen,,,2022-11-05T10:56:02.887Z,5,0,0,
442,FARIQUE ZUBIR,AKAUNTAN,27,L,10000,parlimen,,,2022-11-05T10:56:02.887Z,3,0,0,
723,NADIA HANAFIAH,PENGARAH,25,P,10000,parlimen,,,2022-11-05T10:56:02.887Z,4,0,0,
658,ONG TEE KEAT,,54,L,10000,parlimen,,,2022-11-05T10:56:02.887Z,2,0,0,
611,RAFIZI RAMLI,AHLI PERNIAGAAN,31,L,10000,parlimen,,,2022-11-05T10:56:02.887Z,1,0,0,
654,MOHD ROSNI,,20,L,09500,parlimen,029,,2022-11-05T10:56:11.620Z,2,0,0,
509,LANDO BROTHERHOOD,AKTIVIS,25,L,09500,parlimen,,,2022-11-05T10:56:11.620Z,1,0,0,
369,KAPT (B) DATO DR ZULKAFPERI,AHLI PERNIAGAAN,27,L,09500,parlimen,,,2022-11-05T10:56:11.620Z,3,0,0,
234,DATO' HJH. HABIBAH,,1,P,09500,parlimen,,,2022-11-05T10:56:11.620Z,5,0,0,
105,CIKGU RAHAYU,,36,P,09500,parlimen,,,2022-11-05T10:56:11.620Z,4,0,0,
144,DATO` SRI EIZLAN YUSOF,AHLI PERNIAGAAN,25,L,09200,parlimen,,,2022-11-05T10:57:36.850Z,1,0,0,
265,HJ. SHAMSUL  MA`ARIF ISMAIL,TIADA,31,L,09200,parlimen,,,2022-11-05T10:57:36.850Z,4,0,0,
409,CIKGU KALAM BIN SALAN,PENIAGA,27,L,09200,parlimen,,,2022-11-05T10:57:36.850Z,3,0,0,
503,ABD RAHMAN BIN BAKRI,TIADA,1,L,09200,parlimen,,,2022-11-05T10:57:36.850Z,2,0,0,
324,FONG KUI LUN,TIADA,31,L,12000,parlimen,,,2022-11-05T10:57:51.333Z,2,0,0,
166,TAN TEIK PENG,EJEN INSURANS,1,L,12000,parlimen,,,2022-11-05T10:57:51.333Z,3,0,0,
151,EDWIN CHEN,TIADA,27,L,12000,parlimen,,,2022-11-05T10:57:51.333Z,1,0,0,
215,CIKGU JOHARI ABDULLAH,PESARA ADUN,31,L,01600,parlimen,,,2022-11-05T10:58:53.823Z,1,0,0,
419,LT KOL (B) BASIR,TIADA,25,L,01600,parlimen,,,2022-11-05T10:58:53.823Z,2,0,0,
539,DATUK AZEEZ RAHIM,AHLI PERNIAGAAN,1,L,01600,parlimen,,,2022-11-05T10:58:53.823Z,3,0,0,
588,USTAZ HASSAN,PESARA GURU,27,L,01600,parlimen,,,2022-11-05T10:58:53.823Z,4,0,0,
320,LIM SI CHING,TIADA,27,L,10600,parlimen,,,2022-11-05T10:59:43.907Z,2,0,0,
207,GOBIND SINGH DEO,PEGUAM,31,L,10600,parlimen,,,2022-11-05T10:59:43.907Z,1,0,0,
104,TAN GIM TUAN GT,PEGUAM,1,L,10600,parlimen,,,2022-11-05T10:59:43.907Z,3,0,0,
149,KAMARULZAMAN KAMDIAS,PENGERUSI YAYASAN MINDA KEBANGSAAN ,25,L,12900,parlimen,,,2022-11-05T10:59:54.367Z,1,0,0,
60,EDDIN SYAZLEE,,27,L,12900,parlimen,,,2022-11-05T10:59:54.367Z,2,0,0,
216,NOR AZMAN MOHAMAD ,BEKERJA SENDIRI ,31,L,12900,parlimen,,,2022-11-05T10:59:54.367Z,4,0,0,
291,AZMAN BIN IDRIS,AHLI PERNIAGAAN ,54,L,12900,parlimen,,,2022-11-05T10:59:54.367Z,3,0,0,
355,DATO' HJ ADNAN HJ ABU HASSAN ,ADUN SENALING,1,L,12900,parlimen,,,2022-11-05T10:59:54.367Z,5,0,0,
333,CHOW KON YEOW,KETUA MENTERI PULAU PINANG,31,L,04600,parlimen,,,2022-11-05T11:00:34.963Z,2,0,0,
511,ONG CHIN WEN,PEGUAM,54,L,04600,parlimen,,,2022-11-05T11:00:34.963Z,5,0,0,
643,LEE AH LEONG,PESARA,7,L,04600,parlimen,,,2022-11-05T11:00:34.963Z,1,0,0,
751,WONG CHIA ZHEN,TIADA,27,L,04600,parlimen,,,2022-11-05T11:00:34.963Z,4,0,0,
824,TAN LEE HUAT,PENIAGA,1,L,04600,parlimen,,,2022-11-05T11:00:34.963Z,3,0,0,
412,DATO' ASMAWAR BIN SAMAT,PESARA,25,L,09300,parlimen,,,2022-11-05T11:02:14.027Z,2,0,0,
277,DATO' SRI JAMAL YUNOS,AHLI PERNIAGAAN,1,L,09300,parlimen,,,2022-11-05T11:02:14.027Z,1,0,0,
61,HJ SAIPOLYAZAN M YUSOP,TIDAK BEKERJA,31,L,09300,parlimen,,,2022-11-05T11:02:14.027Z,4,0,0,
140,CIKGU MUSLIMIN YAHAYA,TIADA,27,L,09300,parlimen,,,2022-11-05T11:02:14.027Z,3,0,0,
79,DR. SATHIA PRAKASH NADARAJAN,TIADA,31,L,09400,parlimen,,,2022-11-05T11:02:33.620Z,4,0,0,
182,DATUK T.MOHAN,TIADA,1,L,09400,parlimen,,,2022-11-05T11:02:33.620Z,2,0,0,
386,AZLINDA BINTI BARONI,TIADA,20,P,09400,parlimen,027,,2022-11-05T11:02:33.620Z,1,0,0,
316,HANIZA TALHA,TIADA,42,P,09400,parlimen,,,2022-11-05T11:02:33.620Z,5,0,0,
498,HARUMAINI BIN HAJI OMAR,AHLI PERNIAGAAN,25,L,09400,parlimen,,,2022-11-05T11:02:33.620Z,3,0,0,
587,HASNIZAN HARUN,TIADA,27,L,09400,parlimen,,,2022-11-05T11:02:33.620Z,6,0,0,
710,USTAZ ABDULLAH HUSIN,,27,L,14600,parlimen,,,2022-11-05T11:02:38.970Z,2,0,0,
697,SYED SADDIQ,,36,L,14600,parlimen,,,2022-11-05T11:02:38.970Z,3,0,0,
701,MOHD HELMY ABD.LATIF,,1,L,14600,parlimen,,,2022-11-05T11:02:38.970Z,1,0,0,
794,ABUN SUI ANYIT,PEGUAM,31,L,21600,parlimen,,,2022-11-05T11:02:47.270Z,1,0,0,
943,UGAK ANAK KUMBONG,AHLI PERNIAGAAN,32,L,21600,parlimen,,,2022-11-05T11:02:47.270Z,2,0,0,
361,ABDUL HAKIM BIN ABDUL WAHID,,1,L,13400,parlimen,,,2022-11-05T11:04:38.433Z,1,0,0,
184,HANDRAWIRAWAN BIN ABU BAKAR,BERNIAGA,25,L,13400,parlimen,,,2022-11-05T11:04:38.433Z,4,0,0,
275,MUTALIB UTHMAN ,USAHAWAN,36,L,13400,parlimen,,,2022-11-05T11:04:38.433Z,3,0,0,
99,MAS ERMIEYATI,AHLI POLITIK,27,P,13400,parlimen,,,2022-11-05T11:04:38.433Z,2,0,0,
169,RAMLAN ASKOLANI,TIADA,1,L,12100,parlimen,,,2022-11-05T11:04:49.677Z,4,0,0,
429,FAHMI FADZIL,BERSARA (MANTAN AHLI PARLIMEN LEMBAH PANTAI 2018-2022),31,L,12100,parlimen,,,2022-11-05T11:04:49.677Z,3,0,0,
495,DR. ASMAH,KONSULTAN KESIHATAN DAN KECERGASAN,25,P,12100,parlimen,,,2022-11-05T11:04:49.677Z,1,0,0,
583,HAJI FAUZI ABU BAKAR,JURU PERUNDING ARKITEK LANDSKAP & PERANCANG ALAM SEKITAR ,27,L,12100,parlimen,,,2022-11-05T11:04:49.677Z,2,0,0,
562,RODZIAH ISMAIL,AHLI DEWAN NEGERI N41. BATU TIGA,31,P,09900,parlimen,,,2022-11-05T11:05:23.740Z,1,0,0,
476,DR. NURUL ASHIKIN,,25,P,09900,parlimen,,,2022-11-05T11:05:23.740Z,5,0,0,
335,M.RAVEEN,PENIAGA,20,L,09900,parlimen,027,,2022-11-05T11:05:23.740Z,3,0,0,
194,SASHA LYNA,,27,P,09900,parlimen,,,2022-11-05T11:05:23.740Z,7,0,0,
91,MUHAMMAD SHAFIQ IZWAN BIN MOHD YUNOS,,20,L,09900,parlimen,020,,2022-11-05T11:05:23.740Z,8,0,0,
3,IVONE LOW YI WEN,T,1,P,09900,parlimen,,,2022-11-05T11:05:23.740Z,2,0,0,
28,TAN HUA MENG,,20,L,09900,parlimen,017,,2022-11-05T11:05:23.740Z,9,0,0,
731,BRYAN LAI,,54,L,09900,parlimen,,,2022-11-05T11:05:23.740Z,6,0,0,
640,ZURAIDA BINTI KAMARUDDIN ,,42,P,09900,parlimen,,,2022-11-05T11:05:23.740Z,4,0,0,
111,SHAHRIL HAMDAN,TIADA,1,L,13500,parlimen,,,2022-11-05T11:06:33.607Z,1,0,0,
249,MUHAMMAD NAZRIQ ABDUL RAHMAN,BEKERJA SENDIRI,25,L,13500,parlimen,,,2022-11-05T11:06:33.607Z,4,0,0,
352,ADLY ZAHARI,AHLI DEWAN UNDANGAN NEGERI BUKIT KATIL,31,L,13500,parlimen,,,2022-11-05T11:06:33.607Z,2,0,0,
486,PAK WAN (DATUK SERI MOHD REDZUAN BIN MD YUSOF),AHLI POLITIK,27,L,13500,parlimen,,,2022-11-05T11:06:33.607Z,3,0,0,
458,DATUK SERI HAJI SYED IBRAHIM,,1,L,10300,parlimen,,,2022-11-05T11:06:58.617Z,3,0,0,
567,JIMMY CHEW JYH GANG,PENIAGA,27,L,10300,parlimen,,,2022-11-05T11:06:58.617Z,4,0,0,
700,UNCLE KENTANG,,20,L,10300,parlimen,011,,2022-11-05T11:06:58.617Z,2,0,0,
668,YEO BEE YIN,,31,P,10300,parlimen,,,2022-11-05T11:06:58.617Z,1,0,0,
653,DANIAL ABDUL MAJEED,JURUTERA PEMBUATAN,36,L,04100,parlimen,,,2022-11-05T11:07:08.073Z,3,0,0,
890,USTAZ HAMIDI ABU HASSAN,TIADA,25,L,04100,parlimen,,,2022-11-05T11:07:08.073Z,1,0,0,
460,DATO' SRI REEZAL MERICAN BIN NAINA MERICAN,MENTERI,1,L,04100,parlimen,,,2022-11-05T11:07:08.073Z,4,0,0,
147,DR USTAZAH MASTURA,TIADA,27,P,04100,parlimen,,,2022-11-05T11:07:08.073Z,2,0,0,
136,WONG CHIN CHONG,AHLI PERNIAGAAN,1,L,05100,parlimen,,,2022-11-05T11:08:17.553Z,3,0,0,
516,P. THINAGARANABHAN,AHLI PERNIAGAAN,27,L,05100,parlimen,,,2022-11-05T11:08:17.553Z,1,0,0,
707,RAMKARPAL SINGH,PEGUAM,31,L,05100,parlimen,,,2022-11-05T11:08:17.553Z,2,0,0,
874,RACHA BALANG,TIADA,31,L,22100,parlimen,,,2022-11-05T11:08:19.507Z,1,0,0,
246,HASBI BIN HABIBOLLAH,PESARA,32,L,22100,parlimen,,,2022-11-05T11:08:19.507Z,2,0,0,
521,CIKGU IMAM NIZAR,,27,L,15700,parlimen,,,2022-11-05T11:09:16.770Z,1,0,0,
455,CHE ZAKARIA BIN MOHD SALLEH,,31,L,15700,parlimen,,,2022-11-05T11:09:16.770Z,3,0,0,
374,AZALINA OTHMAN SAID,,1,P,15700,parlimen,,,2022-11-05T11:09:16.770Z,2,0,0,
21,NUR JAZLAN,,1,L,16100,parlimen,,,2022-11-05T11:10:52.190Z,1,0,0,
74,LOH KAH YONG,,27,L,16100,parlimen,,,2022-11-05T11:10:52.190Z,2,0,0,
54,DATUK SERI SALAHUDDIN AYUB,,31,L,16100,parlimen,,,2022-11-05T11:10:52.190Z,3,0,0,
52,WAN ADNAN,BERNIAGA,25,L,03400,parlimen,,,2022-11-05T11:11:19.800Z,4,0,0,
210,USTAZ ZUKIRNAIN ABD KADIR,TIADA,2,L,03400,parlimen,,,2022-11-05T11:11:19.800Z,2,0,0,
336,ABDUL RAHMAN BIN MAT YASIN,TIADA,1,L,03400,parlimen,,,2022-11-05T11:11:19.800Z,1,0,0,
446,MOHAMAD BIN NGAH,,31,L,03400,parlimen,,,2022-11-05T11:11:19.800Z,3,0,0,
531,DATO' Ir. WAN NAZARI,BEKERJA SENDIRI,25,L,03300,parlimen,,,2022-11-05T11:12:21.383Z,2,0,0,
368,DATUK ABE ZUL,PEGUAM,2,L,03300,parlimen,,,2022-11-05T11:12:21.383Z,1,0,0,
163,USTAZ AZIZ,TIADA,31,L,03300,parlimen,,,2022-11-05T11:12:21.383Z,3,0,0,
263,DATUK HAJI NAWI MOHAMAD,TIADA,1,L,03300,parlimen,,,2022-11-05T11:12:21.383Z,4,0,0,
243,SHAUN YOUNG,BERNIAGA SENDIRI,54,L,11400,parlimen,,,2022-11-05T11:12:47.737Z,2,0,0,
435,LIM LIP ENG,PEGUAM,31,L,11400,parlimen,,,2022-11-05T11:12:47.737Z,4,0,0,
721,YEE POH PING,PENIAGA,20,L,11400,parlimen,017,,2022-11-05T11:12:47.737Z,5,0,0,
651,PHAANG JING FATT,PENIAGA,27,L,11400,parlimen,,,2022-11-05T11:12:47.737Z,1,0,0,
789,YAP ZHENG HOE,AHLI PERNIAGAAN,1,L,11400,parlimen,,,2022-11-05T11:12:47.737Z,3,0,0,
779,RIZAL,AHLI PERNIAGAAN,25,L,01800,parlimen,,,2022-11-05T11:12:53.497Z,3,0,0,
837,CIKGU ROSLAN HASHIM,PESARA,27,L,01800,parlimen,,,2022-11-05T11:12:53.497Z,2,0,0,
