UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED),,,
P.019_N.01_019/01/02_3,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),3,237,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,82,,,,,,PAS,USTAZ LAN,MALE,57,154,,,,,,,,,,,,,,,,,,,,,,,,,,236,1,0,1,1,,,
P.019_N.01_019/01/02_4,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),4,389,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,123,,,,,,PAS,USTAZ LAN,MALE,57,263,,,,,,,,,,,,,,,,,,,,,,,,,,386,3,0,1,1,,,
P.019_N.01_019/01/02_5,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),5,387,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,124,,,,,,PAS,USTAZ LAN,MALE,57,259,,,,,,,,,,,,,,,,,,,,,,,,,,383,4,0,1,1,,,
P.019_N.01_019/01/02_6,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),6,388,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,92,,,,,,PAS,USTAZ LAN,MALE,57,296,,,,,,,,,,,,,,,,,,,,,,,,,,388,0,0,1,1,,,
P.019_N.01_019/01/02_7,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),7,380,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,123,,,,,,PAS,USTAZ LAN,MALE,57,256,,,,,,,,,,,,,,,,,,,,,,,,,,379,1,0,1,1,,,
P.019_N.01_019/01/02_8,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),8,470,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,142,,,,,,PAS,USTAZ LAN,MALE,57,327,,,,,,,,,,,,,,,,,,,,,,,,,,469,1,0,1,1,,,
P.019_N.01_019/01/03_1,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/03,KAMPUNG TEBING,SMU (A) MEHELIAH GETING,1,241,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,68,,,,,,PAS,USTAZ LAN,MALE,57,172,,,,,,,,,,,,,,,,,,,,,,,,,,240,1,0,1,1,,,
P.019_N.01_019/01/03_2,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/03,KAMPUNG TEBING,SMU (A) MEHELIAH GETING,2,318,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,81,,,,,,PAS,USTAZ LAN,MALE,57,236,,,,,,,,,,,,,,,,,,,,,,,,,,317,1,0,1,1,,,
P.019_N.01_019/01/03_3,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/03,KAMPUNG TEBING,SMU (A) MEHELIAH GETING,3,387,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,99,,,,,,PAS,USTAZ LAN,MALE,57,286,,,,,,,,,,,,,,,,,,,,,,,,,,385,2,0,1,1,,,
P.019_N.01_019/01/03_4,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/03,KAMPUNG TEBING,SMU (A) MEHELIAH GETING,4,451,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,108,,,,,,PAS,USTAZ LAN,MALE,57,339,,,,,,,,,,,,,,,,,,,,,,,,,,447,4,0,1,1,,,
P.019_N.01_019/01/04_1,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),1,188,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,41,,,,,,PAS,USTAZ LAN,MALE,57,147,,,,,,,,,,,,,,,,,,,,,,,,,,188,0,0,1,1,,,
P.019_N.01_019/01/04_2,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),2,274,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,87,,,,,,PAS,USTAZ LAN,MALE,57,184,,,,,,,,,,,,,,,,,,,,,,,,,,271,3,0,1,1,,,
P.019_N.01_019/01/04_3,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),3,486,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,135,,,,,,PAS,USTAZ LAN,MALE,57,346,,,,,,,,,,,,,,,,,,,,,,,,,,481,5,0,1,1,,,
P.019_N.01_019/01/04_4,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),4,423,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,113,,,,,,PAS,USTAZ LAN,MALE,57,307,,,,,,,,,,,,,,,,,,,,,,,,,,420,3,0,1,1,,,
P.019_N.01_019/01/04_5,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),5,417,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,95,,,,,,PAS,USTAZ LAN,MALE,57,321,,,,,,,,,,,,,,,,,,,,,,,,,,416,1,0,1,1,,,
P.019_N.01_019/01/04_6,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),6,443,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,109,,,,,,PAS,USTAZ LAN,MALE,57,332,,,,,,,,,,,,,,,,,,,,,,,,,,441,2,0,1,1,,,
P.019_N.01_019/01/04_7,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),7,431,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,93,,,,,,PAS,USTAZ LAN,MALE,57,335,,,,,,,,,,,,,,,,,,,,,,,,,,428,3,0,1,1,,,
P.019_N.01_019/01/04_8,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),8,513,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,130,,,,,,PAS,USTAZ LAN,MALE,57,381,,,,,,,,,,,,,,,,,,,,,,,,,,511,2,0,1,1,,,
P.019_N.01_019/01/05_1,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/05,SIMPANGAN,SEKOLAH KEBANGSAAN SIMPANGAN,1,195,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,132,,,,,,PAS,USTAZ LAN,MALE,57,61,,,,,,,,,,,,,,,,,,,,,,,,,,193,2,0,1,1,,,
P.019_N.01_019/01/05_2,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/05,SIMPANGAN,SEKOLAH KEBANGSAAN SIMPANGAN,2,295,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,163,,,,,,PAS,USTAZ LAN,MALE,57,129,,,,,,,,,,,,,,,,,,,,,,,,,,292,3,0,1,1,,,
P.019_N.01_019/01/05_3,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/05,SIMPANGAN,SEKOLAH KEBANGSAAN SIMPANGAN,3,292,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,150,,,,,,PAS,USTAZ LAN,MALE,57,140,,,,,,,,,,,,,,,,,,,,,,,,,,290,2,0,1,1,,,
P.019_N.01_019/01/05_4,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/05,SIMPANGAN,SEKOLAH KEBANGSAAN SIMPANGAN,4,286,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,138,,,,,,PAS,USTAZ LAN,MALE,57,144,,,,,,,,,,,,,,,,,,,,,,,,,,282,4,0,1,1,,,
P.019_N.01_019/01/05_5,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/05,SIMPANGAN,SEKOLAH KEBANGSAAN SIMPANGAN,5,362,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,183,,,,,,PAS,USTAZ LAN,MALE,57,178,,,,,,,,,,,,,,,,,,,,,,,,,,361,1,0,1,1,,,
P.019_N.01_019/01/06_1,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH,MAKTAB RENDAH SAINS MARA TUMPAT,1,267,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,100,,,,,,PAS,USTAZ LAN,MALE,57,161,,,,,,,,,,,,,,,,,,,,,,,,,,261,6,0,1,1,,,
P.019_N.01_019/01/06_2,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH,MAKTAB RENDAH SAINS MARA TUMPAT,2,332,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,133,,,,,,PAS,USTAZ LAN,MALE,57,193,,,,,,,,,,,,,,,,,,,,,,,,,,326,6,0,1,1,,,
P.019_N.01_019/01/06_3,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH,MAKTAB RENDAH SAINS MARA TUMPAT,3,448,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,147,,,,,,PAS,USTAZ LAN,MALE,57,299,,,,,,,,,,,,,,,,,,,,,,,,,,446,2,0,1,1,,,
P.019_N.01_019/01/06_4,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH,MAKTAB RENDAH SAINS MARA TUMPAT,4,386,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,109,,,,,,PAS,USTAZ LAN,MALE,57,273,,,,,,,,,,,,,,,,,,,,,,,,,,382,4,0,1,1,,,
P.019_N.01_019/01/06_5,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH,MAKTAB RENDAH SAINS MARA TUMPAT,5,339,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,89,,,,,,PAS,USTAZ LAN,MALE,57,238,,,,,,,,,,,,,,,,,,,,,,,,,,327,11,1,1,1,,,
P.019_N.01_019/01/06_6,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH,MAKTAB RENDAH SAINS MARA TUMPAT,6,341,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,97,,,,,,PAS,USTAZ LAN,MALE,57,244,,,,,,,,,,,,,,,,,,,,,,,,,,341,0,0,1,1,,,
P.019_N.01_019/01/06_7,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH,MAKTAB RENDAH SAINS MARA TUMPAT,7,397,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,110,,,,,,PAS,USTAZ LAN,MALE,57,286,,,,,,,,,,,,,,,,,,,,,,,,,,396,1,0,1,1,,,
P.019_N.01_019/01/06_8,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH,MAKTAB RENDAH SAINS MARA TUMPAT,8,479,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,147,,,,,,PAS,USTAZ LAN,MALE,57,329,,,,,,,,,,,,,,,,,,,,,,,,,,476,3,0,1,1,,,
P.019_N.01_019/01/07_1,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/07,TELAGA BATA,SEKOLAH KEBANGSAAN BUNOHAN,1,296,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,96,,,,,,PAS,USTAZ LAN,MALE,57,194,,,,,,,,,,,,,,,,,,,,,,,,,,290,6,0,1,1,,,
P.019_N.01_019/01/07_2,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/07,TELAGA BATA,SEKOLAH KEBANGSAAN BUNOHAN,2,452,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,157,,,,,,PAS,USTAZ LAN,MALE,57,291,,,,,,,,,,,,,,,,,,,,,,,,,,448,4,0,1,1,,,
P.019_N.01_019/01/07_3,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/07,TELAGA BATA,SEKOLAH KEBANGSAAN BUNOHAN,3,419,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,92,,,,,,PAS,USTAZ LAN,MALE,57,322,,,,,,,,,,,,,,,,,,,,,,,,,,414,5,0,1,1,,,
P.019_N.01_019/01/07_4,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/07,TELAGA BATA,SEKOLAH KEBANGSAAN BUNOHAN,4,453,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,110,,,,,,PAS,USTAZ LAN,MALE,57,342,,,,,,,,,,,,,,,,,,,,,,,,,,452,1,0,1,1,,,
P.019_N.01_019/01/08_5,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/08,BUNOHAN,SEKOLAH KEBANGSAAN BUNOHAN,5,272,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,139,,,,,,PAS,USTAZ LAN,MALE,57,133,,,,,,,,,,,,,,,,,,,,,,,,,,272,0,0,1,1,,,
P.019_N.01_019/01/08_6,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/08,BUNOHAN,SEKOLAH KEBANGSAAN BUNOHAN,6,370,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,164,,,,,,PAS,USTAZ LAN,MALE,57,203,,,,,,,,,,,,,,,,,,,,,,,,,,367,3,0,1,1,,,
P.019_N.01_019/01/08_7,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/08,BUNOHAN,SEKOLAH KEBANGSAAN BUNOHAN,7,345,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,146,,,,,,PAS,USTAZ LAN,MALE,57,192,,,,,,,,,,,,,,,,,,,,,,,,,,338,7,0,1,1,,,
P.019_N.01_019/01/08_8,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/08,BUNOHAN,SEKOLAH KEBANGSAAN BUNOHAN,8,400,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,167,,,,,,PAS,USTAZ LAN,MALE,57,230,,,,,,,,,,,,,,,,,,,,,,,,,,397,3,0,1,1,,,
P.019_N.01_019/01/09_1,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/09,JUBAKAR DARAT,SEKOLAH KEBANGSAAN SRI NETING,1,270,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,183,,,,,,PAS,USTAZ LAN,MALE,57,83,,,,,,,,,,,,,,,,,,,,,,,,,,266,4,0,1,1,,,
P.019_N.01_019/01/09_2,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/09,JUBAKAR DARAT,SEKOLAH KEBANGSAAN SRI NETING,2,264,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,211,,,,,,PAS,USTAZ LAN,MALE,57,47,,,,,,,,,,,,,,,,,,,,,,,,,,258,6,0,1,1,,,
P.019_N.01_019/01/09_3,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/09,JUBAKAR DARAT,SEKOLAH KEBANGSAAN SRI NETING,3,244,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,191,,,,,,PAS,USTAZ LAN,MALE,57,47,,,,,,,,,,,,,,,,,,,,,,,,,,238,6,0,1,1,,,
P.019_N.01_019/01/10_1,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG,SEKOLAH KEBANGSAAN BENDANG PA' YONG,1,192,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,72,,,,,,PAS,USTAZ LAN,MALE,57,118,,,,,,,,,,,,,,,,,,,,,,,,,,190,2,0,1,1,,,
P.019_N.01_019/01/10_2,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG,SEKOLAH KEBANGSAAN BENDANG PA' YONG,2,245,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,110,,,,,,PAS,USTAZ LAN,MALE,57,134,,,,,,,,,,,,,,,,,,,,,,,,,,244,1,0,1,1,,,
P.019_N.01_019/01/10_3,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG,SEKOLAH KEBANGSAAN BENDANG PA' YONG,3,401,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,147,,,,,,PAS,USTAZ LAN,MALE,57,253,,,,,,,,,,,,,,,,,,,,,,,,,,400,1,0,1,1,,,
P.019_N.01_019/01/10_4,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG,SEKOLAH KEBANGSAAN BENDANG PA' YONG,4,408,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,136,,,,,,PAS,USTAZ LAN,MALE,57,270,,,,,,,,,,,,,,,,,,,,,,,,,,406,2,0,1,1,,,
P.019_N.01_019/01/10_5,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG,SEKOLAH KEBANGSAAN BENDANG PA' YONG,5,410,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,132,,,,,,PAS,USTAZ LAN,MALE,57,276,,,,,,,,,,,,,,,,,,,,,,,,,,408,2,0,1,1,,,
P.019_N.01_019/01/10_6,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG,SEKOLAH KEBANGSAAN BENDANG PA' YONG,6,412,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,142,,,,,,PAS,USTAZ LAN,MALE,57,269,,,,,,,,,,,,,,,,,,,,,,,,,,411,1,0,1,1,,,
P.019_N.01_019/01/10_7,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG,SEKOLAH KEBANGSAAN BENDANG PA' YONG,7,473,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,147,,,,,,PAS,USTAZ LAN,MALE,57,324,,,,,,,,,,,,,,,,,,,,,,,,,,471,2,0,1,1,,,
