Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NAZREE ARIS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD REDZUAN YUSOF (PAK WAN ),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WONG NAI CHEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
39,135/10/03,SEKOLAH KEBANGSAAN SERI MACHAP BUKIT SEDANAN,2,434,62,151,218,431,2,1,BUKIT SEDANAN ,UNDI BIASA
40,135/10/04,SEKOLAH KEBANGSAAN BATANG MELAKA,1,272,13,97,157,267,5,0,BATANG MELAKA ,UNDI BIASA
40,135/10/04,SEKOLAH KEBANGSAAN BATANG MELAKA,2,433,31,218,175,424,9,0,BATANG MELAKA ,UNDI BIASA
40,135/10/04,SEKOLAH KEBANGSAAN BATANG MELAKA,3,395,27,226,138,391,4,0,BATANG MELAKA ,UNDI BIASA
40,135/10/04,SEKOLAH KEBANGSAAN BATANG MELAKA,4,404,52,213,138,403,1,0,BATANG MELAKA ,UNDI BIASA
41,135/10/05,SEKOLAH KEBANGSAAN JUS,1,390,43,149,183,375,15,0,JUS ,UNDI BIASA
42,135/10/06,SEKOLAH KEBANGSAAN BUKIT SENGGEH,1,287,20,64,199,283,4,0,BUKIT SENGGEH ,UNDI BIASA
42,135/10/06,SEKOLAH KEBANGSAAN BUKIT SENGGEH,2,291,41,95,150,286,5,0,BUKIT SENGGEH ,UNDI BIASA
42,135/10/06,SEKOLAH KEBANGSAAN BUKIT SENGGEH,3,279,44,107,122,273,6,0,BUKIT SENGGEH ,UNDI BIASA
43,135/10/07,SEKOLAH KEBANGSAAN NYALAS,1,292,27,84,171,282,10,0,PEKAN NYALAS ,UNDI BIASA
43,135/10/07,SEKOLAH KEBANGSAAN NYALAS,2,517,92,163,257,512,5,0,PEKAN NYALAS ,UNDI BIASA
43,135/10/07,SEKOLAH KEBANGSAAN NYALAS,3,472,91,222,147,460,12,0,PEKAN NYALAS ,UNDI BIASA
43,135/10/07,SEKOLAH KEBANGSAAN NYALAS,4,464,77,211,170,458,6,0,PEKAN NYALAS ,UNDI BIASA
44,135/10/08,SEKOLAH KEBANGSAAN FELDA BUKIT SENGGEH,1,303,32,53,207,292,11,0,FELDA BUKIT SENGGEH ,UNDI BIASA
44,135/10/08,SEKOLAH KEBANGSAAN FELDA BUKIT SENGGEH,2,540,79,143,312,534,6,0,FELDA BUKIT SENGGEH ,UNDI BIASA
44,135/10/08,SEKOLAH KEBANGSAAN FELDA BUKIT SENGGEH,3,501,95,183,222,500,1,0,FELDA BUKIT SENGGEH ,UNDI BIASA
44,135/10/08,SEKOLAH KEBANGSAAN FELDA BUKIT SENGGEH,4,493,91,188,209,488,5,0,FELDA BUKIT SENGGEH ,UNDI BIASA
45,135/10/09,SEKOLAH KEBANGSAAN MASJID BARU,1,291,29,77,173,279,12,0,PONDOK BATANG ,UNDI BIASA
45,135/10/09,SEKOLAH KEBANGSAAN MASJID BARU,2,451,75,125,243,443,8,0,PONDOK BATANG ,UNDI BIASA
45,135/10/09,SEKOLAH KEBANGSAAN MASJID BARU,3,405,68,194,137,399,6,0,PONDOK BATANG ,UNDI BIASA
45,135/10/09,SEKOLAH KEBANGSAAN MASJID BARU,4,419,54,190,170,414,5,0,PONDOK BATANG ,UNDI BIASA
46,135/10/10,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BUKIT ASAHAN,1,396,9,251,122,382,14,0,LADANG BUKIT ASAHAN ,UNDI BIASA
47,135/10/11,SEKOLAH KEBANGSAAN ASAHAN,1,294,15,149,119,283,11,0,PEKAN ASAHAN ,UNDI BIASA
47,135/10/11,SEKOLAH KEBANGSAAN ASAHAN,2,420,32,260,123,415,5,0,PEKAN ASAHAN ,UNDI BIASA
47,135/10/11,SEKOLAH KEBANGSAAN ASAHAN,3,422,45,278,97,420,2,0,PEKAN ASAHAN ,UNDI BIASA
47,135/10/11,SEKOLAH KEBANGSAAN ASAHAN,4,412,51,236,122,409,2,1,PEKAN ASAHAN ,UNDI BIASA
