UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS VOTE,OTHER PARTY (1) - PSM,OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2) - BERJASA,OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,IND 1 (AIRPLANE),INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,IND 2 (ELEPHANT),INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,IND 3 (BOOK),INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 VOTE,,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,VERIFY_ISSUED
P.078_N.01_078/01/11_3,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/11,TANAH RATA,SMK SULTAN AHMAD SHAH,3,516,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,166,PKR,MANOGARAN,MALE,,251,PAS,CIKGU WAN MAHADIR,MALE,,57,PSM,SURESH KUMAR,MALE,,28,BERJASA,USTAZ TAHIR,MALE,,1,,,,,,,,,,,,,,,,,,,,,503,13,0,TRUE
P.078_N.01_078/01/11_4,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/11,TANAH RATA,SMK SULTAN AHMAD SHAH,4,477,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,135,PKR,MANOGARAN,MALE,,255,PAS,CIKGU WAN MAHADIR,MALE,,59,PSM,SURESH KUMAR,MALE,,25,BERJASA,USTAZ TAHIR,MALE,,2,,,,,,,,,,,,,,,,,,,,,476,1,0,TRUE
P.078_N.01_078/01/11_5,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/11,TANAH RATA,SMK SULTAN AHMAD SHAH,5,474,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,145,PKR,MANOGARAN,MALE,,222,PAS,CIKGU WAN MAHADIR,MALE,,62,PSM,SURESH KUMAR,MALE,,41,BERJASA,USTAZ TAHIR,MALE,,2,,,,,,,,,,,,,,,,,,,,,472,2,0,TRUE
P.078_N.01_078/01/12_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/12,BERINCHANG,SJK(C) BRINCHANG,1,224,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,69,PKR,MANOGARAN,MALE,,126,PAS,CIKGU WAN MAHADIR,MALE,,12,PSM,SURESH KUMAR,MALE,,4,BERJASA,USTAZ TAHIR,MALE,,4,,,,,,,,,,,,,,,,,,,,,215,9,0,TRUE
P.078_N.01_078/01/12_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/12,BERINCHANG,SJK(C) BRINCHANG,2,417,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,117,PKR,MANOGARAN,MALE,,256,PAS,CIKGU WAN MAHADIR,MALE,,23,PSM,SURESH KUMAR,MALE,,11,BERJASA,USTAZ TAHIR,MALE,,1,,,,,,,,,,,,,,,,,,,,,408,9,0,TRUE
P.078_N.01_078/01/12_3,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/12,BERINCHANG,SJK(C) BRINCHANG,3,413,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,145,PKR,MANOGARAN,MALE,,226,PAS,CIKGU WAN MAHADIR,MALE,,25,PSM,SURESH KUMAR,MALE,,9,BERJASA,USTAZ TAHIR,MALE,,1,,,,,,,,,,,,,,,,,,,,,406,7,0,TRUE
P.078_N.01_078/01/12_4,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/12,BERINCHANG,SJK(C) BRINCHANG,4,379,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,157,PKR,MANOGARAN,MALE,,178,PAS,CIKGU WAN MAHADIR,MALE,,31,PSM,SURESH KUMAR,MALE,,9,BERJASA,USTAZ TAHIR,MALE,,0,,,,,,,,,,,,,,,,,,,,,375,4,0,TRUE
P.078_N.01_078/01/12_5,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/12,BERINCHANG,SJK(C) BRINCHANG,5,385,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,187,PKR,MANOGARAN,MALE,,151,PAS,CIKGU WAN MAHADIR,MALE,,29,PSM,SURESH KUMAR,MALE,,11,BERJASA,USTAZ TAHIR,MALE,,0,,,,,,,,,,,,,,,,,,,,,378,7,0,TRUE
P.078_N.01_078/01/13_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/13,LADANG SUNGAI PALAS,SJK(T) LADANG SUNGAI PALAS,1,145,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,54,PKR,MANOGARAN,MALE,,39,PAS,CIKGU WAN MAHADIR,MALE,,12,PSM,SURESH KUMAR,MALE,,33,BERJASA,USTAZ TAHIR,MALE,,0,,,,,,,,,,,,,,,,,,,,,138,7,0,TRUE
P.078_N.01_078/01/14_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/14,LADANG BLUE VALLEY,SJK(T) LADANG BLUE VALLEY,1,246,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,84,PKR,MANOGARAN,MALE,,126,PAS,CIKGU WAN MAHADIR,MALE,,1,PSM,SURESH KUMAR,MALE,,25,BERJASA,USTAZ TAHIR,MALE,,0,,,,,,,,,,,,,,,,,,,,,236,10,0,TRUE
P.078_N.01_078/01/15_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/15,KAMPUNG RAJA,SK KAMPUNG RAJA,1,268,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,60,PKR,MANOGARAN,MALE,,199,PAS,CIKGU WAN MAHADIR,MALE,,2,PSM,SURESH KUMAR,MALE,,2,BERJASA,USTAZ TAHIR,MALE,,0,,,,,,,,,,,,,,,,,,,,,263,5,0,TRUE
P.078_N.01_078/01/15_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/15,KAMPUNG RAJA,SK KAMPUNG RAJA,2,464,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,79,PKR,MANOGARAN,MALE,,368,PAS,CIKGU WAN MAHADIR,MALE,,12,PSM,SURESH KUMAR,MALE,,2,BERJASA,USTAZ TAHIR,MALE,,0,,,,,,,,,,,,,,,,,,,,,461,3,0,TRUE
