Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHAMAD RAFIDEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HAJI KAMAL BIN ASHAARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI HAJI ISMAIL BIN HAJI MOHAMED SAID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
35,087/29/07,SK LKTP JENGKA 20,2,497,30,208,252,490,7,0,FELDA JENGKA 20,UNDI BIASA
35,087/29/07,SK LKTP JENGKA 20,3,412,52,203,154,409,3,0,FELDA JENGKA 20,UNDI BIASA
35,087/29/07,SK LKTP JENGKA 20,4,459,42,226,189,457,2,0,FELDA JENGKA 20,UNDI BIASA
36,087/29/08,SK LKTP JENGKA 17,1,310,11,128,159,298,12,0,FELDA JENGKA 17,UNDI BIASA
36,087/29/08,SK LKTP JENGKA 17,2,449,29,214,201,444,5,0,FELDA JENGKA 17,UNDI BIASA
36,087/29/08,SK LKTP JENGKA 17,3,403,51,204,142,397,5,1,FELDA JENGKA 17,UNDI BIASA
36,087/29/08,SK LKTP JENGKA 17,4,428,75,208,143,426,2,0,FELDA JENGKA 17,UNDI BIASA
37,087/29/09,SK LKTP JENGKA 18,1,313,8,160,136,304,9,0,FELDA JENGKA 18,UNDI BIASA
37,087/29/09,SK LKTP JENGKA 18,2,498,29,250,213,492,6,0,FELDA JENGKA 18,UNDI BIASA
37,087/29/09,SK LKTP JENGKA 18,3,435,28,265,140,433,2,0,FELDA JENGKA 18,UNDI BIASA
37,087/29/09,SK LKTP JENGKA 18,4,427,42,274,110,426,1,0,FELDA JENGKA 18,UNDI BIASA
37,087/29/09,SK LKTP JENGKA 18,5,455,38,299,118,455,0,0,FELDA JENGKA 18,UNDI BIASA
38,087/29/10,SK LKTP JENGKA 19,1,314,18,130,158,306,8,0,FELDA JENGKA 19,UNDI BIASA
38,087/29/10,SK LKTP JENGKA 19,2,535,28,211,283,522,13,0,FELDA JENGKA 19,UNDI BIASA
38,087/29/10,SK LKTP JENGKA 19,3,459,50,207,201,458,1,0,FELDA JENGKA 19,UNDI BIASA
38,087/29/10,SK LKTP JENGKA 19,4,465,67,211,186,464,1,0,FELDA JENGKA 19,UNDI BIASA
38,087/29/10,SK LKTP JENGKA 19,5,487,63,263,160,486,1,0,FELDA JENGKA 19,UNDI BIASA
