Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TENGKU ZULPURI SHAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHEW MEI FUN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR MOHAMED NILAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
23,080/07/07,SMK DATO SHAH BANDAR HUSSAIN,1,175,97,53,22,172,3,0,KAMPUNG MELAYU,UNDI BIASA
24,080/07/08,SJK(C) YUH HWA,1,254,188,46,4,238,16,0,BUKIT KOMAN,UNDI BIASA
24,080/07/08,SJK(C) YUH HWA,2,422,327,84,7,418,4,0,BUKIT KOMAN,UNDI BIASA
24,080/07/08,SJK(C) YUH HWA,3,424,381,37,3,421,3,0,BUKIT KOMAN,UNDI BIASA
24,080/07/08,SJK(C) YUH HWA,4,412,369,28,9,406,6,0,BUKIT KOMAN,UNDI BIASA
24,080/07/08,SJK(C) YUH HWA,5,395,345,34,16,395,0,0,BUKIT KOMAN,UNDI BIASA
25,080/07/09,SJK(C) SUNGAI LUI,1,285,195,70,11,276,9,0,SUNGAI LUI,UNDI BIASA
25,080/07/09,SJK(C) SUNGAI LUI,2,576,390,144,38,572,4,0,SUNGAI LUI,UNDI BIASA
25,080/07/09,SJK(C) SUNGAI LUI,3,563,413,109,41,563,0,0,SUNGAI LUI,UNDI BIASA
25,080/07/09,SJK(C) SUNGAI LUI,4,535,378,101,55,534,1,0,SUNGAI LUI,UNDI BIASA
25,080/07/09,SJK(C) SUNGAI LUI,5,528,333,94,101,528,0,0,SUNGAI LUI,UNDI BIASA
25,080/07/09,SJK(C) SUNGAI LUI,6,513,317,87,106,510,3,0,SUNGAI LUI,UNDI BIASA
25,080/07/09,SJK(C) SUNGAI LUI,7,544,320,109,106,535,9,0,SUNGAI LUI,UNDI BIASA
26,080/07/10,SK MAHMUD,1,241,106,113,19,238,3,0,TAMAN SENTOSA,UNDI BIASA
26,080/07/10,SK MAHMUD,2,302,167,90,42,299,3,0,TAMAN SENTOSA,UNDI BIASA
26,080/07/10,SK MAHMUD,3,291,213,48,29,290,1,0,TAMAN SENTOSA,UNDI BIASA
26,080/07/10,SK MAHMUD,4,284,194,34,56,284,0,0,TAMAN SENTOSA,UNDI BIASA
27,080/07/11,SMK CHUNG CHING,1,192,128,51,10,189,3,0,BANDAR RAUB,UNDI BIASA
27,080/07/11,SMK CHUNG CHING,2,232,167,50,14,231,1,0,BANDAR RAUB,UNDI BIASA
28,080/07/12,SMK MAHMUD,1,281,171,101,5,277,4,0,RAUB JAYA,UNDI BIASA
28,080/07/12,SMK MAHMUD,2,538,362,142,31,535,3,0,RAUB JAYA,UNDI BIASA
28,080/07/12,SMK MAHMUD,3,500,376,93,30,499,1,0,RAUB JAYA,UNDI BIASA
28,080/07/12,SMK MAHMUD,4,519,383,77,56,516,3,0,RAUB JAYA,UNDI BIASA
29,080/07/13,SJK(C) TRAS,1,294,190,96,5,291,3,0,PEKAN TRAS,UNDI BIASA
29,080/07/13,SJK(C) TRAS,2,337,258,73,3,334,3,0,PEKAN TRAS,UNDI BIASA
29,080/07/13,SJK(C) TRAS,3,338,282,44,6,332,6,0,PEKAN TRAS,UNDI BIASA
30,080/07/14,PEJABAT PERBADANAN KEMAJUAN BUKIT FRASER,1,190,72,97,17,186,4,0,BUKIT FRASER,UNDI BIASA
31,080/07/15,SJK(C) SUNGAI CHETANG,1,202,115,83,0,198,4,0,SUNGAI CHETANG,UNDI BIASA
31,080/07/15,SJK(C) SUNGAI CHETANG,2,262,147,98,7,252,10,0,SUNGAI CHETANG,UNDI BIASA
32,080/07/16,SJK(C) SANG LEE,1,195,85,108,2,195,0,0,KAMPUNG SANG LEE,UNDI BIASA
32,080/07/16,SJK(C) SANG LEE,2,219,141,77,0,218,1,0,KAMPUNG SANG LEE,UNDI BIASA
33,080/08/01,SK ULU DONG,1,313,21,205,81,307,6,0,PAMAH RAWAS,UNDI BIASA
33,080/08/01,SK ULU DONG,2,368,52,197,118,367,1,0,PAMAH RAWAS,UNDI BIASA
34,080/08/02,SK PAMAH KULAT,1,296,25,183,84,292,4,0,PAMAH KULAT,UNDI BIASA
34,080/08/02,SK PAMAH KULAT,2,396,39,168,187,394,2,0,PAMAH KULAT,UNDI BIASA
35,080/08/03,SJK(C) SUNGAI KLAU,1,257,140,104,3,247,10,0,JERAM,UNDI BIASA
35,080/08/03,SJK(C) SUNGAI KLAU,2,473,330,123,12,465,8,0,JERAM,UNDI BIASA
35,080/08/03,SJK(C) SUNGAI KLAU,3,476,383,80,8,471,5,0,JERAM,UNDI BIASA
35,080/08/03,SJK(C) SUNGAI KLAU,4,469,369,73,23,465,4,0,JERAM,UNDI BIASA
36,080/08/04,SK LKTP LEMBAH KLAU,1,289,15,220,47,282,7,0,FELDA LEMBAH KLAU,UNDI BIASA
36,080/08/04,SK LKTP LEMBAH KLAU,2,574,66,360,124,550,24,0,FELDA LEMBAH KLAU,UNDI BIASA
36,080/08/04,SK LKTP LEMBAH KLAU,3,511,78,243,175,496,15,0,FELDA LEMBAH KLAU,UNDI BIASA
36,080/08/04,SK LKTP LEMBAH KLAU,4,545,75,278,184,537,8,0,FELDA LEMBAH KLAU,UNDI BIASA
37,080/08/05,SK LKTP KRAU 1,1,323,48,229,38,315,8,0,FELDA KRAU,UNDI BIASA
37,080/08/05,SK LKTP KRAU 1,2,437,82,266,86,434,3,0,FELDA KRAU,UNDI BIASA
38,080/08/06,SK GALI,1,282,62,157,53,272,10,0,GALI TENGAH,UNDI BIASA
38,080/08/06,SK GALI,2,357,89,159,107,355,2,0,GALI TENGAH,UNDI BIASA
38,080/08/06,SK GALI,3,359,92,150,116,358,1,0,GALI TENGAH,UNDI BIASA
39,080/08/07,DEWAN SERBAGUNA KAMPUNG GALI HILIR,1,306,37,219,48,304,2,0,GALI HILIR,UNDI BIASA
39,080/08/07,DEWAN SERBAGUNA KAMPUNG GALI HILIR,2,317,62,163,89,314,3,0,GALI HILIR,UNDI BIASA
39,080/08/07,DEWAN SERBAGUNA KAMPUNG GALI HILIR,3,288,56,141,89,286,2,0,GALI HILIR,UNDI BIASA
40,080/08/08,BALAI RAYA DURIAN SEBATANG,1,344,61,160,111,332,12,0,DURIAN SEBATANG,UNDI BIASA
41,080/08/09,SK TEMAU,1,296,22,195,66,283,13,0,KAMPUNG TEMAU,UNDI BIASA
41,080/08/09,SK TEMAU,2,449,67,225,155,447,2,0,KAMPUNG TEMAU,UNDI BIASA
42,080/08/10,SMK DONG,1,289,52,153,72,277,12,0,PEKAN DONG,UNDI BIASA
42,080/08/10,SMK DONG,2,450,92,209,144,445,5,0,PEKAN DONG,UNDI BIASA
42,080/08/10,SMK DONG,3,422,96,159,163,418,4,0,PEKAN DONG,UNDI BIASA
43,080/08/11,SK TANJUNG PUTUS,1,310,22,199,66,287,23,0,TANJUNG PUTUS,UNDI BIASA
43,080/08/11,SK TANJUNG PUTUS,2,429,42,240,140,422,7,0,TANJUNG PUTUS,UNDI BIASA
43,080/08/11,SK TANJUNG PUTUS,3,418,47,227,138,412,6,0,TANJUNG PUTUS,UNDI BIASA
