Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' DR JOHAN BIN MAT SAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ NASRUDIN HASSAN TANTAWI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SAIFUDDIN ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
14,082/12/11,KOLEJ VOKASIONAL KUANTAN,2,501,91,38,366,495,6,0,ALOR AKAR,UNDI BIASA
14,082/12/11,KOLEJ VOKASIONAL KUANTAN,3,499,96,43,353,492,7,0,ALOR AKAR,UNDI BIASA
14,082/12/11,KOLEJ VOKASIONAL KUANTAN,4,478,85,61,331,477,1,0,ALOR AKAR,UNDI BIASA
14,082/12/11,KOLEJ VOKASIONAL KUANTAN,5,469,63,75,329,467,2,0,ALOR AKAR,UNDI BIASA
14,082/12/11,KOLEJ VOKASIONAL KUANTAN,6,443,77,77,289,443,0,0,ALOR AKAR,UNDI BIASA
15,082/12/12,SMK AIR PUTIH,1,274,52,9,213,274,0,0,AIR PUTIH BARU,UNDI BIASA
15,082/12/12,SMK AIR PUTIH,2,483,67,23,393,483,0,0,AIR PUTIH BARU,UNDI BIASA
15,082/12/12,SMK AIR PUTIH,3,491,43,22,423,488,3,0,AIR PUTIH BARU,UNDI BIASA
15,082/12/12,SMK AIR PUTIH,4,473,35,24,412,471,1,1,AIR PUTIH BARU,UNDI BIASA
15,082/12/12,SMK AIR PUTIH,5,466,31,17,418,466,0,0,AIR PUTIH BARU,UNDI BIASA
15,082/12/12,SMK AIR PUTIH,6,485,38,14,433,485,0,0,AIR PUTIH BARU,UNDI BIASA
16,082/12/13,SJK(C) PEI CHAI,1,264,51,11,198,260,3,1,AIR PUTIH,UNDI BIASA
16,082/12/13,SJK(C) PEI CHAI,2,586,88,7,478,573,13,0,AIR PUTIH,UNDI BIASA
16,082/12/13,SJK(C) PEI CHAI,3,605,63,12,526,601,4,0,AIR PUTIH,UNDI BIASA
16,082/12/13,SJK(C) PEI CHAI,4,605,73,23,508,604,1,0,AIR PUTIH,UNDI BIASA
16,082/12/13,SJK(C) PEI CHAI,5,567,72,25,468,565,2,0,AIR PUTIH,UNDI BIASA
16,082/12/13,SJK(C) PEI CHAI,6,575,45,31,496,572,2,1,AIR PUTIH,UNDI BIASA
