Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ AZAM BIN AZIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIRIZAL KHAZALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SERI MAHDZIR KHALID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
26,2007/08/06,"SEKOLAH KEBANGSAAN KAMPONG BELUKAR, NAKA",1,329,210,7,105,322,7,0,BELUKAR LUAS,UNDI BIASA
26,2007/08/06,"SEKOLAH KEBANGSAAN KAMPONG BELUKAR, NAKA",2,556,325,57,159,541,15,0,BELUKAR LUAS,UNDI BIASA
26,2007/08/06,"SEKOLAH KEBANGSAAN KAMPONG BELUKAR, NAKA",3,514,345,43,120,508,6,0,BELUKAR LUAS,UNDI BIASA
27,2007/08/07,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",1,326,194,22,106,322,4,0,KUBANG BEMBAN,UNDI BIASA
27,2007/08/07,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",2,498,278,38,179,495,3,0,KUBANG BEMBAN,UNDI BIASA
27,2007/08/07,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",3,471,278,58,123,459,12,0,KUBANG BEMBAN,UNDI BIASA
28,2007/08/08,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",4,306,135,21,129,285,21,0,TANDOP BESAR,UNDI BIASA
28,2007/08/08,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",5,634,286,66,274,626,8,0,TANDOP BESAR,UNDI BIASA
28,2007/08/08,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",6,584,266,97,219,582,2,0,TANDOP BESAR,UNDI BIASA
28,2007/08/08,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",7,559,238,94,222,554,5,0,TANDOP BESAR,UNDI BIASA
29,2007/08/09,"SEKOLAH KEBANGSAAN NAKA, NAKA",1,288,77,56,123,256,31,1,NAKA,UNDI BIASA
29,2007/08/09,"SEKOLAH KEBANGSAAN NAKA, NAKA",2,605,155,137,297,589,16,0,NAKA,UNDI BIASA
29,2007/08/09,"SEKOLAH KEBANGSAAN NAKA, NAKA",3,569,174,139,250,563,6,0,NAKA,UNDI BIASA
29,2007/08/09,"SEKOLAH KEBANGSAAN NAKA, NAKA",4,544,195,127,219,541,3,0,NAKA,UNDI BIASA
30,2007/08/10,"SEKOLAH KEBANGSAAN LAMDIN, NAKA",1,323,16,98,197,311,12,0,LAMDIN,UNDI BIASA
30,2007/08/10,"SEKOLAH KEBANGSAAN LAMDIN, NAKA",2,406,7,143,208,358,15,33,LAMDIN,UNDI BIASA
30,2007/08/10,"SEKOLAH KEBANGSAAN LAMDIN, NAKA",3,341,4,172,158,334,7,0,LAMDIN,UNDI BIASA
31,2007/08/11,"SEKOLAH KEBANGSAAN NAMI, NAKA",1,315,104,58,136,298,17,0,NAMI,UNDI BIASA
31,2007/08/11,"SEKOLAH KEBANGSAAN NAMI, NAKA",2,304,102,54,142,298,6,0,NAMI,UNDI BIASA
31,2007/08/11,"SEKOLAH KEBANGSAAN NAMI, NAKA",3,296,99,84,110,293,3,0,NAMI,UNDI BIASA
32,2007/08/12,"SEKOLAH KEBANGSAAN LUBOK MERBAU, NAKA",1,308,52,22,227,301,7,0,FELDA LUBOK MERBAU A,UNDI BIASA
32,2007/08/12,"SEKOLAH KEBANGSAAN LUBOK MERBAU, NAKA",2,490,67,85,317,469,21,0,FELDA LUBOK MERBAU A,UNDI BIASA
32,2007/08/12,"SEKOLAH KEBANGSAAN LUBOK MERBAU, NAKA",3,451,113,90,247,450,1,0,FELDA LUBOK MERBAU A,UNDI BIASA
32,2007/08/12,"SEKOLAH KEBANGSAAN LUBOK MERBAU, NAKA",4,438,103,109,223,435,2,1,FELDA LUBOK MERBAU A,UNDI BIASA
33,2007/08/13,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",1,293,15,32,211,258,35,0,FELDA LUBOK MERBAU B,UNDI BIASA
33,2007/08/13,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",2,402,51,70,275,396,6,0,FELDA LUBOK MERBAU B,UNDI BIASA
33,2007/08/13,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",3,382,96,90,194,380,2,0,FELDA LUBOK MERBAU B,UNDI BIASA
33,2007/08/13,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",4,370,84,83,194,361,9,0,FELDA LUBOK MERBAU B,UNDI BIASA
34,2007/08/14,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",5,396,61,97,230,388,8,0,KAMPUNG MAHAWANGSA PADANG TERAP,UNDI BIASA
