P.126_N.01_126/01/03_3,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/03,SIMPANG DURIAN ,SEKOLAH MENENGAH KEBANGSAAN TERIANG HILIR,3,516
P.126_N.01_126/01/04_1,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/04,KAMPONG CHENNAH ,SEKOLAH KEBANGSAAN DATUK UNDANG ABDULLAH,1,301
P.126_N.01_126/01/04_2,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/04,KAMPONG CHENNAH ,SEKOLAH KEBANGSAAN DATUK UNDANG ABDULLAH,2,410
P.126_N.01_126/01/04_3,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/04,KAMPONG CHENNAH ,SEKOLAH KEBANGSAAN DATUK UNDANG ABDULLAH,3,383
P.126_N.01_126/01/05_1,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/05,PEKAN TITI ,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,1,261
P.126_N.01_126/01/05_2,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/05,PEKAN TITI ,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,2,564
P.126_N.01_126/01/05_3,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/05,PEKAN TITI ,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,3,523
P.126_N.01_126/01/05_4,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/05,PEKAN TITI ,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,4,492
P.126_N.01_126/01/05_5,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/05,PEKAN TITI ,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,5,535
P.126_N.01_126/01/05_6,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/05,PEKAN TITI ,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,6,534
P.126_N.01_126/01/06_1,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/06,SUNGAI MUNTOH ,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU SUNGAI MUNTOH,1,307
P.126_N.01_126/01/06_2,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/06,SUNGAI MUNTOH ,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU SUNGAI MUNTOH,2,384
P.126_N.01_126/01/06_3,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/06,SUNGAI MUNTOH ,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU SUNGAI MUNTOH,3,380
P.126_N.01_126/01/07_1,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/07,KAMPONG SEPERI ,BALAI RAYA KAMPUNG SEPERI JELEBU,1,268
P.126_N.01_126/01/08_1,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/08,PETALING ,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU PETALING,1,270
P.126_N.01_126/01/08_2,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/08,PETALING ,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU PETALING,2,468
P.126_N.01_126/01/08_3,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/08,PETALING ,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU PETALING,3,448
P.126_N.01_126/01/08_4,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/08,PETALING ,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU PETALING,4,437
P.126_N.01_126/01/09_1,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/09,KAMPONG GAGU ,BALAI RAYA KAMPUNG GAGU,1,341
P.126_N.02_126/02/01_1,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/01,JERANG ,BALAI RAYA KAMPUNG JERANG,1,431
P.126_N.02_126/02/02_1,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/02,KAMPONG LAKAI ,SEKOLAH KEBANGSAAN PUTRA,1,309
P.126_N.02_126/02/02_2,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/02,KAMPONG LAKAI ,SEKOLAH KEBANGSAAN PUTRA,2,278
P.126_N.02_126/02/02_3,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/02,KAMPONG LAKAI ,SEKOLAH KEBANGSAAN PUTRA,3,279
P.126_N.02_126/02/03_1,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/03,PASOH 4 ,SEKOLAH KEBANGSAAN (FELDA) PASOH 4,1,314
P.126_N.02_126/02/03_2,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/03,PASOH 4 ,SEKOLAH KEBANGSAAN (FELDA) PASOH 4,2,407
P.126_N.02_126/02/03_3,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/03,PASOH 4 ,SEKOLAH KEBANGSAAN (FELDA) PASOH 4,3,407
P.126_N.02_126/02/04_1,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/04,PASOH 1 ,SEKOLAH KEBANGSAAN PASOH SATU,1,316
P.126_N.02_126/02/04_2,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/04,PASOH 1 ,SEKOLAH KEBANGSAAN PASOH SATU,2,485
P.126_N.02_126/02/04_3,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/04,PASOH 1 ,SEKOLAH KEBANGSAAN PASOH SATU,3,446
P.126_N.02_126/02/04_4,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/04,PASOH 1 ,SEKOLAH KEBANGSAAN PASOH SATU,4,429
P.126_N.02_126/02/05_1,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/05,SIMPANG PERTANG ,SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG PERTANG,1,230
P.126_N.02_126/02/05_2,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/05,SIMPANG PERTANG ,SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG PERTANG,2,465
P.126_N.02_126/02/05_3,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/05,SIMPANG PERTANG ,SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG PERTANG,3,430
P.126_N.02_126/02/05_4,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/05,SIMPANG PERTANG ,SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG PERTANG,4,433
P.126_N.02_126/02/06_1,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/06,KAMPONG PETASEH ,SEKOLAH KEBANGSAAN PETASEH,1,294
P.126_N.02_126/02/06_2,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/06,KAMPONG PETASEH ,SEKOLAH KEBANGSAAN PETASEH,2,391
P.126_N.02_126/02/07_1,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/07,PERTANG ,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU PERTANG,1,276
P.126_N.02_126/02/07_2,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/07,PERTANG ,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU PERTANG,2,434
P.126_N.02_126/02/07_3,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/07,PERTANG ,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU PERTANG,3,442
P.126_N.02_126/02/08_1,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/08,KAMPONG GELANG ,SEKOLAH KEBANGSAAN GELANG TERUSAN,1,304
P.126_N.02_126/02/08_2,,NORMAL VOTE,P.126,JELEBU,N.02,PERTANG,126/02/08,KAMPONG GELANG ,SEKOLAH KEBANGSAAN GELANG TERUSAN,2,368
P.126_N.03_126/03/01_1,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/01,SUNGAI LUI ,SEKOLAH KEBANGSAAN SUNGAI LUI,1,280
P.126_N.03_126/03/01_2,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/01,SUNGAI LUI ,SEKOLAH KEBANGSAAN SUNGAI LUI,2,450
P.126_N.03_126/03/02_1,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/02,LUI TIMUR ,SEKOLAH KEBANGSAAN LUI TIMOR,1,312
P.126_N.03_126/03/02_2,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/02,LUI TIMUR ,SEKOLAH KEBANGSAAN LUI TIMOR,2,471
P.126_N.03_126/03/02_3,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/02,LUI TIMUR ,SEKOLAH KEBANGSAAN LUI TIMOR,3,405
P.126_N.03_126/03/02_4,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/02,LUI TIMUR ,SEKOLAH KEBANGSAAN LUI TIMOR,4,408
P.126_N.03_126/03/03_1,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/03,LUI MUDA ,SEKOLAH KEBANGSAAN (FELDA) LUI MUDA,1,320
P.126_N.03_126/03/03_2,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/03,LUI MUDA ,SEKOLAH KEBANGSAAN (FELDA) LUI MUDA,2,456
P.126_N.03_126/03/04_1,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/04,LUI SELATAN ,SEKOLAH KEBANGSAAN (FELDA) LUI SELATAN,1,319
P.126_N.03_126/03/04_2,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/04,LUI SELATAN ,SEKOLAH KEBANGSAAN (FELDA) LUI SELATAN,2,527
P.126_N.03_126/03/04_3,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/04,LUI SELATAN ,SEKOLAH KEBANGSAAN (FELDA) LUI SELATAN,3,417
P.126_N.03_126/03/04_4,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/04,LUI SELATAN ,SEKOLAH KEBANGSAAN (FELDA) LUI SELATAN,4,416
P.126_N.03_126/03/05_1,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/05,PULAPOL AYER HITAM ,SEKOLAH KEBANGSAAN PULAPAH,1,102
P.126_N.03_126/03/06_1,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/06,LADANG AYER HITAM ,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG AIR HITAM,1,207
P.126_N.03_126/03/07_1,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/07,KAMPONG BAHRU AYER HITAM ,SEKOLAH KEBANGSAAN AYER HITAM,1,284
P.126_N.03_126/03/07_2,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/07,KAMPONG BAHRU AYER HITAM ,SEKOLAH KEBANGSAAN AYER HITAM,2,524
P.126_N.03_126/03/07_3,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/07,KAMPONG BAHRU AYER HITAM ,SEKOLAH KEBANGSAAN AYER HITAM,3,501
P.126_N.03_126/03/08_1,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/08,LUI BARAT ,SEKOLAH MENENGAH KEBANGSAAN (FELDA) LUI BARAT,1,316
P.126_N.03_126/03/08_2,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/08,LUI BARAT ,SEKOLAH MENENGAH KEBANGSAAN (FELDA) LUI BARAT,2,408
P.126_N.03_126/03/09_1,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/09,PASOH 3 ,SEKOLAH KEBANGSAAN (FELDA) PASOH 3,1,314
P.126_N.03_126/03/09_2,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/09,PASOH 3 ,SEKOLAH KEBANGSAAN (FELDA) PASOH 3,2,531
P.126_N.03_126/03/09_3,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/09,PASOH 3 ,SEKOLAH KEBANGSAAN (FELDA) PASOH 3,3,466
P.126_N.03_126/03/09_4,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/09,PASOH 3 ,SEKOLAH KEBANGSAAN (FELDA) PASOH 3,4,476
P.126_N.03_126/03/10_1,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/10,PASOH 2 ,SEKOLAH KEBANGSAAN (FELDA) PASOH 2,1,321
P.126_N.03_126/03/10_2,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/10,PASOH 2 ,SEKOLAH KEBANGSAAN (FELDA) PASOH 2,2,498
P.126_N.03_126/03/10_3,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/10,PASOH 2 ,SEKOLAH KEBANGSAAN (FELDA) PASOH 2,3,482
P.126_N.03_126/03/11_1,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/11,KAMPUNG SERAMPANG INDAH ,SEKOLAH KEBANGSAAN SUNGAI SAMPO,1,264
P.126_N.03_126/03/11_2,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/11,KAMPUNG SERAMPANG INDAH ,SEKOLAH KEBANGSAAN SUNGAI SAMPO,2,334
P.126_N.03_126/03/11_3,,NORMAL VOTE,P.126,JELEBU,N.03,SUNGAI LUI,126/03/11,KAMPUNG SERAMPANG INDAH ,SEKOLAH KEBANGSAAN SUNGAI SAMPO,3,300
P.126_N.04_126/04/01_1,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/01,PERADONG ,SEKOLAH KEBANGSAAN PERADONG,1,283
P.126_N.04_126/04/01_2,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/01,PERADONG ,SEKOLAH KEBANGSAAN PERADONG,2,437
P.126_N.04_126/04/02_1,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/02,LADANG JELEBU ,MAKTAB RENDAH SAINS MARA KUALA KLAWANG,1,269
P.126_N.04_126/04/02_2,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/02,LADANG JELEBU ,MAKTAB RENDAH SAINS MARA KUALA KLAWANG,2,503
P.126_N.04_126/04/02_3,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/02,LADANG JELEBU ,MAKTAB RENDAH SAINS MARA KUALA KLAWANG,3,476
P.126_N.04_126/04/02_4,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/02,LADANG JELEBU ,MAKTAB RENDAH SAINS MARA KUALA KLAWANG,4,467
P.126_N.04_126/04/02_5,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/02,LADANG JELEBU ,MAKTAB RENDAH SAINS MARA KUALA KLAWANG,5,448
P.126_N.04_126/04/03_1,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/03,KAMPONG KAMPAI ,SEKOLAH KEBANGSAAN KAMPAI,1,305
P.126_N.04_126/04/03_2,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/03,KAMPONG KAMPAI ,SEKOLAH KEBANGSAAN KAMPAI,2,329
P.126_N.04_126/04/04_1,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/04,KAMPUNG KUALA KLAWANG ,SEKOLAH KEBANGSAAN KUALA KLAWANG,1,281
P.126_N.04_126/04/04_2,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/04,KAMPUNG KUALA KLAWANG ,SEKOLAH KEBANGSAAN KUALA KLAWANG,2,576
P.126_N.04_126/04/04_3,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/04,KAMPUNG KUALA KLAWANG ,SEKOLAH KEBANGSAAN KUALA KLAWANG,3,530
P.126_N.04_126/04/04_4,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/04,KAMPUNG KUALA KLAWANG ,SEKOLAH KEBANGSAAN KUALA KLAWANG,4,523
P.126_N.04_126/04/05_1,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/05,PEKAN KUALA KLAWANG ,SEKOLAH KEBANGSAAN UNDANG JELEBU,1,235
P.126_N.04_126/04/05_2,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/05,PEKAN KUALA KLAWANG ,SEKOLAH KEBANGSAAN UNDANG JELEBU,2,464
P.126_N.04_126/04/05_3,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/05,PEKAN KUALA KLAWANG ,SEKOLAH KEBANGSAAN UNDANG JELEBU,3,463
P.126_N.04_126/04/06_1,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/06,KAMPONG KEMIN ,DEWAN ORANG RAMAI KAMPUNG BATU SERAMBAI,1,290
P.126_N.04_126/04/06_2,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/06,KAMPONG KEMIN ,DEWAN ORANG RAMAI KAMPUNG BATU SERAMBAI,2,297
P.126_N.04_126/04/06_3,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/06,KAMPONG KEMIN ,DEWAN ORANG RAMAI KAMPUNG BATU SERAMBAI,3,291
P.126_N.04_126/04/07_1,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/07,KAMPUNG AMAR PENGHULU ,SEKOLAH KEBANGSAAN AMAR PENGHULU,1,294
P.126_N.04_126/04/07_2,,NORMAL VOTE,P.126,JELEBU,N.04,KLAWANG,126/04/07,KAMPUNG AMAR PENGHULU ,SEKOLAH KEBANGSAAN AMAR PENGHULU,2,304
,,,,,,,,,,,
P.127_P.127/POSTAL VOTE_UNDI POS_1,,POSTAL VOTE,P.127,JEMPOL,P.127/POSTAL VOTE,POSTAL VOTE,UNDI POS,UNDI POS,,1,1245
P.127_P.127/EARLY VOTE_127/05/00_1,,EARLY VOTE,P.127,JEMPOL,P.127/EARLY VOTE,EARLY VOTE,127/05/00,UNDI AWAL ,DEWAN SERBAGUNA IPD JEMPOL BILIK A,1,247
P.127_P.127/EARLY VOTE_127/07/00_1,,EARLY VOTE,P.127,JEMPOL,P.127/EARLY VOTE,EARLY VOTE,127/07/00,UNDI AWAL ,DEWAN SERBAGUNA IPD JEMPOL BILIK B,1,18
P.127_P.127/EARLY VOTE_127/08/00_1,,EARLY VOTE,P.127,JEMPOL,P.127/EARLY VOTE,EARLY VOTE,127/08/00,UNDI AWAL ,DEWAN SERBAGUNA IPD JEMPOL BILIK C,1,105
P.127_N.05_127/05/01_1,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/01,SERTING ULU ,SEKOLAH KEBANGSAAN SERTING ULU,1,284
P.127_N.05_127/05/01_2,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/01,SERTING ULU ,SEKOLAH KEBANGSAAN SERTING ULU,2,384
P.127_N.05_127/05/02_1,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/02,KAMPONG SERTING TENGAH ,SEKOLAH MENENGAH AGAMA DATO' HAJI MUSTAFA,1,288
P.127_N.05_127/05/02_2,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/02,KAMPONG SERTING TENGAH ,SEKOLAH MENENGAH AGAMA DATO' HAJI MUSTAFA,2,317
P.127_N.05_127/05/02_3,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/02,KAMPONG SERTING TENGAH ,SEKOLAH MENENGAH AGAMA DATO' HAJI MUSTAFA,3,298
P.127_N.05_127/05/03_1,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/03,KAMPUNG SERTING ILIR ,SEKOLAH KEBANGSAAN SERTING ILIR,1,266
P.127_N.05_127/05/03_2,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/03,KAMPUNG SERTING ILIR ,SEKOLAH KEBANGSAAN SERTING ILIR,2,506
P.127_N.05_127/05/03_3,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/03,KAMPUNG SERTING ILIR ,SEKOLAH KEBANGSAAN SERTING ILIR,3,478
P.127_N.05_127/05/03_4,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/03,KAMPUNG SERTING ILIR ,SEKOLAH KEBANGSAAN SERTING ILIR,4,469
P.127_N.05_127/05/04_1,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/04,LUBOK GADONG ,SEKOLAH KEBANGSAAN TUNKU MUDA SERTING,1,152
P.127_N.05_127/05/05_1,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/05,MAHSAN JAYA ,SEKOLAH JENIS KEBANGSAAN (CINA) KG MAHSAN,1,272
P.127_N.05_127/05/05_2,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/05,MAHSAN JAYA ,SEKOLAH JENIS KEBANGSAAN (CINA) KG MAHSAN,2,514
P.127_N.05_127/05/05_3,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/05,MAHSAN JAYA ,SEKOLAH JENIS KEBANGSAAN (CINA) KG MAHSAN,3,492
P.127_N.05_127/05/05_4,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/05,MAHSAN JAYA ,SEKOLAH JENIS KEBANGSAAN (CINA) KG MAHSAN,4,479
P.127_N.05_127/05/06_1,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/06,FELDA RAJA ALIAS ,SEKOLAH KEBANGSAAN (FELDA) SERTING,1,323
P.127_N.05_127/05/06_2,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/06,FELDA RAJA ALIAS ,SEKOLAH KEBANGSAAN (FELDA) SERTING,2,562
P.127_N.05_127/05/06_3,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/06,FELDA RAJA ALIAS ,SEKOLAH KEBANGSAAN (FELDA) SERTING,3,553
P.127_N.05_127/05/06_4,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/06,FELDA RAJA ALIAS ,SEKOLAH KEBANGSAAN (FELDA) SERTING,4,467
P.127_N.05_127/05/06_5,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/06,FELDA RAJA ALIAS ,SEKOLAH KEBANGSAAN (FELDA) SERTING,5,456
P.127_N.05_127/05/06_6,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/06,FELDA RAJA ALIAS ,SEKOLAH KEBANGSAAN (FELDA) SERTING,6,458
P.127_N.05_127/05/06_7,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/06,FELDA RAJA ALIAS ,SEKOLAH KEBANGSAAN (FELDA) SERTING,7,466
P.127_N.05_127/05/06_8,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/06,FELDA RAJA ALIAS ,SEKOLAH KEBANGSAAN (FELDA) SERTING,8,460
P.127_N.05_127/05/07_1,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/07,BANDAR BARU SERTING ILIR ,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,1,322
P.127_N.05_127/05/07_2,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/07,BANDAR BARU SERTING ILIR ,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,2,567
P.127_N.05_127/05/07_3,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/07,BANDAR BARU SERTING ILIR ,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,3,567
P.127_N.05_127/05/07_4,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/07,BANDAR BARU SERTING ILIR ,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,4,510
P.127_N.05_127/05/07_5,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/07,BANDAR BARU SERTING ILIR ,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,5,425
P.127_N.05_127/05/07_6,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/07,BANDAR BARU SERTING ILIR ,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,6,451
P.127_N.05_127/05/07_7,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/07,BANDAR BARU SERTING ILIR ,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,7,444
P.127_N.05_127/05/07_8,,NORMAL VOTE,P.127,JEMPOL,N.05,SERTING,127/05/07,BANDAR BARU SERTING ILIR ,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,8,469
