Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KAMARULZAMAN KAMDIAS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSTAFFA BIN DAHARUN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ SALIM SHARIF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
42,127/08/08,SEKOLAH KEBANGSAAN ST AIDAN,1.0,215,151,5,50,206,9,0,PEKAN BAHAU ,UNDI BIASA
42,127/08/08,SEKOLAH KEBANGSAAN ST AIDAN,2.0,513,412,5,91,508,5,0,PEKAN BAHAU ,UNDI BIASA
42,127/08/08,SEKOLAH KEBANGSAAN ST AIDAN,3.0,482,413,8,57,478,4,0,PEKAN BAHAU ,UNDI BIASA
42,127/08/08,SEKOLAH KEBANGSAAN ST AIDAN,4.0,515,466,9,38,513,2,0,PEKAN BAHAU ,UNDI BIASA
43,127/08/09,SEKOLAH JENIS KEBANGSAAN (CINA) CHI WEN,1.0,267,177,10,70,257,10,0,KAMPONG INDAH ,UNDI BIASA
43,127/08/09,SEKOLAH JENIS KEBANGSAAN (CINA) CHI WEN,2.0,468,369,0,89,458,10,0,KAMPONG INDAH ,UNDI BIASA
43,127/08/09,SEKOLAH JENIS KEBANGSAAN (CINA) CHI WEN,3.0,456,412,4,37,453,3,0,KAMPONG INDAH ,UNDI BIASA
43,127/08/09,SEKOLAH JENIS KEBANGSAAN (CINA) CHI WEN,4.0,447,400,4,42,446,1,0,KAMPONG INDAH ,UNDI BIASA
44,127/08/10,SEKOLAH MENENGAH KEBANGSAAN BAHAU,1.0,248,164,7,60,231,17,0,KAMPONG BAKAR BATU ,UNDI BIASA
44,127/08/10,SEKOLAH MENENGAH KEBANGSAAN BAHAU,2.0,513,361,10,129,500,13,0,KAMPONG BAKAR BATU ,UNDI BIASA
44,127/08/10,SEKOLAH MENENGAH KEBANGSAAN BAHAU,3.0,492,383,8,85,476,16,0,KAMPONG BAKAR BATU ,UNDI BIASA
44,127/08/10,SEKOLAH MENENGAH KEBANGSAAN BAHAU,4.0,498,423,7,65,495,3,0,KAMPONG BAKAR BATU ,UNDI BIASA
44,127/08/10,SEKOLAH MENENGAH KEBANGSAAN BAHAU,5.0,481,407,7,66,480,1,0,KAMPONG BAKAR BATU ,UNDI BIASA
44,127/08/10,SEKOLAH MENENGAH KEBANGSAAN BAHAU,6.0,470,400,8,59,467,3,0,KAMPONG BAKAR BATU ,UNDI BIASA
44,127/08/10,SEKOLAH MENENGAH KEBANGSAAN BAHAU,7.0,449,403,5,38,446,3,0,KAMPONG BAKAR BATU ,UNDI BIASA
44,127/08/10,SEKOLAH MENENGAH KEBANGSAAN BAHAU,8.0,451,403,11,37,451,0,0,KAMPONG BAKAR BATU ,UNDI BIASA
44,127/08/10,SEKOLAH MENENGAH KEBANGSAAN BAHAU,9.0,455,417,6,30,453,1,1,KAMPONG BAKAR BATU ,UNDI BIASA
