Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ SABRI BIN AZIT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SERI JAMIL KHIR BIN BAHAROM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AKHRAMSYAH BIN SANUSI JUNID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
49,012/22/11,"SEKOLAH KEBANGSAAN SRI JERAI, GURUN",1,284,1,47,232,280,4,0,PEKAN BARU GURUN,UNDI BIASA
49,012/22/11,"SEKOLAH KEBANGSAAN SRI JERAI, GURUN",2,558,19,96,442,557,0,1,PEKAN BARU GURUN,UNDI BIASA
49,012/22/11,"SEKOLAH KEBANGSAAN SRI JERAI, GURUN",3,540,41,67,431,539,1,0,PEKAN BARU GURUN,UNDI BIASA
50,012/22/12,"SEKOLAH MENENGAH AGAMA PEKAN GURUN, GURUN",1,270,27,110,122,259,11,0,KAMPUNG GURUN,UNDI BIASA
50,012/22/12,"SEKOLAH MENENGAH AGAMA PEKAN GURUN, GURUN",2,600,121,217,256,594,6,0,KAMPUNG GURUN,UNDI BIASA
50,012/22/12,"SEKOLAH MENENGAH AGAMA PEKAN GURUN, GURUN",3,528,151,142,233,526,2,0,KAMPUNG GURUN,UNDI BIASA
51,012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",1,280,28,122,118,268,12,0,TAMAN SERI JERAI,UNDI BIASA
51,012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",2,456,79,166,203,448,8,0,TAMAN SERI JERAI,UNDI BIASA
51,012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",3,437,92,100,236,428,9,0,TAMAN SERI JERAI,UNDI BIASA
51,012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",4,406,100,97,206,403,3,0,TAMAN SERI JERAI,UNDI BIASA
51,012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",5,416,126,93,196,415,1,0,TAMAN SERI JERAI,UNDI BIASA
52,012/22/14,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HARVARD BAHAGIAN I, BEDONG",1,260,11,105,136,252,8,0,LADANG JERAI,UNDI BIASA
52,012/22/14,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HARVARD BAHAGIAN I, BEDONG",2,540,125,121,286,532,8,0,LADANG JERAI,UNDI BIASA
53,012/22/15,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI PUNTAR, BEDONG",1,408,25,165,202,392,16,0,SUNGAI PUNTAR,UNDI BIASA
54,012/22/16,"SEKOLAH KEBANGSAAN SUNGAI TOK PAWANG, BEDONG",1,281,20,107,144,271,10,0,SUNGAI TOK PAWANG,UNDI BIASA
54,012/22/16,"SEKOLAH KEBANGSAAN SUNGAI TOK PAWANG, BEDONG",2,282,32,97,150,279,3,0,SUNGAI TOK PAWANG,UNDI BIASA
55,012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",1,268,21,125,113,259,9,0,KAMPUNG MESJID,UNDI BIASA
55,012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",2,557,53,227,267,547,10,0,KAMPUNG MESJID,UNDI BIASA
55,012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",3,554,68,164,319,551,3,0,KAMPUNG MESJID,UNDI BIASA
55,012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",4,517,76,121,308,505,12,0,KAMPUNG MESJID,UNDI BIASA
55,012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",5,456,58,104,294,456,0,0,KAMPUNG MESJID,UNDI BIASA
55,012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",6,486,97,115,274,486,0,0,KAMPUNG MESJID,UNDI BIASA
56,012/22/18,"SEKOLAH  MENENGAH KEBANGSAAN BEDONG, BEDONG",1,251,14,65,170,249,2,0,PEKAN BAHRU BEDONG,UNDI BIASA
56,012/22/18,"SEKOLAH  MENENGAH KEBANGSAAN BEDONG, BEDONG",2,352,19,51,278,348,4,0,PEKAN BAHRU BEDONG,UNDI BIASA
