Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HASSAN BIN SAAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD TAUFIK BIN HJ YAACOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK AZEEZ RAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
18,016/30/14,"SEKOLAH KEBANGSAAN TUNKU PUAN HABSAH, JALAN KROH",1,302,139,45,107,291,11,0,BATU 7 JALAN KROH,UNDI BIASA
18,016/30/14,"SEKOLAH KEBANGSAAN TUNKU PUAN HABSAH, JALAN KROH",2,469,241,86,136,463,5,1,BATU 7 JALAN KROH,UNDI BIASA
19,016/30/15,"TABIKA PERPADUAN KAMPUNG SIMPANG EMPAT, BALING",1,316,7,146,153,306,10,0,SIMPANG EMPAT,UNDI BIASA
19,016/30/15,"TABIKA PERPADUAN KAMPUNG SIMPANG EMPAT, BALING",2,586,61,295,220,576,8,2,SIMPANG EMPAT,UNDI BIASA
20,016/30/16,"SEKOLAH KEBANGSAAN BALING,BALING",1,262,11,134,115,260,2,0,PEKAN BALING,UNDI BIASA
20,016/30/16,"SEKOLAH KEBANGSAAN BALING,BALING",2,486,38,261,183,482,4,0,PEKAN BALING,UNDI BIASA
20,016/30/16,"SEKOLAH KEBANGSAAN BALING,BALING",3,431,74,224,133,431,0,0,PEKAN BALING,UNDI BIASA
21,016/30/17,"SEKOLAH KEBANGSAAN TUNKU PUTERA, BALING",1,272,46,100,122,268,4,0,BUKIT BALING,UNDI BIASA
21,016/30/17,"SEKOLAH KEBANGSAAN TUNKU PUTERA, BALING",2,295,98,108,89,295,0,0,BUKIT BALING,UNDI BIASA
22,016/30/18,"SEKOLAH JENIS KEBANGSAAN (CINA) YEOK CHEE, BALING",1,298,49,69,179,297,1,0,SEBRANG BALING,UNDI BIASA
22,016/30/18,"SEKOLAH JENIS KEBANGSAAN (CINA) YEOK CHEE, BALING",2,364,85,126,151,362,2,0,SEBRANG BALING,UNDI BIASA
22,016/30/18,"SEKOLAH JENIS KEBANGSAAN (CINA) YEOK CHEE, BALING",3,355,96,136,121,353,2,0,SEBRANG BALING,UNDI BIASA
23,016/30/19,"SEKOLAH  KEBANGSAAN DALAM WANG DALAM WANG, KAMPUNG",1,296,131,27,132,290,6,0,DALAM WANG,UNDI BIASA
23,016/30/19,"SEKOLAH  KEBANGSAAN DALAM WANG DALAM WANG, KAMPUNG",2,492,245,63,181,489,3,0,DALAM WANG,UNDI BIASA
23,016/30/19,"SEKOLAH  KEBANGSAAN DALAM WANG DALAM WANG, KAMPUNG",3,464,241,56,164,461,3,0,DALAM WANG,UNDI BIASA
24,016/30/20,"SEKOLAH  KEBANGSAAN PULAI, PULAI",1,295,35,69,181,285,10,0,PEKAN PULAI,UNDI BIASA
